_id,label,id,token,sentence
Q560307_1,ENTITY,bnc83TayIV,Ishmael,0
Q560307_2,ENTITY,bnc83TayIV,Scott,0
Q560307_3,ENTITY,bnc83TayIV,Reed,0
,,,(,0
,,,born,0
,,,February,0
,,,22,0
,,,",",0
,,,1938,0
,,,),0
Q560307_4,EVENT-GR,Z-RDNevwP8,is,0
,,,an,0
,,,American,0
Q560307_5,EVENT,wY_G6TQUoK,poet,0
,,,",",0
Q560307_6,EVENT,5mrRIES3YJ,novelist,0
,,,",",0
Q560307_7,EVENT,9wlpWNe1eo,essayist,0
,,,",",0
Q560307_8,EVENT,TGxItfrW4k,songwriter,0
,,,",",0
Q560307_9,EVENT,sDNv8mD4Rq,playwright,0
,,,",",0
Q560307_10,EVENT,dRvw-0cT-a,editor,0
,,,and,0
Q560307_11,EVENT,jQUgjCn7XZ,publisher,0
,,,known,0
,,,for,0
,,,his,0
,,,satirical,0
,,,works,0
,,,challenging,0
,,,American,0
,,,political,0
,,,culture,0
,,,.,0
,,,Perhaps,1
,,,his,1
,,,best,1
,,,-,1
,,,known,1
,,,work,1
,,,is,1
,,,Mumbo,1
,,,Jumbo,1
,,,(,1
,,,1972,1
,,,),1
,,,",",1
,,,a,1
,,,sprawling,1
,,,and,1
,,,unorthodox,1
,,,novel,1
,,,set,1
,,,in,1
,,,1920s,1
,,,New,1
,,,York,1
,,,.,1
,,,Reed,2
,,,'s,2
,,,work,2
,,,has,2
,,,often,2
,,,sought,2
,,,to,2
,,,represent,2
,,,neglected,2
,,,African,2
,,,and,2
,,,African,2
,,,-,2
,,,American,2
,,,perspectives,2
,,,;,2
,,,his,2
,,,energy,2
,,,and,2
,,,advocacy,2
,,,have,2
,,,centered,2
,,,more,2
,,,broadly,2
,,,on,2
,,,neglected,2
,,,peoples,2
,,,and,2
,,,perspectives,2
,,,",",2
,,,irrespective,2
,,,of,2
,,,their,2
,,,cultural,2
,,,origins,2
,,,.,2
Q560307_12,ENTITY,GdNdHlVU1T,Reed,3
,,,was,3
Q560307_13,EVENT,8x4W1FiBtx,born,3
,,,in,3
,,,Chattanooga,3
,,,",",3
,,,Tennessee,3
,,,.,3
Q560307_14,ENTITY,MRWYSutDsq,His,4
Q560307_15,ENTITY,MRWYSutDsq,family,4
Q560307_16,EVENT,_TbApq2b41,moved,4
,,,to,4
,,,Buffalo,4
,,,",",4
,,,New,4
,,,York,4
,,,when,4
,,,he,4
,,,was,4
,,,a,4
,,,child,4
,,,",",4
,,,during,4
,,,the,4
,,,Great,4
,,,Migration,4
,,,.,4
,,,After,5
Q560307_17,EVENT,QkhTolFe_i,attending,5
,,,local,5
,,,schools,5
,,,",",5
Q560307_18,ENTITY,2cV_7t9uO5,Reed,5
Q560307_19,EVENT,bz98pEG36e,attended,5
,,,the,5
,,,University,5
,,,at,5
,,,Buffalo,5
,,,.,5
Q560307_20,ENTITY,ZViia3ornb,Reed,6
Q560307_21,EVENT,FCLubczbD-,withdrew,6
,,,from,6
,,,college,6
,,,in,6
,,,his,6
,,,junior,6
,,,year,6
,,,",",6
,,,partly,6
,,,for,6
,,,financial,6
,,,reasons,6
,,,",",6
,,,but,6
,,,mainly,6
,,,because,6
Q560307_22,ENTITY,mVujkz_5Ew,he,6
Q560307_23,EVENT,GXcOZhsV3m,felt,6
,,,he,6
Q560307_24,EVENT,WkdY0evSd0,needed,6
,,,a,6
,,,new,6
,,,atmosphere,6
,,,to,6
,,,support,6
,,,his,6
,,,writing,6
,,,and,6
,,,music,6
,,,.,6
Q560307_25,ENTITY,4RKEiNNk5v,He,7
Q560307_26,EVENT,PylOJKFxrh,said,7
,,,of,7
,,,this,7
,,,decision,7
,,,:,7
,,,This,7
,,,was,7
,,,the,7
,,,best,7
,,,thing,7
,,,that,7
,,,could,7
,,,have,7
,,,happened,7
,,,to,7
,,,me,7
,,,at,7
,,,the,7
,,,time,7
,,,because,7
,,,I,7
,,,was,7
,,,able,7
,,,to,7
,,,continue,7
,,,experimenting,7
,,,along,7
,,,the,7
,,,lines,7
,,,I,7
,,,wanted,7
,,,",",7
,,,influenced,7
,,,by,7
,,,West,7
,,,and,7
,,,others,7
,,,.,7
,,,I,8
,,,did,8
,,,n't,8
,,,want,8
,,,to,8
,,,be,8
,,,a,8
,,,slave,8
,,,to,8
,,,somebody,8
,,,else,8
,,,'s,8
,,,reading,8
,,,lists,8
,,,.,8
,,,I,9
,,,kind,9
,,,of,9
,,,regret,9
,,,the,9
,,,decision,9
,,,now,9
,,,because,9
,,,I,9
,,,'ve,9
,,,gotten,9
,,,some,9
,,,of,9
,,,the,9
,,,most,9
,,,racist,9
,,,and,9
,,,horrible,9
,,,things,9
,,,said,9
,,,to,9
,,,me,9
,,,because,9
,,,of,9
,,,this,9
,,,.,9
,,,In,10
,,,1995,10
,,,",",10
,,,the,10
,,,college,10
Q560307_27,EVENT,SgVDKqhEOK,awarded,10
Q560307_28,ENTITY,JLMAY5hXk9,him,10
,,,an,10
,,,honorary,10
,,,doctorate,10
,,,.,10
Q560307_29,EVENT,m5WSHm-DPN,Speaking,11
,,,about,11
Q560307_32,ENTITY,VwNjppVRtv,his,11
Q560307_33,EVENT,AaDO6Z6Gkv,influences,11
,,,",",11
Q560307_30,ENTITY,dM_cz4FNA5,Reed,11
,,,has,11
Q560307_31,EVENT,PnbbkzI4Sk,said,11
,,,:,11
,,,I,11
,,,'ve,11
,,,probably,11
,,,been,11
,,,more,11
,,,influenced,11
,,,by,11
,,,poets,11
,,,than,11
,,,by,11
,,,novelists,11
,,,—,11
,,,the,11
,,,Harlem,11
,,,Renaissance,11
,,,poets,11
,,,",",11
,,,the,11
,,,Beat,11
,,,poets,11
,,,",",11
,,,the,11
,,,American,11
,,,surrealist,11
,,,Ted,11
,,,Joans,11
,,,.,11
,,,Poets,12
,,,have,12
,,,to,12
,,,be,12
,,,more,12
,,,attuned,12
,,,to,12
,,,originality,12
,,,",",12
,,,coming,12
,,,up,12
,,,with,12
,,,lines,12
,,,and,12
,,,associations,12
,,,the,12
,,,ordinary,12
,,,prose,12
,,,writer,12
,,,would,12
,,,n't,12
,,,think,12
,,,of,12
,,,.,12
,,,Among,13
,,,writers,13
,,,from,13
,,,the,13
,,,Harlem,13
,,,Renaissance,13
,,,for,13
,,,whose,13
,,,work,13
Q560307_34,ENTITY,mJnNY55WAN,Reed,13
,,,has,13
Q560307_35,EVENT,kHIG4_ig-3,expressed,13
Q560307_36,EVENT,BCU1ZLx3NO,admiration,13
,,,are,13
,,,Langston,13
,,,Hughes,13
,,,",",13
,,,Zora,13
,,,Neale,13
,,,Hurston,13
,,,",",13
,,,George,13
,,,Schuyler,13
,,,",",13
,,,Bruce,13
,,,Nugent,13
,,,",",13
,,,Countee,13
,,,Cullen,13
,,,",",13
,,,and,13
,,,Arna,13
,,,Bontemps,13
,,,.,13
,,,In,14
,,,1962,14
,,,",",14
Q560307_37,ENTITY,vQapExNqKe,Reed,14
Q560307_38,EVENT,ShAom-xdKg,moved,14
,,,to,14
,,,New,14
,,,York,14
,,,City,14
,,,and,14
,,,co,14
,,,-,14
Q560307_39,EVENT,cQgFdIAcNa,founded,14
,,,with,14
,,,Walter,14
,,,Bowart,14
,,,the,14
,,,East,14
,,,Village,14
,,,Other,14
,,,",",14
,,,which,14
,,,became,14
,,,a,14
,,,well,14
,,,-,14
,,,known,14
,,,underground,14
,,,publication,14
,,,.,14
Q560307_40,ENTITY,TM4svRQ5Qj,He,15
Q560307_41,EVENT-GR,c2TeTWOFd6,was,15
,,,also,15
,,,a,15
Q560307_42,EVENT,E5qc480-3M,member,15
,,,of,15
,,,the,15
,,,Umbra,15
,,,Writers,15
,,,Workshop,15
,,,",",15
,,,some,15
,,,of,15
,,,whose,15
,,,members,15
,,,helped,15
,,,establish,15
,,,the,15
,,,Black,15
,,,Arts,15
,,,Movement,15
,,,and,15
,,,promoted,15
,,,a,15
,,,Black,15
,,,Aesthetic,15
,,,.,15
,,,Although,16
Q560307_44,ENTITY,HXg28vom6I,Reed,16
Q560307_45,EVENT-MOD,X8Rmr8OjY4,never,16
Q560307_43,EVENT,Ew4Zfw8rPG,participated,16
,,,in,16
,,,that,16
,,,movement,16
,,,",",16
Q560307_46,ENTITY,t3ZGX1JQ2n,he,16
,,,has,16
Q560307_47,EVENT,daW5soITg9,continued,16
,,,to,16
Q560307_48,EVENT,zJfuJTrn04,research,16
,,,the,16
,,,history,16
,,,of,16
,,,black,16
,,,Americans,16
,,,.,16
,,,While,17
Q560307_49,EVENT,yBfcu5Fw5X,working,17
,,,on,17
,,,his,17
,,,novel,17
,,,Flight,17
,,,to,17
,,,Canada,17
,,,(,17
,,,1976,17
,,,),17
,,,",",17
Q560307_50,ENTITY,BajN4YQk3l,he,17
Q560307_51,EVENT,1LvlY_n8z4,coined,17
,,,the,17
,,,term,17
,,,"""",17
,,,Neo,17
,,,-,17
,,,Slave,17
,,,narrative,17
,,,"""",17
,,,",",17
,,,which,17
Q560307_52,ENTITY,QewURMZdcg,he,17
Q560307_53,EVENT,Lp0vPgt1en,used,17
,,,in,17
,,,1984,17
,,,in,17
,,,"""",17
,,,A,17
,,,Conversation,17
,,,with,17
,,,Ishmael,17
,,,Reed,17
,,,"""",17
,,,by,17
,,,Reginald,17
,,,Martin,17
,,,.,17
,,,During,18
,,,this,18
,,,time,18
Q560307_54,ENTITY,VmCtxs4LSI,Reed,18
,,,also,18
Q560307_55,EVENT-GR,1ksBx5qyYK,made,18
Q560307_56,EVENT,EYEtnudPdj,connections,18
,,,with,18
,,,musicians,18
,,,and,18
,,,poets,18
,,,such,18
,,,as,18
,,,Sun,18
,,,Ra,18
,,,",",18
,,,Cecil,18
,,,Taylor,18
,,,",",18
,,,and,18
,,,Albert,18
,,,Ayler,18
,,,",",18
,,,which,18
Q560307_57,EVENT,mU7I3SMxub,contributed,18
,,,to,18
Q560307_58,ENTITY,Gsyyywjq3Y,Reed,18
Q560307_59,ENTITY,Gsyyywjq3Y,’s,18
,,,vast,18
Q560307_60,EVENT,SToklUnZ4L,experimentation,18
,,,with,18
,,,jazz,18
,,,and,18
,,,his,18
,,,love,18
,,,for,18
,,,music,18
,,,.,18
,,,In,19
,,,1970,19
,,,",",19
Q560307_61,ENTITY,UzZgRap6I7,Reed,19
Q560307_62,EVENT,ZbSKPBZCtJ,moved,19
,,,to,19
,,,the,19
,,,West,19
,,,Coast,19
,,,to,19
Q560307_63,EVENT,JKanUYs7tE,begin,19
Q560307_64,EVENT,ZZNpH9Lkdw,teaching,19
,,,at,19
,,,the,19
,,,University,19
,,,of,19
,,,California,19
,,,",",19
,,,Berkeley,19
,,,",",19
,,,where,19
Q560307_66,ENTITY,1GCOCGdQBe,he,19
Q560307_65,EVENT,_CZxsXtdwh,taught,19
,,,for,19
,,,35,19
,,,years,19
,,,.,19
Q560307_68,EVENT,86RnXYtO0Q,Retired,20
,,,from,20
,,,there,20
,,,in,20
,,,2005,20
,,,",",20
Q560307_67,ENTITY,30E0kvI3Zp,he,20
,,,is,20
Q560307_69,EVENT,CinhpJ7QLl,serving,20
,,,as,20
,,,a,20
,,,Distinguished,20
,,,Professor,20
,,,at,20
,,,California,20
,,,College,20
,,,of,20
,,,the,20
,,,Arts,20
,,,.,20
Q560307_70,ENTITY,nv6PpIv8u8,He,21
Q560307_71,EVENT,cHN9CtkL_X,lives,21
,,,in,21
,,,Oakland,21
,,,",",21
,,,California,21
,,,",",21
,,,with,21
,,,his,21
,,,wife,21
,,,of,21
,,,more,21
,,,than,21
,,,50,21
,,,years,21
,,,",",21
,,,Carla,21
,,,Blank,21
,,,",",21
,,,a,21
,,,noted,21
,,,author,21
,,,",",21
,,,choreographer,21
,,,",",21
,,,and,21
,,,director,21
,,,.,21
,,,His,22
,,,late,22
,,,daughter,22
,,,",",22
,,,Timothy,22
,,,Reed,22
,,,",",22
Q560307_72,EVENT,UYlThqZxvd,dedicated,22
,,,her,22
,,,semi,22
,,,-,22
,,,autobiographical,22
,,,book,22
,,,Showing,22
,,,Out,22
,,,(,22
,,,Thunder,22
,,,'s,22
,,,Mouth,22
,,,Press,22
,,,",",22
,,,2003,22
,,,),22
Q560307_73,ENTITY,Q1Ri8nsUpK,to,22
Q560307_74,ENTITY,Q1Ri8nsUpK,him,22
,,,.,22
Q560307_75,ENTITY,SxcAxiendm,His,23
Q560307_76,ENTITY,SxcAxiendm,archives,23
,,,are,23
Q560307_77,EVENT,3sQUQOnkUk,held,23
,,,by,23
,,,the,23
,,,Special,23
,,,Collections,23
,,,at,23
,,,the,23
,,,University,23
,,,of,23
,,,Delaware,23
,,,in,23
,,,Newark,23
,,,.,23
,,,Ishmael,24
,,,Reed,24
,,,:,24
,,,An,24
,,,Exhibition,24
,,,",",24
,,,curated,24
,,,by,24
,,,Timothy,24
,,,D.,24
,,,Murray,24
,,,",",24
,,,was,24
,,,shown,24
