_id,label,id,token,sentence
Q560307_127,ENTITY,572c5GgMQW,Nasr,0
Q560307_128,ENTITY,572c5GgMQW,Hamid,0
Q560307_129,ENTITY,572c5GgMQW,Abu,0
Q560307_130,ENTITY,572c5GgMQW,Zayd,0
,,,(,0
,,,Arabic,0
,,,:,0
,,,نصر,0
,,,حامد,0
,,,أبو,0
,,,زيد‎,0
,,,",",0
,,,IPA,0
,,,:,0
,,, ,0
,,,;,0
,,,also,0
,,,Abu,0
,,,Zaid,0
,,,or,0
,,,Abu,0
,,,Zeid,0
,,,;,0
,,,July,0
,,,10,0
,,,",",0
,,,1943,0
,,,–,0
,,,July,0
,,,5,0
,,,",",0
,,,2010,0
,,,),0
Q560307_135,EVENT-GR,m7_7ZOT3Rd,was,0
,,,an,0
,,,Egyptian,0
,,,Quranic,0
Q560307_131,EVENT,qs4Le1grUm,thinker,0
,,,",",0
Q560307_132,EVENT,ZWvu264iyF,author,0
,,,",",0
Q560307_133,EVENT,i5_g0RWONp,academic,0
,,,and,0
,,,one,0
,,,of,0
,,,the,0
,,,leading,0
,,,liberal,0
Q560307_134,EVENT,aUtw7tZzwi,theologians,0
,,,in,0
,,,Islam,0
,,,.,0
Q560307_257,ENTITY,DYs209tEEO,He,1
Q560307_259,EVENT-GR,u5NVDfHcZl,is,1
Q560307_258,EVENT,DmuayYNuJ_,famous,1
,,,for,1
Q560307_260,ENTITY,fKM1E-VcwR,his,1
Q560307_261,EVENT,wiw5lLVpek,project,1
,,,of,1
,,,a,1
,,,humanistic,1
,,,Quranic,1
,,,hermeneutics,1
,,,",",1
,,,which,1
,,,"""",1
Q560307_137,EVENT,ALQWXAKDrD,challenged,1
,,,mainstream,1
,,,views,1
,,,"""",1
,,,on,1
,,,the,1
,,,Quran,1
,,,",",1
,,,sparking,1
,,,"""",1
,,,controversy,1
,,,and,1
,,,debate,1
,,,.,1
,,,"""",2
,,,While,2
Q560307_2,EVENT-MOD,jtut_lOFNt,not,2
Q560307_1,EVENT,YApsQXX2D1,denying,2
,,,that,2
,,,the,2
,,,Quran,2
,,,was,2
,,,of,2
,,,divine,2
,,,origin,2
,,,",",2
Q560307_136,ENTITY,xXvpcR7Zbx,Zayd,2
Q560307_3,EVENT,1unoibR3no,argued,2
,,,that,2
,,,it,2
,,,was,2
,,,a,2
,,,"""",2
,,,cultural,2
Q560307_4,EVENT,KxjC5CWLEA,product,2
,,,"""",2
,,,that,2
,,,had,2
,,,to,2
,,,be,2
,,,read,2
,,,in,2
,,,the,2
,,,context,2
,,,of,2
,,,the,2
,,,language,2
,,,and,2
,,,culture,2
,,,of,2
,,,seventh,2
,,,century,2
,,,Arabs,2
,,,",",2
,,,and,2
,,,could,2
,,,be,2
,,,interpreted,2
,,,in,2
,,,more,2
,,,than,2
,,,one,2
,,,way,2
,,,.,2
Q560307_138,ENTITY,4V6n-LyqEC,He,3
,,,also,3
Q560307_5,EVENT,GplqD6Fv_n,criticized,3
,,,the,3
,,,use,3
,,,of,3
,,,religion,3
,,,to,3
,,,exert,3
,,,political,3
,,,power,3
,,,.,3
,,,In,4
,,,1995,4
,,,an,4
,,,Egyptian,4
,,,Sharia,4
,,,court,4
Q560307_6,EVENT,4_G0cYF7TJ,declared,4
Q560307_139,ENTITY,Av3KAkviW4,him,4
,,,an,4
Q560307_7,EVENT,-sUsdUZ5AF,apostate,4
,,,",",4
,,,this,4
,,,led,4
,,,to,4
,,,threats,4
,,,of,4
,,,death,4
,,,and,4
Q560307_140,ENTITY,wGVIzFswwO,his,4
Q560307_8,EVENT,Gw57RoD9cU,fleeing,4
,,,Egypt,4
,,,several,4
,,,weeks,4
,,,later,4
,,,.,4
Q560307_141,ENTITY,gCrEwbHo_l,He,5
,,,later,5
,,,quietly,5
Q560307_9,EVENT,Aoz977fHhz,returned,5
,,,to,5
,,,Egypt,5
,,,where,5
Q560307_142,ENTITY,t_bkFhfr16,he,5
Q560307_10,EVENT,oBniOGVyel,died,5
,,,.,5
Q560307_143,ENTITY,MWu2E7_stO,Nasr,6
Q560307_144,ENTITY,MWu2E7_stO,Hamid,6
Q560307_145,ENTITY,MWu2E7_stO,Abu,6
Q560307_146,ENTITY,MWu2E7_stO,Zayd,6
,,,was,6
Q560307_11,EVENT,wRGAPAL5aA,born,6
,,,in,6
,,,Quhafa,6
,,,",",6
,,,a,6
,,,small,6
,,,village,6
,,,some,6
,,,120,6
,,, ,6
,,,km,6
,,,from,6
,,,Cairo,6
,,,",",6
,,,near,6
,,,Tanta,6
,,,",",6
,,,Egypt,6
,,,on,6
,,,July,6
,,,10,6
,,,",",6
,,,1943,6
,,,.,6
Q560307_147,ENTITY,y_SrjDPnU9,Abu,7
Q560307_148,ENTITY,y_SrjDPnU9,Zayd,7
Q560307_12,EVENT,w0zdLy41Vl,went,7
,,,through,7
,,,a,7
,,,traditional,7
,,,religious,7
,,,school,7
,,,system,7
,,,and,7
Q560307_13,EVENT-GR,4Z1VLInWPQ,was,7
,,,a,7
Q560307_14,EVENT,VSzyvGL8LF,Qāriʾ,7
,,,who,7
,,,could,7
Q560307_15,EVENT,qzt65bXyqm,recite,7
,,,the,7
,,,Qur'an,7
,,,with,7
,,,the,7
,,,proper,7
,,,rules,7
,,,of,7
,,,recitation,7
,,,",",7
,,,and,7
,,,a,7
Q560307_16,EVENT,bpsGoud4X8,Hafiz,7
,,,one,7
,,,who,7
,,,has,7
