text,label,sentence
How,0,0
to,0,0
Make,0,0
Vegan,0,0
Cupcakes,0,0
Two,0,0
Methods,0,0
:,0,0
Basic,0,0
Vanilla,0,0
Vegan,0,0
Cupcakes,0,0
Basic,0,0
Chocolate,0,0
Vegan,0,0
Cupcakes,0,0
No,0,0
need,0,0
to,0,0
give,0,0
up,0,0
wicked,0,0
cakes,0,0
when,0,0
you,ENTITY,0
toss,0,0
the,0,0
eggs,0,0
",",0,0
butter,0,0
",",0,0
and,0,0
milk,0,0
!,0,0
Here,0,0
's,0,0
a,0,0
great,0,0
vegan,0,0
cupcake,0,0
recipe,0,0
to,0,0
use,0,0
as,0,0
a,0,0
base,0,0
for,0,0
whatever,0,0
flavored,0,0
icing,0,0
you,ENTITY,0
want,0,0
to,0,0
add,0,0
to,0,0
it,0,0
.,0,0
They,0,1
're,0,1
guaranteed,0,1
to,0,1
be,0,1
light,0,1
and,0,1
fluffy,0,1
and,0,1
perfect,0,1
for,0,1
any,0,1
occasion,0,1
.,0,1
Ingredients,0,2
Method,0,2
1,0,2
:,0,2
Basic,0,2
Vanilla,0,2
Vegan,0,2
Cupcakes,0,2
:,0,2
Servings,0,2
:,0,2
18,0,2
-,0,2
24,0,2
(,0,2
fewer,0,2
if,0,2
you,ENTITY,2
opt,0,2
for,0,2
larger,0,2
-,0,2
sized,0,2
cupcakes,0,2
),0,2
1,0,2
tablespoon,0,2
(,0,2
15,0,2
ml,0,2
),0,2
apple,0,2
cider,0,2
vinegar,0,2
1,0,2
1/2,0,2
cups,0,2
(,0,2
350,0,2
ml,0,2
),0,2
plain,0,2
soy,0,2
milk,0,2
2,0,2
3/4,0,2
cups,0,2
(,0,2
345,0,2
g,0,2
),0,2
self,0,2
raising,0,2
flour,0,2
2,0,2
teaspoons,0,2
(,0,2
10,0,2
g,0,2
),0,2
baking,0,2
powder,0,2
1/2,0,2
teaspoon,0,2
baking,0,2
soda,0,2
1/2,0,2
teaspoon,0,2
salt,0,2
1,0,2
cup,0,2
(,0,2
200,0,2
g,0,2
),0,2
sugar,0,2
1/2,0,2
cup,0,2
(,0,2
120,0,2
ml,0,2
),0,2
vegetable,0,2
oil,0,2
1,0,2
teaspoon,0,2
vanilla,0,2
extract,0,2
Vegan,0,2
icing,0,2
