text,label,sentence
Jack,ENTITY,0
Herrick,ENTITY,0
",",0,0
wikiHow,ENTITY,0
founder,ENTITY,0
interviewed,0,0
by,0,0
Wikinews,0,0
Saturday,0,0
",",0,0
January,0,0
31,0,0
",",0,0
2009,0,0
Herrick,ENTITY,0
at,ENTITY,0
RecentChangesCamp,0,0
2008,ENTITY,0
Image,0,0
:,0,0
ShakataGaNai,0,0
.,0,0
wikiHow,0,1
is,0,1
a,0,1
wiki,0,1
-,0,1
based,0,1
site,0,1
which,0,1
aims,0,1
to,0,1
"""",0,1
build,0,1
the,0,1
world,0,1
's,0,1
largest,0,1
",",0,1
highest,0,1
quality,0,1
how,0,1
-,0,1
to,0,1
manual,0,1
.,0,1
"""",0,2
It,0,2
recently,0,2
published,0,2
its,0,2
"50,000th",0,2
article,0,2
",",0,2
and,0,2
to,0,2
discuss,0,2
what,0,2
the,0,2
site,0,2
has,0,2
achieved,0,2
since,0,2
its,0,2
creation,0,2
",",0,2
Wikinews,0,2
interviewed,0,2
the,ENTITY,2
site,ENTITY,2
's,0,2
founder,ENTITY,2
",",0,2
Jack,ENTITY,2
Herrick,ENTITY,2
.,0,2
In,0,3
the,0,3
interview,0,3
",",0,3
Herrick,ENTITY,3
explains,0,3
what,0,3
wikiHow,0,3
is,0,3
",",0,3
why,0,3
he,ENTITY,3
decided,0,3
to,0,3
create,0,3
it,0,3
",",0,3
how,0,3
he,ENTITY,3
grew,0,3
it,0,3
in,0,3
size,0,3
",",0,3
and,0,3
why,0,3
he,ENTITY,3
chose,0,3
to,0,3
use,0,3
a,0,3
Creative,0,3
Commons,0,3
license,0,3
(,0,3
HyperLink,0,3
),0,3
for,0,3
his,ENTITY,3
site,0,3
.,0,3
Read,0,4
below,0,4
for,0,4
more,0,4
of,0,4
the,0,4
interview,0,4
in,0,4
full,0,4
.,0,4
Interview,0,5
For,0,5
our,0,5
readers,0,5
who,0,5
are,0,5
unaware,0,5
of,0,5
your,ENTITY,5
site,0,5
",",0,5
could,0,5
you,ENTITY,5
briefly,0,5
explain,0,5
what,0,5
wikiHow,0,5
is,0,5
?,0,5
Sure,0,5
.,0,5
wikiHow,0,6
is,0,6
a,0,6
collaborative,0,6
effort,0,6
to,0,6
build,0,6
the,0,6
world,0,6
's,0,6
largest,0,6
",",0,6
highest,0,6
quality,0,6
how,0,6
-,0,6
to,0,6
manual,0,6
.,0,6
Our,0,7
long,0,7
term,0,7
goal,0,7
is,0,7
to,0,7
produce,0,7
practical,0,7
instructions,0,7
on,0,7
almost,0,7
every,0,7
topic,0,7
in,0,7
every,0,7
language,0,7
.,0,7
We,0,8
're,0,8
quite,0,8
far,0,8
from,0,8
our,0,8
goals,0,8
currently,0,8
",",0,8
but,0,8
we,0,8
take,0,8
comfort,0,8
in,0,8
the,0,8
fact,0,8
that,0,8
every,0,8
month,0,8
wikiHow,0,8
gets,0,8
noticeably,0,8
better,0,8
and,0,8
larger,0,8
We,0,8
currently,0,8
have,0,8
just,0,8
under,0,8
50000,0,8
articles,0,8
and,0,8
over,0,8
1000,0,8
featured,0,8
articles,0,8
.,0,8
We,0,9
hope,0,9
that,0,9
in,0,9
time,0,9
",",0,9
we,0,9
will,0,9
have,0,9
millions,0,9
of,0,9
articles,0,9
with,0,9
many,0,9
of,0,9
them,0,9
having,0,9
featured,0,9
status,0,9
.,0,9
That,0,10
said,0,10
",",0,10
we,0,10
are,0,10
realistic,0,10
enough,0,10
to,0,10
realize,0,10
that,0,10
this,0,10
goal,0,10
will,0,10
take,0,10
decades,0,10
to,0,10
achieve,0,10
.,0,10
However,0,11
",",0,11
in,0,11
terms,0,11
of,0,11
readership,0,11
",",0,11
we,0,11
are,0,11
probably,0,11
the,0,11
most,0,11
popular,0,11
single,0,11
subject,0,11
wiki,0,11
after,0,11
Wikipedia,0,11
.,0,11
We,0,12
get,0,12
over,0,12
14,0,12
million,0,12
unique,0,12
visitors,0,12
per,0,12
month,0,12
(,0,12
source,0,12
:,0,12
Google,0,12
Analytics,0,12
),0,12
",",0,12
which,0,12
makes,0,12
us,0,12
the,0,12
135th,0,12
most,0,12
popular,0,12
site,0,12
according,0,12
to,0,12
Quantcast,0,12
.,0,12
[,0,13
Note,0,13
:,0,13
The,0,13
interview,0,13
took,0,13
place,0,13
just,0,13
before,0,13
the,0,13
50000,0,13
milestone,0,13
was,0,13
met,0,13
],0,13
Like,0,13
Wikipedia,0,13
",",0,13
wikiHow,0,13
is,0,13
a,0,13
wiki,0,13
that,0,13
runs,0,13
on,0,13
Mediawiki,0,13
software,0,13
.,0,13
Our,0,14
community,0,14
is,0,14
full,0,14
of,0,14
volunteers,0,14
from,0,14
all,0,14
over,0,14
the,0,14
world,0,14
.,0,14
That,0,15
said,0,15
",",0,15
we,0,15
are,0,15
quite,0,15
different,0,15
from,0,15
Wikipedia,0,15
in,0,15
several,0,15
respects,0,15
:,0,15
We,0,15
are,0,15
much,0,15
smaller,0,15
.,0,15
The,0,16
English,0,16
wikiHow,0,16
has,0,16
only,0,16
60,0,16
admins,0,16
",",0,16
compared,0,16
to,0,16
the,0,16
1000,0,16
+,0,16
on,0,16
English,0,16
Wikipedia,0,16
.,0,16
As,0,17
a,0,17
result,0,17
",",0,17
wikiHow,0,17
is,0,17
still,0,17
at,0,17
the,0,17
size,0,17
that,0,17
every,0,17
editor,0,17
eventually,0,17
gets,0,17
to,0,17
know,0,17
other,0,17
editors,0,17
.,0,17
We,0,18
are,0,18
run,0,18
as,0,18
a,0,18
Hybrid,0,18
Organization,0,18
-,0,18
a,0,18
for-profit,0,18
company,0,18
focused,0,18
on,0,18
achieving,0,18
a,0,18
social,0,18
good,0,18
.,0,18
This,0,19
has,0,19
several,0,19
advantages,0,19
and,0,19
disadvantages,0,19
when,0,19
compared,0,19
to,0,19
the,0,19
non-profit,0,19
structure,0,19
at,0,19
the,0,19
Wikimedia,0,19
Foundation,0,19
.,0,19
We,0,20
show,0,20
opt,0,20
-,0,20
out,0,20
advertising,0,20
to,0,20
anonymous,0,20
visitors,0,20
rather,0,20
than,0,20
ask,0,20
for,0,20
donations,0,20
.,0,20
Our,0,21
advertising,0,21
revenue,0,21
funds,0,21
community,0,21
meetups,0,21
and,0,21
has,0,21
even,0,21
allowed,0,21
us,0,21
to,0,21
donate,0,21
over,0,21
$,0,21
"60,000",0,21
to,0,21
charities,0,21
such,0,21
as,0,21
the,0,21
Wikimedia,0,21
Foundation,0,21
and,0,21
Creative,0,21
Commons,0,21
.,0,21
(,0,22
http://www.wikihow.com/wikiHow:Contributions-to-Charity,0,22
),0,22
.,0,22
In,0,23
addition,0,23
",",0,23
we,0,23
've,0,23
used,0,23
our,0,23
revenue,0,23
on,0,23
things,0,23
like,0,23
buying,0,23
carbon,0,23
offsets,0,23
to,0,23
become,0,23
carbon,0,23
neutral,0,23
.,0,23
(,0,24
http://www.wikihow.com/wikiHow:Carbon-Neutral,0,24
),0,24
Our,0,24
community,0,24
culture,0,24
is,0,24
focused,0,24
on,0,24
wikiLove,0,24
and,0,24
civility,0,24
.,0,24
As,0,25
a,0,25
result,0,25
some,0,25
folks,0,25
believe,0,25
wikiHow,0,25
is,0,25
a,0,25
more,0,25
humane,0,25
and,0,25
enjoyable,0,25
place,0,25
to,0,25
work,0,25
than,0,25
other,0,25
places,0,25
online,0,25
.,0,25
Why,0,26
did,0,26
you,ENTITY,26
decide,0,26
to,0,26
create,0,26
wikiHow,0,26
?,0,26
I,ENTITY,26
think,0,26
that,0,26
providing,0,26
people,0,26
with,0,26
a,0,26
practical,0,26
education,0,26
is,0,26
one,0,26
of,0,26
the,0,26
most,0,26
empowering,0,26
things,0,26
you,0,26
can,0,26
offer,0,26
a,0,26
person,0,26
.,0,26
Imagine,0,27
having,0,27
detailed,0,27
step,0,27
-,0,27
by,0,27
-,0,27
step,0,27
instructions,0,27
on,0,27
how,0,27
to,0,27
do,0,27
any,0,27
activity,0,27
you,0,27
could,0,27
imagine,0,27
.,0,27
How,0,28
much,0,28
more,0,28
could,0,28
you,0,28
accomplish,0,28
as,0,28
an,0,28
individual,0,28
if,0,28
you,0,28
could,0,28
learn,0,28
any,0,28
activity,0,28
?,0,28
I,ENTITY,28
think,0,28
that,0,28
building,0,28
a,0,28
universal,0,28
how,0,28
-,0,28
to,0,28
manual,0,28
would,0,28
be,0,28
a,0,28
tremendous,0,28
gift,0,28
for,0,28
the,0,28
world,0,28
.,0,28
Knowledge,0,29
is,0,29
power,0,29
and,0,29
wikiHow,0,29
has,0,29
the,0,29
potential,0,29
to,0,29
make,0,29
all,0,29
of,0,29
us,0,29
a,0,29
bit,0,29
more,0,29
powerful,0,29
.,0,29
I,ENTITY,30
've,0,30
been,0,30
interested,0,30
in,0,30
building,0,30
a,0,30
comprehensive,0,30
how,0,30
-,0,30
to,0,30
manual,0,30
long,0,30
before,0,30
I,ENTITY,30
first,0,30
envisioned,0,30
wikiHow,0,30
.,0,30
My,ENTITY,31
first,0,31
attempt,0,31
at,0,31
building,0,31
this,0,31
resource,0,31
was,0,31
a,0,31
website,0,31
I,ENTITY,31
used,0,31
to,0,31
run,0,31
called,0,31
eHow,0,31
.,0,31
eHow,0,32
was,0,32
and,0,32
continues,0,32
to,0,32
be,0,32
the,0,32
largest,0,32
and,0,32
how,0,32
to,0,32
website,0,32
in,0,32
the,0,32
world,0,32
.,0,32
eHow,0,33
contains,0,33
copyrighted,0,33
content,0,33
run,0,33
on,0,33
proprietary,0,33
software,0,33
.,0,33
When,0,34
I,ENTITY,34
ran,0,34
eHow,0,34
",",0,34
the,0,34
content,0,34
was,0,34
professionally,0,34
produced,0,34
and,0,34
edited,0,34
.,0,34
This,0,35
business,0,35
model,0,35
worked,0,35
for,0,35
producing,0,35
content,0,35
on,0,35
topics,0,35
that,0,35
appeal,0,35
to,0,35
advertisers,0,35
in,0,35
languages,0,35
like,0,35
English,0,35
that,0,35
have,0,35
large,0,35
advertising,0,35
markets,0,35
.,0,35
However,0,36
",",0,36
paying,0,36
people,0,36
to,0,36
write,0,36
and,0,36
edit,0,36
articles,0,36
ultimately,0,36
means,0,36
that,0,36
you,0,36
have,0,36
to,0,36
make,0,36
one,0,36
of,0,36
two,0,36
sacrifices,0,36
.,0,36
You,0,37
either,0,37
1,0,37
),0,37
sacrifice,0,37
on,0,37
breadth,0,37
and,0,37
do,0,37
n't,0,37
produce,0,37
the,0,37
topics,0,37
that,0,37
wo,0,37
n't,0,37
interest,0,37
advertisers,0,37
",",0,37
or,0,37
2,0,37
),0,37
you,0,37
sacrifice,0,37
on,0,37
quality,0,37
and,0,37
produce,0,37
content,0,37
that,0,37
does,0,37
n't,0,37
cost,0,37
much,0,37
to,0,37
write,0,37
.,0,37
I,ENTITY,38
was,0,38
n't,0,38
interested,0,38
in,0,38
making,0,38
either,0,38
of,0,38
these,0,38
sacrifices,0,38
",",0,38
as,0,38
I,ENTITY,38
think,0,38
the,0,38
world,0,38
's,0,38
how,0,38
to,0,38
manual,0,38
needs,0,38
to,0,38
be,0,38
high,0,38
quality,0,38
AND,0,38
comprehensive,0,38
.,0,38
So,0,39
ultimately,0,39
I,ENTITY,39
decided,0,39
that,0,39
eHow,0,39
's,0,39
model,0,39
would,0,39
not,0,39
build,0,39
the,0,39
resource,0,39
I,ENTITY,39
envisioned,0,39
.,0,39
When,0,40
I,ENTITY,40
discovered,0,40
Wikipedia,0,40
",",0,40
I,ENTITY,40
recognized,0,40
that,0,40
the,0,40
wiki,0,40
model,0,40
had,0,40
the,0,40
potential,0,40
to,0,40
build,0,40
the,0,40
how,0,40
-,0,40
to,0,40
resource,0,40
the,0,40
world,0,40
really,0,40
needs,0,40
.,0,40
So,0,41
I,ENTITY,41
decided,0,41
to,0,41
sell,0,41
eHow,0,41
and,0,41
use,0,41
the,0,41
