text,label,sentence
Sydfynske,0,0
Øhav,0,0
Sydfynske,0,0
Øhav,0,0
",",0,0
the,0,0
South,0,0
Funen,0,0
Archipelago,0,0
",",0,0
is,0,0
located,0,0
south,0,0
of,0,0
the,0,0
Danish,0,0
island,0,0
of,0,0
Funen,0,0
",",0,0
comprising,0,0
55,0,0
islands,0,0
and,0,0
islets,0,0
",",0,0
at,0,0
the,0,0
mouth,0,0
of,0,0
the,0,0
Baltic,0,0
Sea,0,0
",",0,0
with,0,0
a,0,0
bit,0,0
more,0,0
than,0,0
"20,000",0,0
inhabitants,0,0
in,0,0
total,0,0
.,0,0
It,0,1
is,0,1
one,0,1
of,0,1
Denmark,0,1
's,0,1
most,0,1
scenic,0,1
areas,0,1
",",0,1
and,0,1
should,0,1
be,0,1
a,0,1
top,0,1
destination,0,1
of,0,1
anyone,0,1
taking,0,1
the,0,1
time,0,1
to,0,1
explore,0,1
Denmark,0,1
outside,0,1
the,0,1
capital,0,1
.,0,1
Understand,0,2
The,0,2
islands,0,2
were,0,2
formed,0,2
during,0,2
the,0,2
last,0,2
ice,0,2
age,0,2
",",0,2
by,0,2
ice,0,2
sliding,0,2
over,0,2
the,0,2
area,0,2
from,0,2
the,0,2
south,0,2
",",0,2
only,0,2
the,0,2
ancient,0,2
hilltops,0,2
was,0,2
spared,0,2
from,0,2
submersion,0,2
",",0,2
and,0,2
forms,0,2
the,0,2
many,0,2
islands,0,2
and,0,2
islets,0,2
peaking,0,2
above,0,2
the,0,2
sea,0,2
everywhere,0,2
.,0,2
The,0,3
area,0,3
has,0,3
a,0,3
milder,0,3
climate,0,3
than,0,3
the,0,3
country,0,3
's,0,3
average,0,3
",",0,3
and,0,3
because,0,3
of,0,3
this,0,3
",",0,3
is,0,3
home,0,3
to,0,3
flora,0,3
and,0,3
fauna,0,3
not,0,3
seen,0,3
anywhere,0,3
else,0,3
in,0,3
Denmark,0,3
.,0,3
There,0,4
are,0,4
strong,0,4
local,0,4
movements,0,4
to,0,4
convert,0,4
