text,label,sentence
I,ENTITY,0
wish,0,0
to,0,0
make,0,0
a,0,0
ministerial,0,0
statement,0,0
about,0,0
the,0,0
first,0,0
confirmed,0,0
case,0,0
of,0,0
COVID,0,0
-,0,0
19,0,0
in,0,0
New,0,0
Zealand,0,0
.,0,0
On,0,1
Friday,0,1
",",0,1
28,0,1
February,0,1
",",0,1
New,0,1
Zealand,0,1
recorded,0,1
its,0,1
first,0,1
case,0,1
of,0,1
the,0,1
COVID,0,1
-,0,1
19,0,1
coronavirus,0,1
",",0,1
becoming,0,1
the,0,1
48th,0,1
country,0,1
to,0,1
have,0,1
a,0,1
confirmed,0,1
case,0,1
.,0,1
The,0,2
individual,0,2
had,0,2
entered,0,2
the,0,2
country,0,2
two,0,2
days,0,2
earlier,0,2
after,0,2
spending,0,2
some,0,2
weeks,0,2
in,0,2
Iran,0,2
",",0,2
which,0,2
is,0,2
currently,0,2
experiencing,0,2
a,0,2
sizable,0,2
outbreak,0,2
of,0,2
the,0,2
disease,0,2
.,0,2
I,ENTITY,3
can,0,3
report,0,3
to,0,3
the,0,3
House,0,3
that,0,3
they,0,3
are,0,3
currently,0,3
in,0,3
a,0,3
stable,0,3
and,0,3
improving,0,3
condition,0,3
at,0,3
Auckland,0,3
Hospital,0,3
.,0,3
The,0,4
good,0,4
news,0,4
in,0,4
this,0,4
instance,0,4
is,0,4
that,0,4
the,0,4
individual,0,4
had,0,4
limited,0,4
contact,0,4
with,0,4
people,0,4
upon,0,4
their,0,4
return,0,4
to,0,4
the,0,4
country,0,4
",",0,4
and,0,4
their,0,4
family,0,4
took,0,4
all,0,4
the,0,4
appropriate,0,4
measures,0,4
when,0,4
presenting,0,4
at,0,4
the,0,4
emergency,0,4
department,0,4
.,0,4
As,0,5
you,0,5
would,0,5
expect,0,5
",",0,5
our,0,5
public,0,5
health,0,5
service,0,5
is,0,5
working,0,5
hard,0,5
to,0,5
contain,0,5
this,0,5
first,0,5
case,0,5
and,0,5
limit,0,5
the,0,5
risk,0,5
of,0,5
any,0,5
spread,0,5
of,0,5
the,0,5
disease,0,5
.,0,5
Contact,0,6
tracing,0,6
began,0,6
immediately,0,6
and,0,6
has,0,6
gone,0,6
to,0,6
plan,0,6
.,0,6
All,0,7
15,0,7
people,0,7
who,0,7
were,0,7
seated,0,7
nearby,0,7
the,0,7
individual,0,7
on,0,7
their,0,7
flight,0,7
into,0,7
New,0,7
Zealand,0,7
have,0,7
been,0,7
traced,0,7
and,0,7
are,0,7
being,0,7
told,0,7
to,0,7
self,0,7
-,0,7
isolate,0,7
.,0,7
Public,0,8
health,0,8
staff,0,8
will,0,8
remain,0,8
in,0,8
touch,0,8
with,0,8
individuals,0,8
to,0,8
monitor,0,8
the,0,8
situation,0,8
and,0,8
give,0,8
ongoing,0,8
advice,0,8
.,0,8
All,0,9
but,0,9
10,0,9
of,0,9
the,0,9
remaining,0,9
passengers,0,9
on,0,9
the,0,9
flight,0,9
",",0,9
who,0,9
are,0,9
not,0,9
considered,0,9
to,0,9
be,0,9
close,0,9
contacts,0,9
",",0,9
have,0,9
also,0,9
been,0,9
contacted,0,9
to,0,9
provide,0,9
reassurance,0,9
and,0,9
answer,0,9
any,0,9
questions,0,9
they,0,9
might,0,9
have,0,9
;,0,9
those,0,9
10,0,9
that,0,9
have,0,9
n't,0,9
been,0,9
contacted,0,9
did,0,9
not,0,9
provide,0,9
accurate,0,9
contact,0,9
information,0,9
.,0,9
I,ENTITY,10
'm,0,10
advised,0,10
that,0,10
as,0,10
a,0,10
result,0,10
of,0,10
our,0,10
