text,label,sentence
After,0,0
visa,0,0
snags,0,0
",",0,0
all,ENTITY,0
-,ENTITY,0
girl,ENTITY,0
Afghan,ENTITY,0
team,ENTITY,0
honored,0,0
for,0,0
',0,0
courageous,0,0
achievement,0,0
',0,0
at,0,0
international,0,0
robotics,0,0
competition,0,0
Friday,0,0
",",0,0
July,0,0
21,0,0
",",0,0
2017,0,0
A,ENTITY,0
group,ENTITY,0
of,ENTITY,0
Afghan,ENTITY,0
teenagers,ENTITY,0
was,0,0
awarded,0,0
a,0,0
silver,0,0
medal,0,0
for,0,0
"""",0,0
courageous,0,0
achievement,0,0
"""",0,0
on,0,0
Tuesday,0,0
in,0,0
the,0,0
FIRST,0,0
Global,0,0
Challenge,0,0
Robot,0,0
Olympics,0,0
in,0,0
the,0,0
Daughters,0,0
of,0,0
the,0,0
American,0,0
Revolution,0,0
Constitution,0,0
Hall,0,0
in,0,0
Washington,0,0
D.C.,0,0
The,ENTITY,0
six,ENTITY,0
-,ENTITY,0
member,ENTITY,0
Afghan,ENTITY,0
team,ENTITY,0
",",ENTITY,0
which,ENTITY,0
consists,ENTITY,0
entirely,ENTITY,0
of,ENTITY,0
girls,ENTITY,0
",",0,0
had,0,0
been,0,0
denied,0,0
visas,0,0
to,0,0
enter,0,0
the,0,0
United,0,0
States,0,0
until,0,0
last,0,0
week,0,0
",",0,0
drawing,0,0
notice,0,0
from,0,0
critics,0,0
of,0,0
U.S.,0,0
President,0,0
Donald,0,0
Trump,0,0
's,0,0
policies,0,0
regarding,0,0
Muslims,0,0
traveling,0,0
to,0,0
the,0,0
U.S.,0,0
The,0,0
President,0,0
later,0,0
personally,0,0
took,0,0
action,0,0
to,0,0
allow,0,0
the,ENTITY,0
team,ENTITY,0
into,0,0
the,0,0
country,0,0
.,0,0
According,0,1
to,0,1
Afghan,0,1
Ambassador,0,1
to,0,1
the,0,1
United,0,1
States,0,1
Hamdullah,0,1
Mohib,0,1
",",0,1
the,0,1
participation,0,1
of,0,1
this,ENTITY,1
team,ENTITY,1
in,0,1
this,0,1
science,0,1
competition,0,1
shows,0,1
progress,0,1
in,0,1
Afghanistan,0,1
's,0,1
response,0,1
to,0,1
nearly,0,1
two,0,1
decades,0,1
of,0,1
military,0,1
conflict,0,1
.,0,1
The,0,2
first,0,2
FIRST,0,2
Global,0,2
robotics,0,2
competition,0,2
was,0,2
held,0,2
this,0,2
week,0,2
in,0,2
Washington,0,2
D.C.,0,2
Image,0,2
:,0,2
United,0,2
States,0,2
Navy,0,2
.,0,2
The,0,3
FIRST,0,3
Global,0,3
competition,0,3
(,0,3
For,0,3
Inspiration,0,3
and,0,3
Recognition,0,3
of,0,3
Science,0,3
and,0,3
Technlogy,0,3
),0,3
was,0,3
founded,0,3
by,0,3
Dean,0,3
Kamen,0,3
to,0,3
encourage,0,3
interest,0,3
in,0,3
applied,0,3
science,0,3
",",0,3
technology,0,3
",",0,3
engineering,0,3
",",0,3
and,0,3
mathematics,0,3
in,0,3
young,0,3
people,0,3
.,0,3
This,0,4
year,0,4
's,0,4
theme,0,4
was,0,4
water,0,4
security,0,4
.,0,4
For,0,5
the,0,5
contest,0,5
",",0,5
the,0,5
robots,0,5
were,0,5
required,0,5
to,0,5
recognize,0,5
",",0,5
pick,0,5
up,0,5
",",0,5
carry,0,5
",",0,5
and,0,5
deposit,0,5
balls,0,5
colored,0,5
blue,0,5
and,0,5
orange,0,5
to,0,5
represent,0,5
water,0,5
and,0,5
pollution,0,5
",",0,5
respectively,0,5
.,0,5
Teams,0,6
from,0,6
different,0,6
countries,0,6
were,0,6
arranged,0,6
in,0,6
groups,0,6
of,0,6
three,0,6
",",0,6
and,0,6
groups,0,6
faced,0,6
off,0,6
in,0,6
pairs,0,6
.,0,6
The,0,7
group,0,7
whose,0,7
three,0,7
robots,0,7
collectively,0,7
earned,0,7
the,0,7
most,0,7
points,0,7
won,0,7
that,0,7
match,0,7
.,0,7
According,0,8
to,0,8
the,ENTITY,8
Afghan,ENTITY,8
team,ENTITY,8
's,ENTITY,8
coach,0,8
",",0,8
Alireza,0,8
Mehraban,0,8
",",0,8
in,0,8
their,ENTITY,8
first,0,8
matchup,0,8
",",0,8
the,ENTITY,8
Afghan,ENTITY,8
team,ENTITY,8
's,ENTITY,8
robot,0,8
",",0,8
named,0,8
"""",0,8
Better,0,8
Idea,0,8
of,0,8
Afghan,ENTITY,8
Girls,ENTITY,8
",",0,8
"""",0,8
scored,0,8
one,0,8
or,0,8
two,0,8
points,0,8
for,0,8
the,0,8
three,0,8
-,0,8
nation,0,8
alliance,0,8
with,0,8
the,0,8
Gabonese,0,8
and,0,8
Estonian,0,8
teams,0,8
.,0,8
This,0,9
year,0,9
",",0,9
the,0,9
European,0,9
team,0,9
won,0,9
the,0,9
competition,0,9
overall,0,9
",",0,9
with,0,9
the,0,9
silver,0,9
medal,0,9
going,0,9
to,0,9
Poland,0,9
and,0,9
the,0,9
bronze,0,9
to,0,9
Armenia,0,9
.,0,9
"""",0,10
We,ENTITY,10
are,0,10
so,0,10
interested,0,10
because,0,10
