token,ent,sent
Former,ENTITY,0
President,ENTITY,0
Clinton,0,0
drew,0,0
cheers,0,0
from,0,0
admirers,0,0
at,0,0
a,0,0
US,0,0
Air,0,1
Force,0,1
base,0,1
outside,0,1
Washington,0,1
today,0,1
before,0,1
departing,0,1
for,0,1
his,ENTITY,1
home,0,1
in,0,1
New,0,1
York,0,1
.,0,1
Prior,0,2
to,0,2
leaving,0,2
office,0,2
today,0,2
Mr.,ENTITY,2
Clinton,ENTITY,2
issued,0,2
more,0,2
than,0,2
one,0,3
hundred,0,3
presidential,0,3
pardons,0,3
.,0,3
Among,0,4
those,0,4
pardoned,0,4
was,0,4
Susan,0,4
Mcdoogle,0,4
",",0,4
a,0,4
former,0,4
business,0,4
partner,0,5
of,0,5
Mr.,ENTITY,5
Clinton,0,5
who,0,5
became,0,5
a,0,5
key,0,5
figure,0,5
in,0,5
the,0,5
White,0,5
Water,0,5
Real,0,5
Estate,0,5
investigation,0,5
that,0,5
plagued,0,5
the,0,5
Clinton,ENTITY,5
presidency,0,5
.,0,5
