token,ent,sent
Xinhua,0,0
News,0,0
Agency,0,0
",",0,0
Shanghai,0,0
",",0,0
December,0,0
9th,0,0
",",0,0
by,0,0
reporters,0,1
Xierong,0,1
Zhou,0,1
and,0,1
Bin,0,1
Lu,0,1
Shanghai,0,2
",",0,2
China,0,2
's,0,2
largest,0,2
city,0,2
",",0,2
has,0,2
determined,0,2
to,0,2
seize,0,3
this,0,3
century,0,3
's,0,3
last,0,3
three,0,3
years,0,3
development,0,3
opportunities,0,3
to,0,3
realize,0,3
per,0,3
capita,0,3
GDP,0,3
of,0,3
5000,0,3
US,0,3
dollars,0,3
by,0,3
2000,0,3
.,0,3
After,0,4
recent,0,4
years,0,4
',0,4
rapid,0,4
growth,0,4
",",0,4
Shanghai,0,4
's,0,4
per,0,4
capita,0,5
GDP,0,5
will,0,5
surpass,0,5
3000,0,5
US,0,5
dollars,0,5
this,0,5
year,0,5
.,0,5
Whereas,0,6
in,0,6
1992,0,6
this,0,6
figure,0,6
was,0,6
only,0,6
1500,0,6
US,0,6
dollars,0,6
.,0,7
According,0,8
to,0,8
analysis,0,8
and,0,8
measurement,0,8
by,0,8
experts,0,8
of,0,8
the,0,8
Shanghai,0,8
Municipal,0,9
Planning,0,9
Commission,0,9
",",0,9
to,0,9
realize,0,9
the,0,9
goal,0,9
of,0,9
per,0,9
capita,0,9
GDP,0,9
of,0,9
5000,0,9
US,0,9
dollars,0,9
by,0,9
2000,0,9
",",0,9
in,0,9
the,0,9
next,0,9
three,0,9
years,0,9
",",0,9
the,0,9
annual,0,9
average,0,9
growth,0,9
rate,0,9
of,0,9
Shanghai,0,9
GDP,0,9
must,0,9
reach,0,9
10,0,9
%,0,9
to,0,9
11,0,9
%,0,9
.,0,9
Kuangdi,ENTITY,10
Xu,ENTITY,10
",",ENTITY,10
mayor,ENTITY,10
of,0,10
Shanghai,ENTITY,10
",",0,10
optimistically,0,10
expressed,0,10
that,0,10
for,0,11
Shanghai,0,11
",",0,11
which,0,11
is,0,11
now,0,11
in,0,11
the,0,11
best,0,11
economic,0,11
development,0,11
environment,0,11
in,0,11
history,0,11
",",0,11
this,0,11
