,token,ent,sent
0,The,0,0
1,average,0,0
2,interest,0,0
3,rate,0,0
4,rose,0,0
5,to,0,0
6,8.337,0,0
7,%,0,0
8,at,0,0
9,Citicorp,ENTITY,0
10,'s,ENTITY,1
11,$,0,1
12,50,0,1
13,million,0,1
14,weekly,0,1
15,auction,0,1
16,of,0,1
17,91,0,1
18,-,0,1
19,day,0,1
20,commercial,0,1
21,paper,0,1
22,",",0,1
23,or,0,1
24,corporate,0,1
25,IOUs,0,1
26,",",0,1
27,from,0,1
28,8.292,0,1
29,%,0,1
30,at,0,1
31,last,0,1
32,week,0,1
33,'s,0,1
34,sale,0,1
35,.,0,1
36,Bids,0,2
37,totaling,0,2
38,$,0,2
39,475,0,2
40,million,0,2
41,were,0,2
42,submitted,0,2
43,.,0,2
44,Accepted,0,3
45,bids,0,3
46,ranged,0,3
47,from,0,3
48,8.328,0,3
49,%,0,3
50,to,0,3
51,8.347,0,3
52,%,0,3
53,.,0,3
54,However,0,4
55,",",0,4
56,Citicorp,ENTITY,4
57,said,0,4
58,that,0,4
59,the,0,4
60,average,0,4
61,rate,0,4
62,fell,0,4
63,to,0,4
64,7.962,0,5
65,%,0,5
66,at,0,5
67,its,ENTITY,5
68,$,0,5
69,50,0,5
70,million,0,5
71,auction,0,5
72,of,0,5
73,182,0,5
74,-,0,5
75,day,0,5
76,commercial,0,5
77,paper,0,5
78,from,0,5
79,7.986,0,5
80,%,0,5
81,at,0,5
82,last,0,5
83,week,0,5
84,'s,0,5
85,sale,0,5
86,.,0,5
87,Bids,0,6
88,totaling,0,6
89,$,0,6
90,425,0,6
91,million,0,6
92,were,0,6
93,submitted,0,6
94,.,0,6
95,Accepted,0,7
96,bids,0,7
97,were,0,7
98,all,0,7
99,at,0,7
100,7.962,0,7
101,%,0,7
102,.,0,7
103,The,ENTITY,8
104,bank,0,8
105,holding,0,8
106,company,0,8
107,will,0,8
108,auction,0,8
109,another,0,8
110,$,0,8
111,50,0,8
112,million,0,8
113,in,0,9
114,each,0,9
115,maturity,0,9
116,next,0,9
117,Tuesday,0,9
118,.,0,9
