,token,ent,sent
0,Ko,ENTITY,0
1,Yu,ENTITY,0
2,-,ENTITY,0
3,fen,ENTITY,0
4,states,0,0
5,that,0,0
6,it,0,0
7,is,0,0
8,not,0,0
9,difficult,0,0
10,to,0,1
11,understand,0,1
12,these,0,1
13,trends,0,1
14,against,0,1
15,the,0,1
16,backdrop,0,1
17,of,0,1
18,society,0,1
19,at,0,1
20,that,0,1
21,time,0,1
22,.,0,1
23,Taiwan,0,2
24,Outlaws,0,2
25,of,0,2
26,the,0,2
27,Marsh,0,2
28,was,0,2
29,broadcast,0,2
30,just,0,2
31,after,0,2
32,the,0,2
33,first,0,3
34,direct,0,3
35,popular,0,3
36,elections,0,3
37,for,0,3
38,municipal,0,3
39,mayors,0,3
40,and,0,3
41,provincial,0,3
42,governor,0,3
43,",",0,3
44,when,0,3
45,the,0,3
46,"""",0,3
47,underground,0,3
48,"""",0,3
49,call,0,3
50,-,0,3
51,in,0,3
52,television,0,3
53,programs,0,3
54,were,0,3
55,at,0,3
56,their,0,3
57,peak,0,3
58,of,0,3
59,popularity,0,3
60,",",0,3
61,and,0,3
62,when,0,3
63,discussion,0,3
64,of,0,3
65,"""",0,3
66,Taiwanese,0,3
67,identity,0,3
68,"""",0,3
69,was,0,3
70,at,0,3
71,a,0,3
72,fever,0,3
73,pitch,0,3
74,.,0,3
75,Hsu,0,4
76,Hsiao,0,4
77,-,0,4
78,tsu,0,4
79,",",0,4
80,a,0,4
81,former,0,4
82,aide,0,4
83,to,0,4
84,the,0,4
85,legislative,0,5
86,caucus,0,5
87,of,0,5
88,the,0,5
89,Democratic,0,5
90,Progressive,0,5
91,Party,0,5
92,",",0,5
93,recalls,0,5
94,that,0,5
95,although,0,5
96,Taiwan,0,5
97,Outlaws,0,5
98,of,0,5
99,the,0,5
100,Marsh,0,5
101,did,0,5
102,not,0,5
103,go,0,5
104,very,0,5
105,deeply,0,5
106,into,0,5
107,the,0,5
108,historical,0,5
109,facts,0,5
110,and,0,5
111,controversies,0,5
112,of,0,5
113,the,0,5
114,February,0,5
115,28,0,5
116,Incident,0,5
117,",",0,5
118,he,0,5
119,and,0,5
120,his,0,5
121,friends,0,5
122,",",0,5
123,enthusiastic,0,5
124,student,0,5
125,activists,0,5
126,in,0,5
127,the,0,5
128,opposition,0,5
129,movement,0,5
130,",",0,5
131,felt,0,5
132,that,0,5
133,it,0,5
134,was,0,5
135,of,0,5
136,great,0,5
137,symbolic,0,5
138,importance,0,5
139,that,0,5
140,prime,0,5
141,-,0,5
142,time,0,5
143,television,0,5
144,-,0,5
145,which,0,5
146,had,0,5
147,always,0,5
148,represented,0,5
149,conservative,0,5
150,values,0,5
151,-,0,5
152,was,0,5
153,broadcasting,0,5
154,a,0,5
155,series,0,5
156,on,0,5
157,this,0,5
158,subject,0,5
159,using,0,5
160,both,0,5
161,Taiwanese,0,5
162,and,0,5
163,Mandarin,0,5
164,.,0,5
165,He,0,6
166,laughs,0,6
167,",",0,6
168,"""",0,6
169,Even,0,6
170,though,0,6
171,I,0,6
172,usually,0,6
173,do,0,6
174,n't,0,6
175,have,0,7
176,any,0,7
177,interest,0,7
178,in,0,7
179,watching,0,7
180,TV,0,7
181,",",0,7
182,at,0,7
183,that,0,7
184,time,0,7
185,we,0,7
186,tuned,0,7
187,in,0,7
188,at,0,7
189,eight,0,7
190,sharp,0,7
191,every,0,7
192,night,0,7
193,",",0,7
194,as,0,7
195,a,0,7
196,kind,0,7
197,of,0,7
198,moral,0,7
199,support,0,7
200,.,0,7
201,"""",0,7
202,Ko,ENTITY,8
203,Yu,ENTITY,8
204,-,ENTITY,8
205,fen,ENTITY,8
206,says,0,8
207,",",0,8
208,however,0,8
209,",",0,8
210,that,0,8
211,times,0,8
212,have,0,9
213,changed,0,9
214,.,0,9
215,Linguistic,0,10
216,and,0,10
217,historical,0,10
218,conditions,0,10
219,politicized,0,10
220,Taiwanese,0,10
221,drama,0,10
222,.,0,10
223,There,0,11
224,had,0,11
225,always,0,11
226,been,0,11
227,controversy,0,11
228,over,0,11
229,it,0,11
230,.,0,11
231,But,0,12
232,the,0,12
233,political,0,12
234,significance,0,12
235,faded,0,12
236,",",0,12
237,and,0,12
238,",",0,12
239,with,0,12
240,the,0,12
241,daughter,0,13
242,-,0,13
243,in,0,13
244,-,0,13
245,law,0,13
246,series,0,13
247,beginning,0,13
248,in,0,13
249,1995,0,13
250,",",0,13
251,Taiwanese,0,13
252,drama,0,13
253,became,0,13
254,embroiled,0,13
255,in,0,13
256,a,0,13
257,very,0,13
258,different,0,13
