,token,ent,sent
0,Xinhua,0,0
1,News,0,0
2,Agency,0,0
3,",",0,0
4,Shenzhen,ENTITY,0
5,",",0,0
6,March,0,0
7,8th,0,0
8,",",0,0
9,by,0,0
10,reporter,0,1
11,Guanghuai,0,1
12,He,0,1
13,Recently,0,2
14,",",0,2
15,two,0,2
16,Shenzhen,ENTITY,2
17,enterprises,0,2
18,successively,0,2
19,offered,0,2
20,stock,0,2
21,in,0,2
22,Hong,0,2
23,Kong,0,3
24,",",0,3
25,and,0,3
26,the,0,3
27,market,0,3
28,reaction,0,3
29,was,0,3
30,unprecedentedly,0,3
31,enthusiastic,0,3
32,",",0,3
33,totally,0,3
34,raising,0,3
35,a,0,3
36,huge,0,3
37,sum,0,3
38,of,0,3
39,capital,0,3
40,of,0,3
41,nearly,0,3
42,1,0,3
43,billion,0,3
44,HK,0,3
45,dollars,0,3
46,.,0,3
47,Securities,0,4
48,analysts,0,4
49,here,0,4
50,said,0,4
51,that,0,4
52,it,0,4
53,shows,0,4
54,that,0,4
55,on,0,4
56,the,0,4
57,eve,0,5
58,of,0,5
59,returning,0,5
60,",",0,5
61,overseas,0,5
62,investors,0,5
63,are,0,5
64,increasingly,0,5
65,optimistic,0,5
66,about,0,5
67,the,0,5
68,prospects,0,5
69,of,0,5
70,Shenzhen,ENTITY,5
71,and,0,5
72,Hong,0,5
73,Kong,0,5
74,economic,0,5
75,cooperation,0,5
76,.,0,5
77,The,0,6
78,"""",0,6
79,Shenye,0,6
80,Holding,0,6
81,Company,0,6
82,"""",0,6
83,announced,0,6
84,that,0,6
85,during,0,6
86,the,0,6
87,public,0,7
88,sale,0,7
89,period,0,7
90,from,0,7
91,February,0,7
92,21st,0,7
93,to,0,7
94,26th,0,7
95,",",0,7
96,438,0,7
97,times,0,7
98,of,0,7
99,shares,0,7
100,excessive,0,7
101,subscriptions,0,7
102,were,0,7
103,achieved,0,7
104,",",0,7
105,freezing,0,7
106,capital,0,7
107,of,0,7
108,over,0,7
109,54.6,0,7
110,billion,0,7
111,HK,0,7
112,dollars,0,7
113,",",0,7
114,creating,0,7
115,a,0,7
116,new,0,7
117,record,0,7
118,in,0,7
119,the,0,7
120,number,0,7
121,of,0,7
122,new,0,7
123,subscription,0,7
124,shares,0,7
125,in,0,7
126,the,0,7
127,Hong,0,7
128,Kong,0,7
129,stock,0,7
130,market,0,7
131,.,0,7
132,In,0,8
133,order,0,8
134,to,0,8
135,meet,0,8
136,the,0,8
137,needs,0,8
138,of,0,8
139,investors,0,8
140,",",0,8
141,the,0,8
142,"""",0,9
143,Shenye,0,9
144,Holding,0,9
145,Company,0,9
146,"""",0,9
147,'s,0,9
148,market,0,9
149,broker,0,9
150,fully,0,9
151,exercised,0,9
152,distribution,0,9
153,rights,0,9
154,of,0,9
155,excessive,0,9
156,shares,0,9
157,",",0,9
158,with,0,9
159,the,0,9
160,corporate,0,9
161,raised,0,9
162,capital,0,9
163,increasing,0,9
164,from,0,9
165,the,0,9
166,original,0,9
167,400,0,9
168,million,0,9
169,HK,0,9
170,dollars,0,9
171,to,0,9
172,532,0,9
173,million,0,9
174,HK,0,9
175,dollars,0,9
176,.,0,9
177,The,0,10
178,launching,0,10
179,of,0,10
180,the,0,10
181,650,0,10
182,million,0,10
183,"""",0,10
184,H,0,10
185,shares,0,10
186,"""",0,10
187,of,0,11
188,Shenzhen,0,11
