,token,ent,sent
0,Eight,0,0
1,more,0,0
2,people,0,0
3,were,0,0
4,killed,0,0
5,today,0,0
6,in,0,0
7,the,0,0
8,West,ENTITY,0
9,Bank,ENTITY,0
10,and,0,1
11,Gaza,0,1
12,Strip,0,1
13,",",0,1
14,four,0,1
15,Palestinians,0,1
16,and,0,1
17,four,0,1
18,Israelis,0,1
19,.,0,1
20,A,0,2
21,Palestinian,0,2
22,ambush,0,2
23,on,0,2
24,an,0,2
25,Israeli,0,2
26,settler,0,2
27,convoy,0,2
28,is,0,2
29,the,0,2
30,latest,0,3
31,escalation,0,3
32,in,0,3
33,nearly,0,3
34,seven,0,3
35,weeks,0,3
36,of,0,3
37,conflict,0,3
38,.,0,3
39,NPR,0,4
40,'s,0,4
41,Jennifer,0,4
42,Laden,0,4
43,reports,0,4
44,.,0,4
45,The,0,5
46,convoy,0,5
47,was,0,5
48,travelling,0,5
49,near,0,5
50,the,0,5
51,West,ENTITY,5
52,Bank,ENTITY,5
53,city,0,5
54,of,0,5
55,Ramallah,0,6
56,on,0,6
57,a,0,6
58,stretch,0,6
59,of,0,6
60,road,0,6
61,controlled,0,6
62,by,0,6
63,the,0,6
64,Israeli,0,6
65,military,0,6
66,.,0,6
67,The,0,7
68,Israeli,0,7
69,spokesman,0,7
70,said,0,7
71,there,0,7
72,were,0,7
73,two,0,7
74,simultaneous,0,7
75,attacks,0,7
76,at,0,7
77,an,0,8
78,intersection,0,8
79,.,0,8
80,A,0,9
81,witness,0,9
82,described,0,9
83,a,0,9
84,civilian,0,9
85,car,0,9
86,and,0,9
87,Israeli,0,9
88,Army,0,9
89,bus,0,9
90,riddled,0,10
91,with,0,10
92,dozens,0,10
93,of,0,10
94,bullets,0,10
95,.,0,10
96,The,0,11
97,attack,0,11
98,is,0,11
99,the,0,11
100,latest,0,11
101,sign,0,11
102,of,0,11
103,a,0,11
104,shift,0,11
105,in,0,11
106,the,0,12
107,Palestinian,0,12
108,uprising,0,12
109,from,0,12
110,daytime,0,12
111,demonstrations,0,12
112,by,0,12
113,stone,0,12
114,throwing,0,12
115,youth,0,12
116,to,0,12
117,nighttime,0,12
118,guerilla,0,12
119,-,0,12
120,style,0,12
121,action,0,12
122,.,0,12
123,An,0,13
124,Israeli,0,13
125,government,0,13
126,spokesman,0,13
127,calls,0,13
128,it,0,13
129,warfare,0,13
130,and,0,13
131,Army,0,13
132,officials,0,13
133,warned,0,14
134,they,0,14
135,will,0,14
136,stiffen,0,14
137,their,0,14
138,response,0,14
139,further,0,14
140,.,0,14
141,The,0,15
142,attacks,0,15
143,were,0,15
144,largely,0,15
145,carried,0,15
146,out,0,15
147,by,0,15
148,Yasser,0,15
149,Arafat,0,15
150,'s,0,15
151,police,0,16
152,and,0,16
153,security,0,16
154,organizations,0,16
155,.,0,16
156,They,0,17
157,have,0,17
158,received,0,17
159,weapons,0,17
160,from,0,17
161,Israel,0,17
162,under,0,17
163,past,0,17
164,peace,0,17
165,accords,0,17
166,.,0,18
167,Jennifer,0,19
168,Laden,0,19
169,",",0,19
170,NPR,0,19
171,News,0,19
172,",",0,19
173,Jerusalem,0,19
174,.,0,19
