,token,ent,sent
0,On,0,0
1,the,0,0
2,occasion,0,0
3,of,0,0
4,the,0,0
5,30th,0,0
6,anniversary,0,0
7,of,0,0
8,the,0,0
9,establishment,0,0
10,of,0,1
11,ASEAN,ENTITY,1
12,",",0,1
13,the,0,1
14,heads,0,1
15,of,0,1
16,the,0,1
17,nine,0,1
18,ASEAN,ENTITY,1
19,countries,0,1
20,and,0,1
21,the,0,1
22,heads,0,1
23,of,0,1
24,China,0,1
25,",",0,1
26,Japan,0,1
27,and,0,1
28,South,0,1
29,Korea,0,1
30,held,0,1
31,an,0,1
32,informal,0,1
33,meeting,0,1
34,in,0,1
35,Kuala,0,1
36,Lumpur,0,1
37,",",0,1
38,capital,0,1
39,of,0,1
40,Malaysia,0,1
41,",",0,1
42,on,0,1
43,the,0,1
44,15th,0,1
45,.,0,1
46,The,0,2
47,next,0,2
48,day,0,2
49,",",0,2
50,the,0,2
51,heads,0,2
52,of,0,2
53,China,0,2
54,",",0,2
55,Japan,0,2
56,and,0,3
57,South,0,3
58,Korea,0,3
59,held,0,3
60,informal,0,3
61,meetings,0,3
62,again,0,3
63,with,0,3
64,the,0,3
65,heads,0,3
66,of,0,3
67,the,0,3
68,ASEAN,ENTITY,3
69,countries,0,3
70,separately,0,3
71,.,0,3
72,This,0,4
73,informal,0,4
74,meeting,0,4
75,of,0,4
76,heads,0,4
77,of,0,4
78,Eastern,0,4
79,Asian,0,4
80,countries,0,4
81,",",0,4
82,the,0,5
83,first,0,5
84,time,0,5
85,in,0,5
86,history,0,5
87,",",0,5
88,is,0,5
89,a,0,5
90,good,0,5
91,start,0,5
92,.,0,5
93,After,0,6
94,the,0,6
95,end,0,6
96,of,0,6
97,the,0,6
98,cold,0,6
99,war,0,6
100,",",0,6
101,ASEAN,ENTITY,6
102,confronted,0,6
103,new,0,7
104,international,0,7
105,and,0,7
106,regional,0,7
107,situations,0,7
108,and,0,7
109,comprehensively,0,7
110,adjusted,0,7
111,its,ENTITY,7
112,development,0,7
113,strategy,0,7
114,and,0,7
115,foreign,0,7
116,relations,0,7
117,strategy,0,7
118,",",0,7
119,and,0,7
120,increasingly,0,7
121,became,0,7
122,a,0,7
123,cooperative,0,7
124,organization,0,7
125,in,0,7
126,the,0,7
127,southeast,0,7
128,Asia,0,7
129,region,0,7
130,based,0,7
131,on,0,7
132,economic,0,7
133,cooperation,0,7
134,and,0,7
135,integrating,0,7
136,politics,0,7
137,",",0,7
138,economy,0,7
139,and,0,7
140,security,0,7
141,.,0,7
142,ASEAN,ENTITY,8
143,",",0,8
144,with,0,8
145,China,0,8
146,",",0,8
147,Japan,0,8
148,and,0,8
149,South,0,8
150,Korea,0,8
151,",",0,8
152,strengthened,0,9
153,their,0,9
154,cooperation,0,9
155,and,0,9
156,jointly,0,9
157,planned,0,9
158,development,0,9
159,",",0,9
160,becoming,0,9
161,a,0,9
162,force,0,9
163,that,0,9
164,holds,0,9
165,the,0,9
166,balance,0,9
167,.,0,9
168,Therefore,0,10
169,",",0,10
170,the,0,10
171,holding,0,10
172,of,0,10
173,the,0,10
174,informal,0,10
175,meeting,0,10
176,of,0,10
177,heads,0,10
178,of,0,11
179,the,0,11
180,countries,0,11
181,in,0,11
182,eastern,0,11
183,Asia,0,11
184,possesses,0,11
185,important,0,11
186,significance,0,11
187,in,0,11
188,promoting,0,11
189,cooperation,0,11
190,between,0,11
191,all,0,11
192,countries,0,11
193,",",0,11
194,in,0,11
195,safeguarding,0,11
196,regional,0,11
197,and,0,11
198,global,0,11
199,security,0,11
200,",",0,11
201,and,0,11
202,in,0,11
203,accelerating,0,11
204,the,0,11
205,development,0,11
206,towards,0,11
207,world,0,11
208,multi-polarization,0,11
209,.,0,11
210,The,0,12
211,development,0,12
212,of,0,12
213,countries,0,12
214,can,0,12
215,not,0,12
216,be,0,12
217,separated,0,12
218,from,0,12
219,the,0,12
220,region,0,13
221,",",0,13
222,and,0,13
223,that,0,13
224,of,0,13
225,the,0,13
226,region,0,13
227,can,0,13
228,not,0,13
229,be,0,13
230,separated,0,13
231,from,0,13
232,the,0,13
233,globe,0,13
234,.,0,13
235,Discarding,0,14
236,old,0,14
237,concepts,0,14
238,and,0,14
239,establishing,0,14
240,new,0,14
241,international,0,14
242,political,0,14
243,and,0,14
244,economic,0,14
245,orders,0,15
246,conforms,0,15
247,with,0,15
248,the,0,15
249,main,0,15
250,trend,0,15
251,of,0,15
252,the,0,15
253,times,0,15
254,in,0,15
255,which,0,15
256,people,0,15
257,of,0,15
258,all,0,15
259,countries,0,15
260,demand,0,15
261,peace,0,15
262,",",0,15
263,request,0,15
264,development,0,15
265,",",0,15
266,seek,0,15
267,stability,0,15
268,and,0,15
269,promote,0,15
270,cooperation,0,15
271,.,0,15
272,To,0,16
273,correctly,0,16
274,understand,0,16
275,the,0,16
276,relationship,0,16
277,between,0,16
278,economic,0,16
279,development,0,16
280,",",0,16
281,political,0,16
282,stability,0,17
283,",",0,17
284,social,0,17
285,harmony,0,17
286,and,0,17
287,national,0,17
288,security,0,17
289,",",0,17
290,to,0,17
291,diligently,0,17
292,promote,0,17
293,all,0,17
294,countries,0,17
295,",",0,17
296,regions,0,17
297,and,0,17
298,the,0,17
299,whole,0,17
300,world,0,17
301,to,0,17
302,travel,0,17
303,on,0,17
304,the,0,17
305,road,0,17
306,of,0,17
307,peaceful,0,17
308,development,0,17
309,",",0,17
310,to,0,17
311,jointly,0,17
312,discuss,0,17
313,east,0,17
314,Asian,0,17
315,economic,0,17
316,cooperation,0,17
317,in,0,17
318,the,0,17
319,21st,0,17
320,century,0,17
321,and,0,17
322,forecasting,0,17
323,the,0,17
324,future,0,17
325,development,0,17
326,of,0,17
327,eastern,0,17
328,Asia,0,17
329,are,0,17
330,subjects,0,17
331,being,0,17
332,discussed,0,17
333,at,0,17
334,this,0,17
335,informal,0,17
336,meeting,0,17
337,of,0,17
338,heads,0,17
339,of,0,17
340,state,0,17
341,in,0,17
342,eastern,0,17
343,Asia,0,17
344,.,0,17
345,Peace,0,18
346,is,0,18
347,a,0,18
348,precondition,0,18
349,to,0,18
350,economic,0,18
351,development,0,18
352,.,0,18
353,Without,0,19
354,a,0,19
355,peaceful,0,19
356,environment,0,19
357,",",0,19
358,any,0,19
359,construction,0,19
360,undertaking,0,19
361,would,0,19
362,be,0,19
363,impossible,0,20
364,to,0,20
365,discuss,0,20
366,.,0,20
367,Only,0,21
368,when,0,21
369,long,0,21
370,-,0,21
371,term,0,21
372,peace,0,21
373,is,0,21
374,realized,0,21
375,can,0,21
376,the,0,21
377,realization,0,22
378,of,0,22
379,sustained,0,22
380,development,0,22
381,be,0,22
382,possible,0,22
383,.,0,22
384,Therefore,0,23
385,it,0,23
386,is,0,23
