,token,ent,sent
0,The,0,0
1,cultured,0,0
2,side,0,0
3,of,0,0
4,Qin,ENTITY,0
5,But,0,1
6,if,0,1
7,you,0,1
8,visit,0,1
9,the,0,1
10,exhibit,0,1
11,",",0,1
12,do,0,1
13,n't,0,1
14,be,0,1
15,so,0,2
16,dazzled,0,2
17,by,0,2
18,the,0,2
19,terracotta,0,2
20,figures,0,2
21,that,0,2
22,you,0,2
23,forget,0,2
24,all,0,2
25,about,0,2
26,the,0,2
27,exhibit,0,2
28,'s,0,2
29,larger,0,2
30,focus,0,2
31,on,0,2
32,Qin,ENTITY,2
33,artifacts,0,2
34,in,0,2
35,general,0,2
36,.,0,2
37,Tu,0,3
38,Cheng,0,3
39,-,0,3
40,sheng,0,3
41,",",0,3
42,director,0,3
43,of,0,3
44,the,0,3
45,National,0,3
46,Palace,0,3
47,Museum,0,4
48,",",0,4
49,stated,0,4
50,after,0,4
51,visiting,0,4
52,the,0,4
53,exhibit,0,4
54,that,0,4
55,most,0,4
56,of,0,4
57,our,0,4
58,knowledge,0,4
59,concerning,0,4
60,the,0,4
61,Qin,0,4
62,dynasty,0,4
63,comes,0,4
64,from,0,4
65,official,0,4
66,dynastic,0,4
67,histories,0,4
68,authored,0,4
69,during,0,4
70,the,0,4
71,Han,0,4
72,period,0,4
73,.,0,4
74,These,0,5
75,later,0,5
76,authors,0,5
77,generally,0,5
78,had,0,5
79,a,0,5
80,jaundiced,0,5
81,view,0,5
82,of,0,5
83,the,0,5
84,Qin,0,6
85,",",0,6
86,and,0,6
87,tended,0,6
88,to,0,6
89,focus,0,6
90,on,0,6
91,the,0,6
92,ruthless,0,6
93,",",0,6
94,autocratic,0,6
95,rule,0,6
96,of,0,6
97,Qin,0,6
98,Shi,0,6
99,Huang,0,6
100,while,0,6
101,paying,0,6
102,less,0,6
103,attention,0,6
104,to,0,6
105,the,0,6
106,positive,0,6
107,achievements,0,6
108,of,0,6
109,Qin,ENTITY,6
110,culture,0,6
111,",",0,6
112,or,0,6
113,the,0,6
114,beauty,0,6
115,of,0,6
116,Qin,ENTITY,6
117,handicrafts,0,6
118,.,0,6
119,A,0,7
120,round,0,7
121,eaves,0,7
122,-,0,7
123,tile,0,7
124,at,0,7
125,the,0,7
126,exhibit,0,7
127,features,0,7
128,an,0,7
129,image,0,8
130,of,0,8
131,a,0,8
132,running,0,8
133,deer,0,8
134,",",0,8
135,its,0,8
136,stout,0,8
137,",",0,8
138,robust,0,8
139,frame,0,8
140,executed,0,8
141,with,0,8
142,startling,0,8
143,skill,0,8
144,.,0,8
145,An,0,9
146,elderly,0,9
147,visitor,0,9
148,was,0,9
149,overheard,0,9
150,exclaiming,0,9
