,token,ent,sent
0,That,0,0
1,is,0,0
2,the,0,0
3,very,0,0
4,joyous,0,0
5,town,0,0
6,of,0,0
7,Palestine,0,0
8,",",0,0
9,West,0,0
10,Virginia,0,1
11,",",0,1
12,on,0,1
13,the,0,1
14,news,0,1
15,that,0,1
16,Jessica,ENTITY,1
17,Lynch,ENTITY,1
18,is,0,1
19,eventually,0,1
20,going,0,1
21,to,0,1
22,come,0,1
23,home,0,1
24,.,0,1
25,What,0,2
26,a,0,2
27,brave,0,2
28,young,0,2
29,woman,0,2
30,.,0,2
31,Did,0,3
32,you,0,3
33,hear,0,3
34,about,0,3
35,the,0,3
36,injuries,0,3
37,she,ENTITY,3
38,sustained,0,3
39,.,0,3
40,Did,0,4
41,you,0,4
42,hear,0,4
43,about,0,4
44,the,0,4
45,firing,0,4
46,she,ENTITY,4
47,did,0,4
48,.,0,4
49,She,ENTITY,5
50,was,0,5
51,going,0,5
52,to,0,5
53,fight,0,5
54,to,0,5
55,the,0,5
56,death,0,5
57,.,0,5
58,She,ENTITY,6
59,was,0,6
60,captured,0,6
61,but,0,6
62,she,ENTITY,6
63,was,0,6
64,one,0,6
65,tough,0,6
66,cookie,0,6
67,",",0,6
68,apparently,0,7
69,.,0,7
70,God,0,8
71,bless,0,8
72,her,ENTITY,8
73,.,0,8
74,And,0,9
75,she,ENTITY,9
76,'s,0,9
77,going,0,9
78,to,0,9
79,be,0,9
80,all,0,9
81,right,0,9
82,",",0,9
83,it,0,9
84,looks,0,10
85,like,0,10
86,.,0,10
87,We,0,11
88,have,0,11
89,some,0,11
90,other,0,11
91,items,0,11
92,",",0,11
93,Voices,0,11
94,of,0,11
95,America,0,11
96,they,0,11
97,'re,0,12
98,called,0,12
99,here,0,12
100,on,0,12
101,American,0,12
102,Morning,0,12
103,.,0,12
104,Home,0,13
105,front,0,13
106,responses,0,13
107,to,0,13
108,the,0,13
109,ongoing,0,13
110,war,0,13
111,in,0,13
112,Iraq,0,13
113,.,0,13
114,We,0,14
115,begin,0,14
116,in,0,14
117,Oklahoma,0,14
118,",",0,14
119,a,0,14
120,story,0,14
121,of,0,14
122,sacrifice,0,14
123,in,0,14
124,wartime,0,15
125,.,0,15
126,Cass,0,16
127,Apd,0,16
128,Ra,0,16
129,gave,0,16
130,birth,0,16
131,to,0,16
132,her,0,16
133,first,0,16
134,daughter,0,16
135,",",0,16
136,Alexis,0,17
137,Jane,0,17
138,Denise,0,17
139,",",0,17
140,but,0,17
141,without,0,17
142,her,0,17
143,husband,0,17
144,.,0,17
145,John,0,18
146,Scottsdale,0,18
147,is,0,18
148,on,0,18
149,the,0,18
150,front,0,18
151,lines,0,18
152,in,0,18
153,Iraq,0,18
154,.,0,18
155,I,0,19
156,do,0,19
157,n't,0,19
158,know,0,19
159,what,0,19
160,to,0,19
161,do,0,19
162,.,0,19
163,Since,0,20
164,her,0,20
165,husband,0,20
166,could,0,20
167,n't,0,20
168,be,0,20
169,there,0,20
170,for,0,20
171,Alexis,0,20
172,',0,20
173,birth,0,21
174,",",0,21
175,his,0,21
176,parents,0,21
177,have,0,21
178,stepped,0,21
179,in,0,21
180,to,0,21
181,help,0,21
182,with,0,21
183,their,0,21
184,new,0,21
185,granddaughter,0,21
186,and,0,21
187,it,0,21
188,looks,0,21
189,as,0,21
190,though,0,21
191,mother,0,21
192,and,0,21
193,daughter,0,21
194,are,0,21
195,doing,0,21
196,well,0,21
197,.,0,21
198,Voices,0,22
199,of,0,22
200,America,0,22
201,on,0,22
202,a,0,22
203,morning,0,22
204,where,0,22
205,it,0,22
206,looks,0,22
207,like,0,22
208,things,0,23
209,are,0,23
210,going,0,23
211,well,0,23
212,for,0,23
213,the,0,23
214,coalition,0,23
215,members,0,23
216,.,0,23
217,Did,0,24
218,you,0,24
219,hear,0,24
220,the,0,24
221,family,0,24
222,members,0,24
223,of,0,24
224,Jessica,ENTITY,24
225,Lynch,0,24
226,yesterday,0,24
227,.,0,25
228,They,0,26
229,said,0,26
230,it,0,26
231,was,0,26
232,a,0,26
233,miraculous,0,26
234,thing,0,26
235,.,0,26
236,It,0,27
237,was,0,27
238,the,ENTITY,27
239,first,ENTITY,27
240,American,ENTITY,27
241,prisoner,ENTITY,27
242,of,0,27
243,war,0,27
244,ever,0,27
245,rescued,0,27
246,since,0,28
247,World,0,28
248,War,0,28
249,II,0,28
250,.,0,28
251,They,0,29
252,'ve,0,29
253,tried,0,29
254,these,0,29
255,things,0,29
256,before,0,29
257,",",0,29
258,but,0,29
259,never,0,29
260,with,0,29
261,the,0,30
262,success,0,30
263,.,0,30
264,I,0,31
265,guess,0,31
266,miracle,0,31
267,is,0,31
268,n't,0,31
269,too,0,31
270,strong,0,31
271,a,0,31
272,word,0,31
273,.,0,31
274,It,0,32
275,'s,0,32
276,a,0,32
277,great,0,32
278,word,0,32
279,.,0,32
280,When,0,33
281,you,0,33
282,heard,0,33
283,her,ENTITY,33
284,father,0,33
285,talk,0,33
286,.,0,33
287,Welcome,0,34
288,Jeffrey,0,34
289,to,0,34
290,be,0,34
291,in,0,34
292,.,0,34
293,He,0,35
294,thought,0,35
295,it,0,35
296,--,0,35
