,token,ent,sent
0,Situational,0,0
1,ABC,0,0
2,In,0,1
3,actual,0,1
4,fact,0,1
5,",",0,1
6,English,0,1
7,for,0,1
8,children,0,1
9,was,0,1
10,already,0,1
11,popular,0,1
12,all,0,2
13,over,0,2
14,Taiwan,0,2
15,even,0,2
16,before,0,2
17,these,0,2
18,moves,0,2
19,.,0,2
20,In,0,3
21,1997,0,3
22,associate,0,3
23,professor,0,3
24,Chang,0,3
25,Hsien,0,3
26,-,0,3
27,ta,0,3
28,of,0,3
29,the,0,3
30,National,0,4
31,Taiwan,0,4
32,University,0,4
33,Linguistics,0,4
34,Research,0,4
35,Institute,0,4
36,investigated,0,4
37,whether,0,4
38,or,0,4
39,not,0,4
40,a,0,4
41,"""",0,4
42,second,0,4
43,language,0,4
44,"""",0,4
45,was,0,4
46,being,0,4
47,taught,0,4
48,in,0,4
49,public,0,4
50,and,0,4
51,privately,0,4
52,run,0,4
53,kindergartens,0,4
54,in,0,4
55,Taipei,0,4
56,City,0,4
57,and,0,4
58,County,0,4
59,",",0,4
60,and,0,4
61,Hsinchu,0,4
62,City,0,4
63,and,0,4
64,County,0,4
65,",",0,4
66,and,0,4
67,found,0,4
68,that,0,4
69,79,0,4
70,%,0,4
71,were,0,4
72,doing,0,4
73,so,0,4
74,.,0,4
75,In,0,5
76,these,0,5
77,kindergartens,0,5
78,English,0,5
79,was,0,5
80,by,0,5
81,far,0,5
82,the,0,5
83,most,0,5
84,popular,0,5
85,second,0,6
86,language,0,6
87,",",0,6
88,being,0,6
89,taught,0,6
90,in,0,6
91,77.5,0,6
92,%,0,6
93,.,0,6
94,In,0,7
95,Taipei,ENTITY,7
96,City,0,7
97,the,0,7
98,figure,0,7
99,was,0,7
100,90,0,7
101,%,0,7
102,.,0,7
103,In,0,8
104,the,0,8
105,current,0,8
106,climate,0,8
107,of,0,8
108,almost,0,8
109,unanimous,0,8
110,community,0,8
111,support,0,8
112,for,0,8
113,the,0,9
114,expansion,0,9
115,of,0,9
116,English,0,9
117,teaching,0,9
118,into,0,9
119,early,0,9
120,education,0,9
121,",",0,9
122,the,0,9
123,primary,0,9
124,schools,0,9
125,of,0,9
126,Taipei,ENTITY,9
127,City,ENTITY,9
128,with,0,9
129,its,ENTITY,9
130,rich,0,9
131,resources,0,9
132,",",0,9
133,were,0,9
134,the,0,9
135,first,0,9
136,to,0,9
137,pilot,0,9
138,this,0,9
139,",",0,9
140,but,0,9
141,the,0,9
142,investment,0,9
143,of,0,9
144,the,0,9
145,parents,0,9
146,has,0,9
147,also,0,9
148,been,0,9
149,crucial,0,9
150,.,0,9
151,Huang,0,10
152,Yuan,0,10
153,-,0,10
154,tai,0,10
155,",",0,10
156,an,0,10
157,administrator,0,10
158,at,0,10
159,Chunghsing,0,10
160,Primary,0,10
161,School,0,11
162,gives,0,11
163,an,0,11
164,example,0,11
165,:,0,11
166,four,0,12
167,years,0,12
168,ago,0,12
169,a,0,12
170,parent,0,12
171,who,0,12
172,had,0,12
173,worked,0,12
174,in,0,12
175,America,0,12
176,approached,0,13
177,the,0,13
178,school,0,13
179,",",0,13
180,saying,0,13
181,that,0,13
182,at,0,13
183,home,0,13
184,they,0,13
185,often,0,13
186,told,0,13
187,their,0,13
188,children,0,13
189,stories,0,13
190,in,0,13
191,English,0,13
192,",",0,13
193,and,0,13
194,they,0,13
195,wanted,0,13
196,the,0,13
197,other,0,13
198,children,0,13
199,to,0,13
200,enjoy,0,13
201,similar,0,13
202,benefits,0,13
203,.,0,13
204,The,0,14
205,school,0,14
206,responded,0,14
207,positively,0,14
208,and,0,14
209,for,0,14
210,the,0,14
211,next,0,14
212,two,0,14
213,years,0,14
214,",",0,15
215,gathered,0,15
216,students,0,15
217,in,0,15
218,the,0,15
219,middle,0,15
220,and,0,15
221,elementary,0,15
222,grades,0,15
223,together,0,15
224,in,0,15
225,a,0,15
226,large,0,15
227,group,0,15
228,in,0,15
229,the,0,15
230,school,0,15
231,hall,0,15
232,each,0,15
233,morning,0,15
234,in,0,15
235,their,0,15
236,study,0,15
237,hour,0,15
238,",",0,15
239,and,0,15
240,conducted,0,15
241,a,0,15
242,program,0,15
243,.,0,15
244,Two,0,16
245,years,0,16
246,ago,0,16
247,",",0,16
248,realizing,0,16
249,that,0,16
250,the,0,16
251,local,0,16
252,parents,0,16
253,had,0,16
254,to,0,17
255,work,0,17
256,in,0,17
257,the,0,17
258,daytime,0,17
259,",",0,17
260,the,0,17
261,school,0,17
262,began,0,17
263,holding,0,17
264,supplementary,0,17
265,after,0,17
266,-,0,17
267,school,0,17
268,classes,0,17
269,offering,0,17
270,English,0,17
271,lessons,0,17
272,every,0,17
273,Wednesday,0,17
274,afternoon,0,17
275,for,0,17
