,token,ent,sent
0,South,0,0
1,Korean,0,0
2,President,0,0
3,Kim,0,0
4,Dae,0,0
5,-,0,0
6,jung,0,0
7,has,0,0
8,accepted,0,0
9,his,0,0
10,Nobel,0,1
11,Peace,0,1
12,Prize,0,1
13,.,0,1
14,The,0,2
15,award,0,2
16,recognizes,0,2
17,his,0,2
18,efforts,0,2
19,to,0,2
20,end,0,2
21,50,0,2
22,years,0,2
23,of,0,2
24,bad,0,3
25,blood,0,3
26,between,0,3
27,North,ENTITY,3
28,and,ENTITY,3
29,South,ENTITY,3
30,Korea,0,3
31,.,0,3
32,Though,0,4
33,the,ENTITY,4
34,two,ENTITY,4
35,countries,ENTITY,4
36,are,0,4
37,still,0,4
38,technically,0,4
39,at,0,4
40,war,0,4
41,",",0,4
42,President,0,5
43,Kim,0,5
44,",",0,5
45,a,0,5
46,former,0,5
47,dissident,0,5
48,",",0,5
49,met,0,5
50,with,0,5
51,his,0,5
52,North,0,5
53,Korean,0,5
54,counterpart,0,5
55,in,0,5
56,June,0,5
57,to,0,5
58,move,0,5
59,toward,0,5
60,reconciliation,0,5
61,.,0,5
62,In,0,6
63,accepting,0,6
64,the,0,6
65,Peace,0,6
66,Prize,0,6
67,",",0,6
68,the,0,6
69,75,0,6
70,-,0,6
71,year,0,6
72,-,0,7
73,old,0,7
74,President,0,7
75,pledged,0,7
76,to,0,7
77,continue,0,7
78,fighting,0,7
79,for,0,7
80,human,0,7
81,rights,0,7
82,and,0,7
83,peace,0,7
84,.,0,7
