,token,ent,sent
0,Two,0,0
1,other,0,0
2,elections,0,0
3,of,0,0
4,interest,0,0
5,to,0,0
6,many,0,0
7,Americans,0,0
8,--,0,0
9,in,0,0
10,Israel,0,1
11,",",0,1
12,Ehud,ENTITY,1
13,Barak,ENTITY,1
14,facing,0,1
15,a,0,1
16,vote,0,1
17,of,0,1
18,no,0,1
19,confidence,0,1
20,has,0,1
21,called,0,1
22,national,0,1
23,elections,0,1
24,for,0,1
25,May,0,1
26,",",0,1
27,which,0,1
28,means,0,1
29,another,0,1
30,deadline,0,1
31,for,0,1
32,him,ENTITY,1
33,to,0,1
34,make,0,1
35,an,0,1
36,agreement,0,1
37,with,0,1
38,the,0,1
39,Palestinians,0,1
40,.,0,1
