token,ent,sent
It,0,0
is,0,0
my,0,0
special,0,0
pleasure,0,0
to,0,0
address,0,0
the,0,0
fifty,0,0
-,0,0
ninth,0,0
session,0,0
of,0,0
the,0,0
General,0,0
Assembly,0,0
of,0,0
the,0,0
United,0,0
Nations,0,0
.,0,0
This,0,1
universal,0,1
forum,0,1
has,0,1
enabled,0,1
the,0,1
peoples,0,1
of,0,1
the,0,1
world,0,1
to,0,1
coordinate,0,1
and,0,1
harmonize,0,1
their,0,1
efforts,0,1
in,0,1
preserving,0,1
peace,0,1
and,0,1
security,0,1
",",0,1
in,0,1
achieving,0,1
prosperity,0,1
and,0,1
upholding,0,1
the,0,1
values,0,1
of,0,1
human,0,1
civilization,0,1
.,0,1
I,0,2
would,0,2
like,0,2
to,0,2
congratulate,0,2
you,0,2
",",0,2
Mr.,0,2
President,0,2
",",0,2
on,0,2
being,0,2
elected,0,2
to,0,2
preside,0,2
over,0,2
this,0,2
august,0,2
body,0,2
and,0,2
to,0,2
express,0,2
my,0,2
confidence,0,2
in,0,2
your,0,2
successful,0,2
leadership,0,2
.,0,2
I,0,3
would,0,3
also,0,3
like,0,3
",",0,3
on,0,3
behalf,0,3
of,0,3
Albania,0,3
",",0,3
to,0,3
convey,0,3
to,0,3
the,0,3
Secretary,0,3
-,0,3
General,0,3
our,ENTITY,3
highest,0,3
appreciation,0,3
for,0,3
his,0,3
leading,0,3
contribution,0,3
to,0,3
the,0,3
fulfilment,0,3
of,0,3
the,0,3
historical,0,3
mission,0,3
of,0,3
the,0,3
United,0,3
Nations,0,3
and,0,3
to,0,3
the,0,3
aspirations,0,3
of,0,3
our,0,3
peoples,0,3
for,0,3
a,0,3
better,0,3
world,0,3
in,0,3
which,0,3
only,0,3
peace,0,3
",",0,3
democracy,0,3
and,0,3
economic,0,3
prosperity,0,3
reign,0,3
.,0,3
This,0,4
session,0,4
of,0,4
the,0,4
General,0,4
Assembly,0,4
takes,0,4
place,0,4
in,0,4
a,0,4
milestone,0,4
year,0,4
for,0,4
Europe,0,4
.,0,4
Only,0,5
a,0,5
few,0,5
months,0,5
ago,0,5
",",0,5
a,0,5
historic,0,5
event,0,5
vitalized,0,5
the,0,5
dream,0,5
of,0,5
a,0,5
more,0,5
united,0,5
and,0,5
stronger,0,5
Europe,0,5
.,0,5
Ten,0,6
European,0,6
countries,0,6
",",0,6
sharing,0,6
a,0,6
common,0,6
aspiration,0,6
for,0,6
integration,0,6
",",0,6
were,0,6
admitted,0,6
into,0,6
the,0,6
European,0,6
Union,0,6
.,0,6
The,0,7
Albanian,0,7
Government,0,7
and,0,7
society,0,7
are,0,7
engaged,0,7
in,0,7
an,0,7
all,0,7
-,0,7
round,0,7
European,0,7
integration,0,7
process,0,7
",",0,7
and,0,7
they,0,7
are,0,7
carrying,0,7
out,0,7
necessary,0,7
reforms,0,7
with,0,7
the,0,7
necessary,0,7
political,0,7
will,0,7
and,0,7
drive,0,7
.,0,7
Albania,0,8
is,0,8
working,0,8
to,0,8
strengthen,0,8
the,0,8
democratic,0,8
institutions,0,8
and,0,8
capacities,0,8
of,0,8
its,0,8
central,0,8
and,0,8
local,0,8
government,0,8
with,0,8
a,0,8
view,0,8
to,0,8
bringing,0,8
its,0,8
legislation,0,8
and,0,8
conditions,0,8
into,0,8
line,0,8
with,0,8
European,0,8
Union,0,8
standards,0,8
",",0,8
progressively,0,8
achieving,0,8
concrete,0,8
and,0,8
measurable,0,8
results,0,8
",",0,8
as,0,8
previously,0,8
defined,0,8
.,0,8
Determined,0,9
to,0,9
make,0,9
our,ENTITY,9
contribution,0,9
to,0,9
regional,0,9
and,0,9
global,0,9
security,0,9
",",0,9
the,0,9
Albanian,0,9
Government,0,9
considers,0,9
the,0,9
country,0,9
's,0,9
integration,0,9
into,0,9
NATO,0,9
to,0,9
be,0,9
one,0,9
of,0,9
its,0,9
major,0,9
objectives,0,9
.,0,9
The,0,10
NATO,0,10
Istanbul,0,10
Summit,0,10
last,0,10
June,0,10
commended,0,10
the,0,10
progress,0,10
made,0,10
by,0,10
my,0,10
country,0,10
in,0,10
this,0,10
regard,0,10
and,0,10
encouraged,0,10
the,0,10
deepening,0,10
of,0,10
reforms,0,10
.,0,10
It,0,11
welcomed,0,11
Albania,0,11
's,0,11
contribution,0,11
to,0,11
regional,0,11
stability,0,11
and,0,11
cooperation,0,11
and,0,11
committed,0,11
to,0,11
assess,0,11
our,ENTITY,11
further,0,11
progress,0,11
at,0,11
the,0,11
next,0,11
NATO,0,11
summit,0,11
",",0,11
which,0,11
would,0,11
hopefully,0,11
mark,0,11
the,0,11
start,0,11
of,0,11
negotiations,0,11
for,0,11
our,ENTITY,11
full,0,11
membership,0,11
in,0,11
the,0,11
alliance,0,11
.,0,11
We,ENTITY,12
believe,0,12
that,0,12
the,0,12
commitments,0,12
set,0,12
up,0,12
in,0,12
the,0,12
framework,0,12
of,0,12
the,0,12
Adriatic,0,12
Charter,0,12
are,0,12
also,0,12
contributing,0,12
to,0,12
meet,0,12
NATO,0,12
standards,0,12
",",0,12
to,0,12
the,0,12
benefit,0,12
of,0,12
regional,0,12
stability,0,12
and,0,12
security,0,12
.,0,12
We,ENTITY,13
remain,0,13
truly,0,13
convinced,0,13
that,0,13
the,0,13
respect,0,13
and,0,13
protection,0,13
of,0,13
human,0,13
rights,0,13
and,0,13
freedoms,0,13
are,0,13
the,0,13
main,0,13
pillars,0,13
of,0,13
a,0,13
pluralist,0,13
democratic,0,13
society,0,13
.,0,13
The,0,14
Government,0,14
of,0,14
the,0,14
Republic,0,14
of,0,14
Albania,0,14
will,0,14
continue,0,14
to,0,14
constantly,0,14
demonstrate,0,14
