token,ent,sent
Understand,0,0
Due,0,0
to,0,0
its,0,0
remarkable,0,0
biodiversity,0,0
",",0,0
with,0,0
over,0,0
a,0,0
third,0,0
of,0,0
the,0,0
local,0,0
plant,0,0
species,0,0
found,0,0
nowhere,0,0
else,0,0
",",0,0
Socotra,0,0
has,0,0
been,0,0
designated,0,0
a,0,0
UNESCO,0,0
World,0,0
Heritage,0,0
Site,0,0
.,0,0
With,0,1
over,0,1
"40,000",0,1
inhabitants,0,1
",",0,1
though,0,1
",",0,1
it,0,1
's,0,1
not,0,1
just,0,1
a,0,1
nature,0,1
reserve,0,1
.,0,1
The,0,2
Island,0,2
is,0,2
new,0,2
to,0,2
tourism,0,2
",",0,2
so,0,2
if,0,2
you,0,2
are,0,2
looking,0,2
for,0,2
a,0,2
luxurious,0,2
vacation,0,2
this,0,2
is,0,2
not,0,2
the,0,2
right,0,2
destination,0,2
.,0,2
However,0,3
",",0,3
Socotra,0,3
is,0,3
a,0,3
perfect,0,3
destination,0,3
for,0,3
the,0,3
adventurous,0,3
and,0,3
nature,0,3
loving,0,3
travelers,0,3
.,0,3
Socotra,0,4
takes,0,4
pride,0,4
in,0,4
their,0,4
eco,0,4
-,0,4
tourism,0,4
and,0,4
values,0,4
their,0,4
spectacular,0,4
plant,0,4
and,0,4
wildlife,0,4
that,0,4
may,0,4
sometimes,0,4
be,0,4
only,0,4
found,0,4
on,0,4
this,0,4
island,0,4
.,0,4
Although,0,5
the,0,5
lodging,0,5
and,0,5
facilities,0,5
may,0,5
not,0,5
be,0,5
the,0,5
same,0,5
as,0,5
more,0,5
modern,0,5
and,0,5
developed,0,5
locations,0,5
",",0,5
Socotra,0,5
is,0,5
a,0,5
beautiful,0,5
and,0,5
magnificent,0,5
destination,0,5
choice,0,5
.,0,5
Great,0,6
care,0,6
is,0,6
shown,0,6
to,0,6
both,0,6
guests,0,6
and,0,6
the,0,6
environment,0,6
.,0,6
Socotra,0,7
is,0,7
an,0,7
eco,0,7
-,0,7
tourism,0,7
system,0,7
with,0,7
limited,0,7
infrastructure,0,7
and,0,7
new,0,7
to,0,7
the,0,7
international,0,7
tourist,0,7
market,0,7
",",0,7
and,0,7
therefore,0,7
the,0,7
hotel,0,7
accommodations,0,7
are,0,7
not,0,7
quite,0,7
like,0,7
other,0,7
destinations,0,7
.,0,7
However,0,8
there,0,8
are,0,8
four,0,8
hotels,0,8
in,0,8
Hadibo,0,8
:,0,8
Taj,0,8
Socotra,0,8
Hotel,0,8
",",0,8
Hafijj,0,8
Hotel,0,8
",",0,8
Socotra,0,8
Hotel,0,8
",",0,8
and,0,8
Summer,0,8
land,0,8
Hotel,0,8
.,0,8
These,0,9
hotels,0,9
may,0,9
not,0,9
be,0,9
the,0,9
most,0,9
luxerious,0,9
",",0,9
but,0,9
they,0,9
do,0,9
provide,0,9
air,0,9
-,0,9
conditionting,0,9
",",0,9
televisions,0,9
",",0,9
and,0,9
refrigerators,0,9
in,0,9
all,0,9
of,0,9
the,0,9
rooms,0,9
.,0,9
Most,0,10
of,0,10
the,0,10
rooms,0,10
at,0,10
these,0,10
hotels,0,10
have,0,10
their,0,10
own,0,10
bathroom,0,10
",",0,10
but,0,10
there,0,10
are,0,10
a,0,10
few,0,10
rooms,0,10
at,0,10
the,0,10
Hafijj,0,10
Hotel,0,10
and,0,10
Socotra,0,10
Hotel,0,10
that,0,10
must,0,10
share,0,10
bathrooms,0,10
.,0,10
Fortunately,0,11
",",0,11
there,0,11
is,0,11
a,0,11
restaurant,0,11
in,0,11
each,0,11
of,0,11
the,0,11
hotels,0,11
with,0,11
simple,0,11
yet,0,11
delicious,0,11
cuisine,0,11
.,0,11
Considering,0,12
Socotra,0,12
is,0,12
a,0,12
fairly,0,12
new,0,12
eco,0,12
-,0,12
tourism,0,12
destination,0,12
",",0,12
their,0,12
facilities,0,12
are,0,12
decent,0,12
.,0,12
In,0,13
addition,0,13
",",0,13
there,0,13
is,0,13
also,0,13
another,0,13
hotel,0,13
at,0,13
the,0,13
airport,0,13
as,0,13
well,0,13
as,0,13
multiple,0,13
guest,0,13
houses,0,13
around,0,13
the,0,13
island,0,13
.,0,13
The,0,14
most,0,14
popular,0,14
lodging,0,14
is,0,14
actually,0,14
camping,0,14
on,0,14
the,0,14
beaches,0,14
.,0,14
There,0,15
are,0,15
several,0,15
campsites,0,15
that,0,15
allow,0,15
tourists,ENTITY,15
to,0,15
barbeque,0,15
on,0,15
the,0,15
beach,0,15
with,0,15
beautiful,0,15
mountain,0,15
views,0,15
in,0,15
the,0,15
background,0,15
.,0,15
Tourists,ENTITY,16
can,0,16
choose,0,16
to,0,16
purchase,0,16
camping,0,16
tour,0,16
packages,0,16
which,0,16
include,0,16
a,0,16
driver,0,16
or,0,16
guide,0,16
that,0,16
will,0,16
show,0,16
tourists,ENTITY,16
around,0,16
the,0,16
beaches,0,16
as,0,16
well,0,16
as,0,16
provide,0,16
meals,0,16
during,0,16
their,ENTITY,16
stay,0,16
.,0,16
It,0,17
is,0,17
a,0,17
fantastic,0,17
way,0,17
to,0,17
enjoy,0,17
the,0,17
beauty,0,17
and,0,17
wildlife,0,17
of,0,17
the,0,17
island,0,17
.,0,17
A,0,18
runway,0,18
that,0,18
provides,0,18
fairly,0,18
regular,0,18
airline,0,18
transportation,0,18
was,0,18
only,0,18
constructed,0,18
in,0,18
1999,0,18
.,0,18
Like,0,19
everything,0,19
else,0,19
",",0,19
infrastructure,0,19
and,0,19
transportation,0,19
has,0,19
only,0,19
just,0,19
begun,0,19
in,0,19
recent,0,19
years,0,19
.,0,19
There,0,20
are,0,20
also,0,20
plans,0,20
for,0,20
new,0,20
harbor,0,20
facilities,0,20
that,0,20
will,0,20
allow,0,20
fisherman,0,20
to,0,20
sell,0,20
and,0,20
catch,0,20
more,0,20
easily,0,20
and,0,20
make,0,20
importing,0,20
food,0,20
and,0,20
fuel,0,20
simpler,0,20
.,0,20
In,0,21
addition,0,21
",",0,21
there,0,21
are,0,21
also,0,21
two,0,21
information,0,21
centers,0,21
located,0,21
at,0,21
the,0,21
airport,0,21
and,0,21
Hadibo,0,21
.,0,21
When,0,22
to,0,22
go,0,22
:,0,22
Climate,0,22
is,0,22
an,0,22
important,0,22
consideration,0,22
.,0,22
And,0,23
this,0,23
depends,0,23
on,0,23
your,0,23
interest,0,23
.,0,23
Nature,0,24
enthusiasts,0,24
should,0,24
go,0,24
from,0,24
early,0,24
October,0,24
to,0,24
late,0,24
April,0,24
.,0,24
The,0,25
monsoon,0,25
occurs,0,25
in,0,25
July,0,25
till,0,25
mid-August,0,25
(,0,25
during,0,25
July,0,25
in,0,25
the,0,25
south,0,25
east,0,25
and,0,25
south,0,25
west,0,25
of,0,25
the,0,25
island,0,25
",",0,25
wind,0,25
surfing,0,25
activity,0,25
can,0,25
be,0,25
arranged,0,25
),0,25
.,0,25
Generally,0,26
",",0,26
wildlife,0,26
and,0,26
natural,0,26
viewing,0,26
is,0,26
best,0,26
from,0,26
the,0,26
end,0,26
of,0,26
January,0,26
through,0,26
May,0,26
.,0,26
Get,0,27
in,0,27
By,0,27
plane,0,27
Dixam,0,27
",",0,27
in,0,27
the,0,27
centre,0,27
of,0,27
the,0,27
island,0,27
There,0,27
are,0,27
flights,0,27
from,0,27
Sana'a,0,27
via,0,27
Al,0,27
Mukalla,0,27
.,0,27
Yemenia,0,28
Airlines,0,28
offers,0,28
one,0,28
flight,0,28
per,0,28
week,0,28
on,0,28
Thursday,0,28
morning,0,28
.,0,28
Felix,0,29
Airways,0,29
offers,0,29
two,0,29
flights,0,29
per,0,29
week,0,29
on,0,29
Wednesday,0,29
afternoon,0,29
and,0,29
Saturday,0,29
morning,0,29
.,0,29
Flight,0,30
durations,0,30
are,0,30
almost,0,30
three,0,30
hours,0,30
.,0,30
There,0,31
are,0,31
also,0,31
flights,0,31
from,0,31
Sharjah,0,31
via,0,31
Al,0,31
Mukalla,0,31
.,0,31
Get,0,32
around,0,32
There,0,32
is,0,32
a,0,32
public,0,32
bus,0,32
from,0,32
the,0,32
airport,0,32
to,0,32
Hadibo,0,32
and,0,32
from,0,32
Hadibo,0,32
to,0,32
Qalansia,0,32
.,0,32
Beside,0,33
these,0,33
two,0,33
buses,0,33
",",0,33
there,0,33
is,0,33
no,0,33
public,0,33
transport,0,33
",",0,33
but,0,33
car,0,33
rental,0,33
with,0,33
driver,0,33
is,0,33
available,0,33
.,0,33
There,0,34
is,0,34
a,0,34
lot,0,34
of,0,34
walking,0,34
and,0,34
hiking,0,34
along,0,34
with,0,34
camel,0,34
back,0,34
rides,0,34
available,0,34
.,0,34
See,0,35
Socotra,0,35
is,0,35
considered,0,35
the,0,35
jewel,0,35
of,0,35
biodiversity,0,35
in,0,35
the,0,35
Arabian,0,35
Sea,0,35
.,0,35
Although,0,36
the,0,36
region,0,36
is,0,36
small,0,36
",",0,36
it,0,36
is,0,36
characterized,0,36
by,0,36
unique,0,36
land,0,36
and,0,36
marine,0,36
biodiversity,0,36
.,0,36
The,0,37
interior,0,37
of,0,37
the,0,37
island,0,37
is,0,37
dominated,0,37
by,0,37
the,0,37
beautiful,0,37
and,0,37
green,0,37
Hagghier,0,37
mountains,0,37
and,0,37
limestone,0,37
plateau,0,37
.,0,37
While,0,38
on,0,38
the,0,38
outer,0,38
coastline,0,38
",",0,38
breathtaking,0,38
natural,0,38
beaches,0,38
have,0,38
pure,0,38
white,0,38
sand,0,38
dunes,0,38
and,0,38
palm,0,38
trees,0,38
.,0,38
Socotra,0,39
Island,0,39
is,0,39
very,0,39
rich,0,39
