doc,token,sentence,t_id,doc_id,m_id,tag
114613,Stock,0,1,,,
114613,markets,0,2,,,
114613,worldwide,0,3,,,
114613,continue,0,4,114613,52,EVENT_MENTION
114613,to,0,5,,,
114613,fall,0,6,114613,53,EVENT_MENTION
114613,October,1,7,,,
114613,7,1,8,,,
114613,",",1,9,,,
114613,2008,1,10,,,
114613,Stock,2,11,,,
114613,markets,2,12,,,
114613,around,2,13,,,
114613,the,2,14,,,
114613,world,2,15,,,
114613,continued,2,16,114613,3,EVENT_MENTION
114613,to,2,17,,,
114613,fall,2,18,114613,5,EVENT_MENTION
114613,dramatically,2,19,,,
114613,today,2,20,,,
114613,.,2,21,,,
114613,This,3,22,114613,7,EVENT_MENTION
114613,is,3,23,114613,34,EVENT_MENTION
114613,following,3,24,,,
114613,the,3,25,,,
114613,ongoing,3,26,114613,8,EVENT_MENTION
114613,events,3,27,114613,9,EVENT_MENTION
114613,in,3,28,,,
114613,the,3,29,,,
114613,financial,3,30,,,
114613,world,3,31,,,
114613,",",3,32,,,
114613,including,3,33,,,
114613,the,3,34,,,
114613,US,3,35,,,
114613,Government,3,36,,,
114613,'s,3,37,,,
114613,$,3,38,,,
114613,700,3,39,,,
114613,billion,3,40,,,
114613,bail,3,41,,,
114613,out,3,42,114613,13,EVENT_MENTION
114613,of,3,43,,,
114613,the,3,44,,,
114613,financial,3,45,,,
114613,sector,3,46,,,
114613,.,3,47,,,
114613,As,4,48,,,
114613,of,4,49,,,
114613,18:00,4,50,,,
114613,UTC,4,51,,,
114613,",",4,52,,,
114613,the,4,53,,,
114613,primary,4,54,,,
114613,UK,4,55,,,
114613,index,4,56,,,
114613,",",4,57,,,
114613,the,4,58,,,
114613,FTSE,4,59,,,
114613,100,4,60,,,
114613,",",4,61,,,
114613,was,4,62,114613,20,EVENT_MENTION
114613,one,4,63,,,
114613,of,4,64,,,
114613,the,4,65,,,
114613,few,4,66,,,
114613,indexes,4,67,,,
114613,to,4,68,,,
114613,increase,4,69,114613,22,EVENT_MENTION
114613,in,4,70,,,
114613,value,4,71,,,
114613,.,4,72,,,
114613,It,5,73,,,
114613,went,5,74,,,
114613,up,5,75,114613,24,EVENT_MENTION
114613,by,5,76,,,
114613,0.16,5,77,,,
114613,%,5,78,,,
114613,(,5,79,,,
114613,16.03,5,80,,,
114613,points,5,81,,,
114613,),5,82,,,
114613,",",5,83,,,
114613,but,5,84,,,
114613,stayed,5,85,114613,27,EVENT_MENTION
114613,below,5,86,,,
114613,5000,5,87,,,
114613,mark,5,88,,,
114613,at,5,89,,,
114613,4605.22,5,90,,,
114613,.,5,91,,,
114613,YRC,10,188,,,
114613,Worldwide,10,189,,,
114613,",",10,190,,,
114613,Inc.,10,191,,,
114613,was,10,192,,,
114613,the,10,193,,,
114613,biggest,10,194,,,
114613,faller,10,195,,,
114613,in,10,196,,,
114613,this,10,197,,,
114613,index,10,198,,,
114613,",",10,199,,,
114613,with,10,200,,,
114613,its,10,201,,,
114613,loss,10,202,,,
114613,of,10,203,,,
114613,27.30,10,204,,,
114613,%,10,205,,,
114613,that,10,206,,,
114613,took,10,207,,,
114613,the,10,208,,,
114613,company,10,209,,,
114613,'s,10,210,,,
114613,share,10,211,,,
114613,price,10,212,,,
114613,down,10,213,,,
114613,to,10,214,,,
114613,5.13,10,215,,,
114613,.,10,216,,,
114613,Dana,11,217,,,
114613,Perino,11,218,,,
114613,",",11,219,,,
114613,a,11,220,,,
114613,spokesperson,11,221,,,
114613,for,11,222,,,
114613,the,11,223,,,
114613,White,11,224,,,
114613,House,11,225,,,
114613,",",11,226,,,
114613,commented,11,227,,,
114613,today,11,228,,,
114613,on,11,229,,,
114613,the,11,230,,,
114613,recent,11,231,,,
114613,falls,11,232,,,
114613,in,11,233,,,
114613,the,11,234,,,
114613,stock,11,235,,,
114613,market,11,236,,,
114613,that,11,237,,,
114613,are,11,238,,,
114613,described,11,239,,,
114613,above,11,240,,,
114613,.,11,241,,,
114613,``,12,242,,,
114613,One,12,243,,,
114613,of,12,244,,,
114613,the,12,245,,,
114613,things,12,246,,,
114613,that,12,247,,,
114613,the,12,248,,,
114613,President,12,249,,,
114613,can,12,250,,,
114613,do,12,251,,,
114613,is,12,252,,,
114613,to,12,253,,,
114613,remind,12,254,,,
114613,them,12,255,,,
114613,what,12,256,,,
114613,this,12,257,,,
114613,rescue,12,258,,,
114613,package,12,259,,,
114613,would,12,260,,,
114613,do.,12,261,,,
114613,.,12,262,,,
114613,One,13,263,,,
114613,of,13,264,,,
114613,the,13,265,,,
114613,most,13,266,,,
114613,important,13,267,,,
114613,things,13,268,,,
114613,that,13,269,,,
114613,it,13,270,,,
114613,would,13,271,,,
114613,do,13,272,,,
114613,is,13,273,,,
114613,to,13,274,,,
114613,make,13,275,,,
114613,sure,13,276,,,
114613,that,13,277,,,
114613,everybody,13,278,,,
114613,knows,13,279,,,
114613,that,13,280,,,
114613,their,13,281,,,
114613,bank,13,282,,,
114613,deposit,13,283,,,
114613,is,13,284,,,
114613,safe,13,285,,,
114613,",",13,286,,,
114613,insured,13,287,,,
114613,by,13,288,,,
114613,the,13,289,,,
114613,FDIC,13,290,,,
114613,",",13,291,,,
114613,and,13,292,,,
114613,the,13,293,,,
114613,legislation,13,294,,,
114613,allowed,13,295,,,
114613,for,13,296,,,
114613,a,13,297,,,
114613,temporary,13,298,,,
114613,increase,13,299,,,
114613,from,13,300,,,
114613,$,13,301,,,
114613,"100,000",13,302,,,
114613,to,13,303,,,
114613,$,13,304,,,
114613,"250,000",13,305,,,
114613,.,13,306,,,
114613,This,14,307,,,
114613,reassures,14,308,,,
114613,people,14,309,,,
114613,that,14,310,,,
114613,their,14,311,,,
114613,bank,14,312,,,
114613,accounts,14,313,,,
114613,are,14,314,,,
114613,safe,14,315,,,
114613,",",14,316,,,
114613,and,14,317,,,
114613,that,14,318,,,
114613,'s,14,319,,,
114613,an,14,320,,,
114613,important,14,321,,,
114613,message,14,322,,,
114613,",",14,323,,,
114613,'',14,324,,,
114613,she,14,325,,,
114613,stated,14,326,,,
114613,",",14,327,,,
114613,trying,14,328,,,
114613,to,14,329,,,
114613,reassure,14,330,,,
114613,citizens,14,331,,,
114613,.,14,332,,,
114613,``,15,333,,,
114613,But,15,334,,,
114613,remember,15,335,,,
114613,",",15,336,,,
114613,with,15,337,,,
114613,this,15,338,,,
114613,rescue,15,339,,,
114613,package,15,340,,,
114613,",",15,341,,,
114613,we,15,342,,,
114613,asked,15,343,,,
114613,the,15,344,,,
114613,American,15,345,,,
114613,people,15,346,,,
114613,to,15,347,,,
114613,do,15,348,,,
114613,a,15,349,,,
