token,label,_id
Abdel,ENTITY,Q560307_153
-,ENTITY,Q560307_154
Tawab,ENTITY,Q560307_155
Youssef,ENTITY,Q560307_156
Ahmed,ENTITY,Q560307_157
Youssef,ENTITY,Q560307_192
(,-,-
Arabic,-,-
:,-,-
عبد,-,-
التواب,-,-
يوسف,-,-
),-,-
",",-,-
an,-,-
Egyptian,-,-
author,EVENT,Q560307_189
",",-,-
translator,EVENT,Q560307_190
and,-,-
publisher,EVENT,Q560307_191
of,-,-
publications,-,-
issued,-,-
by,-,-
the,-,-
school,-,-
and,-,-
the,-,-
university,-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_193
was,-,-
born,EVENT,Q560307_1
in,-,-
the,-,-
village,-,-
of,-,-
Shanra,-,-
in,-,-
Beni,-,-
Suef,-,-
Governorate,-,-
in,-,-
Egypt,-,-
on,-,-
October,-,-
1,-,-
",",-,-
1928,-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_194
obtained,EVENT,Q560307_3
a,-,-
BA,-,-
degree,EVENT,Q560307_2
in,-,-
political,-,-
science,-,-
from,-,-
Cairo,-,-
University,-,-
.,-,-
-,-,-
-,-,-
Then,-,-
after,-,-
graduating,EVENT,Q560307_4
from,-,-
the,-,-
university,-,-
",",-,-
He,ENTITY,Q560307_195
worked,EVENT,Q560307_5
as,-,-
a,-,-
supervisor,-,-
for,-,-
school,-,-
radio,-,-
programs,-,-
at,-,-
the,-,-
Ministry,-,-
of,-,-
Education,-,-
.,-,-
-,-,-
-,-,-
Then,-,-
he,ENTITY,Q560307_196
headed,EVENT,Q560307_6
the,-,-
Department,-,-
of,-,-
Journalism,-,-
",",-,-
Radio,-,-
and,-,-
Television,-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_197
works,EVENT,Q560307_8
so,-,-
until,-,-
he,ENTITY,Q560307_389
devoted,EVENT,Q560307_198
himself,ENTITY,Q560307_427
to,-,-
writing,EVENT,Q560307_7
for,-,-
children,ENTITY,Q560307_348
since,-,-
1975,-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_200
had,REL,Q560307_11
the,-,-
idea,EVENT-MOD,Q560307_12
of,-,-
issuing,EVENT,Q560307_13
the,-,-
first,ENTITY,Q560307_408
Islamic,-,-
magazine,-,-
for,-,-
children,-,-
under,-,-
the,-,-
name,-,-
of,-,-
Paradise,-,-
(,-,-
ALfirdaws,-,-
),-,-
in,-,-
1969,-,-
",",-,-
and,-,-
he,ENTITY,Q560307_199
established,EVENT,Q560307_9
the,-,-
first,-,-
conference,-,-
for,-,-
child,-,-
culture,-,-
in,-,-
1970,-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_201
established,EVENT,Q560307_10
the,-,-
Children,-,-
’s,-,-
society,-,-
",",-,-
as,-,-
well,-,-
as,-,-
the,-,-
first,-,-
to,-,-
present,-,-
work,ENTITY,Q560307_411
for,-,-
children,ENTITY,Q560307_351
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_202
specialized,EVENT,Q560307_14
in,-,-
children,ENTITY,Q560307_364
’s,-,-
literature,-,-
and,-,-
occupied,-,-
a,-,-
prominent,-,-
position,-,-
in,-,-
this,-,-
field,-,-
.,-,-
-,-,-
-,-,-
He,-,-
was,-,-
considered,EVENT,Q560307_15
one,EVENT-MOD,Q560307_439
of,-,-
the,-,-
most,-,-
prominent,-,-
pioneers,EVENT,Q560307_16
in,-,-
children,-,-
’s,-,-
literature,-,-
and,-,-
copied,-,-
the,-,-
standard,-,-
literary,-,-
