token,label,_id
Jayne,ENTITY,Q560307_1
Cortez,ENTITY,Q560307_16
(,-,-
May,-,-
10,-,-
",",-,-
1934,-,-
–,-,-
December,-,-
28,-,-
",",-,-
2012,-,-
),-,-
was,REL,Q560307_5
an,-,-
African,-,-
-,-,-
American,-,-
poet,EVENT,Q560307_6
",",-,-
activist,EVENT,Q560307_7
",",-,-
small,-,-
press,-,-
publisher,EVENT,Q560307_8
and,-,-
spoken,-,-
-,-,-
word,-,-
performance,-,-
artist,EVENT,Q560307_9
whose,-,-
voice,-,-
is,-,-
celebrated,-,-
for,-,-
its,-,-
political,-,-
",",-,-
surrealistic,-,-
and,-,-
dynamic,-,-
innovations,-,-
in,-,-
lyricism,-,-
and,-,-
visceral,-,-
sound,-,-
.,-,-
-,-,-
-,-,-
Her,ENTITY,Q560307_10
writing,-,-
is,-,-
part,-,-
of,ENTITY,Q560307_138
the,-,-
canon,-,-
of,ENTITY,Q560307_121
the,-,-
Black,-,-
Arts,-,-
Movement,-,-
.,-,-
-,-,-
-,-,-
She,ENTITY,Q560307_12
was,-,-
married,EVENT,Q560307_11
to,-,-
jazz,-,-
saxophonist,-,-
Ornette,-,-
Coleman,-,-
(,-,-
1954–64,-,-
),-,-
",",-,-
and,-,-
their,-,-
son,-,-
is,-,-
jazz,-,-
drummer,-,-
Denardo,-,-
Coleman,-,-
.,-,-
-,-,-
-,-,-
In,-,-
1975,-,-
Cortez,ENTITY,Q560307_129
married,EVENT,Q560307_13
painter,-,-
",",-,-
sculptor,-,-
",",-,-
and,-,-
printmaker,-,-
Melvin,-,-
Edwards,-,-
",",-,-
and,-,-
they,ENTITY,Q560307_14
lived,EVENT,Q560307_15
in,-,-
Dakar,-,-
",",-,-
Senegal,-,-
",",-,-
and,-,-
New,-,-
York,-,-
City,-,-
.,-,-
-,-,-
-,-,-
Jayne,ENTITY,Q560307_18
Cortez,ENTITY,Q560307_132
was,-,-
born,EVENT,Q560307_20
Sallie,-,-
Jayne,-,-
Richardson,-,-
on,-,-
the,-,-
Army,-,-
base,-,-
at,-,-
Fort,-,-
Huachuca,-,-
",",-,-
Arizona,-,-
",",-,-
on,-,-
May,-,-
10,-,-
",",-,-
1934,-,-
.,-,-
-,-,-
-,-,-
Her,-,-
father,-,-
was,-,-
a,-,-
career,-,-
soldier,-,-
who,-,-
would,-,-
serve,-,-
in,-,-
both,-,-
world,-,-
wars,-,-
;,-,-
her,ENTITY,Q560307_21
mother,-,-
was,-,-
a,-,-
secretary,-,-
.,-,-
-,-,-
-,-,-
She,ENTITY,Q560307_23
is,-,-
the,-,-
second,-,-
-,-,-
born,-,-
of,-,-
three,-,-
children,-,-
with,-,-
an,-,-
older,-,-
sister,-,-
and,-,-
a,-,-
younger,-,-
brother,-,-
.,-,-
-,-,-
-,-,-
At,-,-
the,-,-
age,-,-
of,-,-
seven,-,-
",",-,-
she,-,-
moved,EVENT,Q560307_22
to,-,-
Los,-,-
Angeles,-,-
",",-,-
where,-,-
she,-,-
grew,EVENT,Q560307_24
up,-,-
in,-,-
the,-,-
Watts,-,-
district,-,-
.,-,-
-,-,-
-,-,-
Young,-,-
Jayne,-,-
Richardson,-,-
reveled,-,-
in,-,-
the,-,-
jazz,-,-
and,-,-
Latin,-,-
recordings,-,-
that,-,-
her,ENTITY,Q560307_25
parents,-,-
collected,-,-
.,-,-
-,-,-
-,-,-
She,-,-
studied,-,-
art,-,-
",",-,-
music,-,-
and,-,-
drama,-,-
in,-,-
high,-,-
school,-,-
.,-,-
-,-,-
-,-,-
Later,-,-
she,ENTITY,Q560307_27
attended,EVENT,Q560307_26
Compton,-,-
Community,-,-
College,-,-
",",-,-
but,-,-
dropped,EVENT,Q560307_214
out,-,-
of,ENTITY,Q560307_128
her,-,-
course,-,-
work,-,-
due,-,-
to,-,-
financial,-,-
difficulties,-,-
.,-,-
-,-,-
-,-,-
She,-,-
took,EVENT,Q560307_28
the,-,-
surname,-,-
Cortez,-,-
",",-,-
the,-,-
maiden,-,-
name,-,-
of,-,-
her,ENTITY,Q560307_29
Filipino,-,-
maternal,-,-
grandmother,-,-
",",-,-
early,ENTITY,Q560307_140
in,-,-
her,-,-
artistic,-,-
career,-,-
.,-,-
-,-,-
-,-,-
In,-,-
1954,-,-
",",-,-
Cortez,ENTITY,Q560307_31
married,EVENT,Q560307_30
jazz,-,-
saxophonist,-,-
Ornette,-,-
Coleman,-,-
when,-,-
she,ENTITY,Q560307_34
was,-,-
18,-,-
years,-,-
old,-,-
.,-,-
-,-,-
-,-,-
Their,-,-
son,-,-
Denardo,-,-
",",-,-
born,-,-
in,-,-
1956,-,-
",",-,-
began,-,-
drumming,-,-
with,-,-
his,-,-
father,-,-
while,-,-
still,-,-
a,-,-
child,-,-
and,-,-
devoted,-,-
his,-,-
adult,-,-
life,-,-
to,-,-
collaborating,-,-
with,-,-
both,-,-
parents,-,-
in,-,-
their,-,-
respective,-,-
careers,-,-
.,-,-
-,-,-
-,-,-
In,-,-
1964,-,-
",",-,-
Cortez,ENTITY,Q560307_37
divorced,EVENT,Q560307_32
Coleman,-,-
and,-,-
founded,EVENT,Q560307_33
the,-,-
Watts,-,-
Repertory,-,-
Theater,-,-
Company,-,-
",",-,-
of,ENTITY,Q560307_131
which,-,-
she,ENTITY,Q560307_216
served,EVENT,Q560307_35
as,-,-
artistic,-,-
director,-,-
until,-,-
1970,-,-
.,-,-
-,-,-
-,-,-
Active,EVENT,Q560307_36
in,-,-
the,-,-
struggle,-,-
for,-,-
Civil,-,-
Rights,-,-
",",-,-
she,ENTITY,Q560307_44
collaborated,EVENT,Q560307_38
with,-,-
famous,-,-
Civil,-,-
Rights,-,-
activist,-,-
Fannie,-,-
Lou,-,-
Hamer,-,-
and,-,-
strongly,-,-
advocated,EVENT,Q560307_39
using,EVENT,Q560307_40
art,-,-
as,-,-
a,-,-
vehicle,-,-
to,-,-
push,EVENT,Q560307_215
political,-,-
causes,-,-
",",-,-
with,-,-
her,-,-
work,ENTITY,Q560307_123
being,-,-
used,EVENT,Q560307_41
to,-,-
register,EVENT,Q560307_42
black,-,-
voters,-,-
in,-,-
Mississippi,-,-
in,-,-
the,-,-
early,-,-
1960s,-,-
.,-,-
-,-,-
-,-,-
Upon,-,-
reflecting,-,-
on,-,-
this,-,-
time,-,-
in,-,-
a,-,-
1990,-,-
interview,EVENT,Q560307_43
with,-,-
D.H.,-,-
Melham,-,-
",",-,-
Cortez,-,-
spoke,EVENT,Q560307_45
on,-,-
its,-,-
influences,-,-
on,-,-
her,ENTITY,Q560307_47
work,ENTITY,Q560307_219
",",-,-
saying,EVENT,Q560307_46
",",-,-
"""",-,-
Being,-,-
unemployed,-,-
and,-,-
without,-,-
food,-,-
can,-,-
make,-,-
you,-,-
very,-,-
sad,-,-
.,-,-
-,-,-
