token,label,_id
Donald,ENTITY,Q560307_161
James,ENTITY,Q560307_162
Woods,ENTITY,Q560307_163
CBE,ENTITY,Q560307_180
(,-,-
15,-,-
December,-,-
1933,-,-
–,-,-
19,-,-
August,-,-
2001,-,-
),-,-
",",-,-
was,REL,Q560307_177
a,-,-
South,-,-
African,-,-
journalist,EVENT,Q560307_178
and,-,-
anti,-,-
-,ENTITY,Q560307_196
apartheid,-,-
activist,EVENT,Q560307_179
.,-,-
-,-,-
-,-,-
As,-,-
editor,-,-
of,-,-
the,ENTITY,Q560307_273
Daily,-,-
Dispatch,-,-
",",-,-
he,ENTITY,Q560307_181
was,-,-
known,EVENT,Q560307_2
for,-,-
befriending,EVENT,Q560307_1
fellow,-,-
activist,-,-
Steve,-,-
Biko,-,-
",",-,-
who,-,-
was,-,-
killed,-,-
by,-,-
the,-,-
police,-,-
after,-,-
being,-,-
detained,-,-
by,-,-
the,-,-
South,-,-
African,-,-
government,-,-
.,-,-
-,-,-
-,-,-
Woods,ENTITY,Q560307_324
continued,EVENT,Q560307_4
his,ENTITY,Q560307_182
campaign,EVENT,Q560307_3
against,-,-
apartheid,-,-
in,-,-
London,-,-
",",-,-
and,-,-
in,-,-
1978,-,-
became,REL,Q560307_6
the,ENTITY,Q560307_285
first,EVENT,Q560307_325
private,-,-
citizen,-,-
to,-,-
address,EVENT,Q560307_5
the,-,-
United,-,-
Nations,-,-
Security,-,-
Council,-,-
.,-,-
-,-,-
-,-,-
Woods,-,-
was,-,-
born,EVENT,Q560307_7
at,-,-
Hobeni,-,-
",",-,-
Transkei,-,-
",",-,-
where,-,-
his,-,-
family,-,-
had,-,-
lived,-,-
for,-,-
five,-,-
generations,-,-
.,-,-
-,-,-
-,-,-
His,-,-
ancestors,-,-
arrived,-,-
in,-,-
South,-,-
Africa,-,-
with,-,-
the,-,-
1820,-,-
Settlers,-,-
.,-,-
-,-,-
-,-,-
His,ENTITY,Q560307_183
parents,-,-
ran,-,-
a,-,-
trading,-,-
post,-,-
in,-,-
Transkei,-,-
",",-,-
a,-,-
tribal,-,-
reserve,-,-
",",-,-
which,-,-
the,-,-
South,-,-
African,-,-
government,-,-
would,-,-
later,-,-
designate,-,-
a,-,-
bantustan,-,-
.,-,-
-,-,-
-,-,-
As,-,-
a,-,-
boy,-,-
Woods,ENTITY,Q560307_184
had,REL,Q560307_9
extensive,-,-
regular,-,-
contact,EVENT,Q560307_8
with,-,-
the,-,-
Bomvana,-,-
people,-,-
.,-,-
-,-,-
-,-,-
He,-,-
spoke,EVENT,Q560307_185
fluent,-,-
Xhosa,-,-
and,-,-
Afrikaans,-,-
",",-,-
as,-,-
well,-,-
as,-,-
his,ENTITY,Q560307_326
mother,-,-
tongue,-,-
",",-,-
English,-,-
.,-,-
-,-,-
-,-,-
Woods,-,-
and,-,-
his,ENTITY,Q560307_186
brother,-,-
",",-,-
