token,label,_id
Akinwande,ENTITY,Q560307_274
Oluwole,ENTITY,Q560307_275
Babatunde,ENTITY,Q560307_276
Soyinka,ENTITY,Q560307_295
(,-,-
Yoruba,-,-
:,-,-
Akínwándé,-,-
Olúwo̩lé,-,-
Babátúndé,-,-
S̩óyíinká,-,-
;,-,-
born,-,-
13,-,-
July,-,-
1934,-,-
),-,-
",",-,-
known,-,-
as,-,-
Wole,-,-
Soyinka,-,-
(,-,-
pronounced,-,-
 ,-,-
),-,-
",",-,-
is,REL,Q560307_294
a,ENTITY,Q560307_804
Nigerian,-,-
playwright,EVENT,Q560307_290
",",-,-
novelist,EVENT,Q560307_291
",",-,-
poet,EVENT,Q560307_292
",",-,-
and,ENTITY,Q560307_342
essayist,EVENT,Q560307_293
in,-,-
the,ENTITY,Q560307_343
English,-,-
language,-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_296
was,-,-
awarded,EVENT,Q560307_1
the,ENTITY,Q560307_465
1986,-,-
Nobel,-,-
Prize,-,-
in,-,-
Literature,-,-
",",-,-
the,ENTITY,Q560307_485
first,ENTITY,Q560307_404
sub,-,-
-,ENTITY,Q560307_406
Saharan,-,-
African,-,-
to,-,-
be,-,-
honoured,-,-
in,-,-
that,-,-
category,-,-
.,-,-
-,-,-
-,-,-
Soyinka,ENTITY,Q560307_297
was,-,-
born,EVENT,Q560307_2
into,-,-
a,-,-
Yoruba,-,-
family,-,-
in,-,-
Abeokuta,-,-
.,-,-
-,-,-
-,-,-
In,-,-
1954,-,-
",",-,-
he,ENTITY,Q560307_298
attended,EVENT,Q560307_3
Government,-,-
College,-,-
in,-,-
Ibadan,-,-
",",-,-
and,ENTITY,Q560307_464
subsequently,-,-
University,-,-
College,-,-
Ibadan,-,-
and,ENTITY,Q560307_484
the,-,-
University,-,-
of,ENTITY,Q560307_499
Leeds,-,-
in,-,-
England,-,-
.,-,-
-,-,-
-,-,-
After,-,-
studying,EVENT,Q560307_4
in,-,-
Nigeria,-,-
and,-,-
the,-,-
UK,-,-
",",-,-
he,ENTITY,Q560307_299
worked,EVENT,Q560307_5
with,-,-
the,-,-
Royal,-,-
Court,-,-
Theatre,-,-
in,-,-
London,-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_300
went,EVENT,Q560307_6
on,-,-
to,-,-
write,EVENT,Q560307_7
plays,ENTITY,Q560307_368
that,-,-
were,-,-
produced,-,-
in,-,-
both,-,-
countries,-,-
",",-,-
in,-,-
theatres,-,-
and,-,-
on,-,-
radio,ENTITY,Q560307_813
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_301
took,REL,Q560307_9
an,-,-
active,EVENT,Q560307_8
role,-,-
in,-,-
Nigeria,-,-
's,-,-
political,-,-
history,-,-
and,-,-
its,-,-
campaign,-,-
for,-,-
independence,-,-
from,-,-
British,-,-
colonial,-,-
rule,-,-
.,-,-
-,-,-
-,-,-
In,-,-
1965,-,-
",",-,-
he,ENTITY,Q560307_303
seized,EVENT,Q560307_10
the,-,-
Western,-,-
Nigeria,-,-
Broadcasting,-,-
Service,-,-
studio,-,-
and,-,-
broadcast,EVENT,Q560307_12
a,-,-
demand,EVENT,Q560307_11
for,-,-
the,-,-
cancellation,EVENT,Q560307_302
of,ENTITY,Q560307_691
the,-,-
Western,-,-
Nigeria,-,-
Regional,-,-
Elections,-,-
.,-,-
-,-,-
-,-,-
In,-,-
1967,-,-
",",-,-
during,-,-
the,-,-
Nigerian,-,-
Civil,-,-
War,-,-
",",-,-
he,ENTITY,Q560307_304
was,-,-
arrested,EVENT,Q560307_13
by,-,-
the,ENTITY,Q560307_383
federal,-,-
government,-,-
of,ENTITY,Q560307_801
General,-,-
Yakubu,-,-
Gowon,-,-
and,-,-
put,REL,Q560307_15
in,-,-
solitary,-,-
confinement,EVENT,Q560307_14
for,-,-
two,-,-
years,-,-
.,-,-
-,-,-
-,-,-
Soyinka,ENTITY,Q560307_626
has,-,-
been,REL,Q560307_17
a,-,-
strong,-,-
critic,EVENT,Q560307_16
of,-,-
successive,-,-
Nigerian,-,-
(,-,-
and,-,-
African,-,-
at,-,-
large,-,-
),-,-
governments,-,-
",",-,-
especially,-,-
the,-,-
country,-,-
's,-,-
many,-,-
military,-,-
dictators,-,-
",",-,-
as,-,-
well,-,-
as,-,-
other,-,-
political,-,-
tyrannies,-,-
",",-,-
including,-,-
the,-,-
Mugabe,-,-
regime,-,-
in,-,-
Zimbabwe,-,-
Much,-,-
of,ENTITY,Q560307_868
his,ENTITY,Q560307_306
writing,EVENT,Q560307_913
has,-,-
been,-,-
concerned,EVENT,Q560307_305
with,-,-
"""",-,-
the,-,-
oppressive,-,-
boot,-,-
and,-,-
the,-,-
irrelevance,-,-
of,-,-
the,-,-
colour,-,-
of,-,-
the,-,-
foot,-,-
that,-,-
wears,-,-
it,-,-
"""",-,-
.,-,-
-,-,-
-,-,-
During,-,-
the,-,-
regime,-,-
of,-,-
General,-,-
Sani,-,-
Abacha,-,-
(,-,-
1993–98,-,-
),-,-
",",-,-
Soyinka,ENTITY,Q560307_447
escaped,EVENT,Q560307_18
from,-,-
Nigeria,-,-
on,-,-
a,ENTITY,Q560307_810
motorcycle,-,-
via,-,-
the,-,-
"""",-,-
NADECO,-,-
Route,-,-
.,-,-
"""",-,-
-,-,-
-,-,-
Abacha,-,-
later,-,-
proclaimed,EVENT,Q560307_20
a,-,-
death,-,-
sentence,EVENT,Q560307_19
against,-,-
him,ENTITY,Q560307_307
"""",-,-
in,-,-
absentia,-,-
.,-,-
"""",-,-
-,-,-
-,-,-
With,-,-
civilian,-,-
rule,-,-
restored,-,-
to,-,-
Nigeria,-,-
in,-,-
1999,-,-
",",-,-
Soyinka,ENTITY,Q560307_308
returned,EVENT,Q560307_21
to,-,-
his,-,-
nation,-,-
.,-,-
-,-,-
-,-,-
-,-,-
In,-,-
December,-,-
2020,-,-
",",-,-
Soyinka,ENTITY,Q560307_309
described,EVENT,Q560307_22
2020,-,-
as,-,-
the,-,-
most,-,-
challenging,EVENT,Q560307_23
year,-,-
in,-,-
the,ENTITY,Q560307_630
nation,-,-
's,-,-
history,-,-
.,-,-
-,-,-
-,-,-
He,-,-
said,EVENT,Q560307_24
:,-,-
"""",-,-
With,-,-
the,-,-
turbulence,-,-
that,-,-
characterised,-,-
year,-,-
2020,-,-
",",-,-
and,-,-
as,-,-
activities,-,-
wind,-,-
down,-,-
",",-,-
the,-,-
mood,-,-
has,-,-
been,-,-
repugnant,-,-
and,-,-
very,-,-
negative,-,-
.,-,-
-,-,-
-,-,-
I,-,-
do,-,-
n’t,-,-
want,-,-
to,-,-
sound,-,-
pessimistic,-,-
but,-,-
this,-,-
is,-,-
one,-,-
of,-,-
the,-,-
most,-,-
pessimistic,-,-
years,-,-
I,ENTITY,Q560307_310
have,-,-
known,-,-
in,-,-
this,-,-
nation,-,-
and,-,-
it,-,-
was,-,-
n’t,-,-
just,-,-
because,-,-
of,-,-
COVID-19,-,-
.,-,-
-,-,-
-,-,-
Natural,-,-
disasters,-,-
had,-,-
happened,-,-
elsewhere,-,-
",",-,-
but,-,-
how,-,-
have,-,-
you,-,-
managed,-,-
to,-,-
take,-,-
such,-,-
in,-,-
their,-,-
strides,-,-
?,-,-
"""",-,-
In,-,-
Nigeria,-,-
",",-,-
Soyinka,ENTITY,Q560307_311
was,REL,Q560307_25
a,-,-
Professor,EVENT,Q560307_26
of,-,-
Comparative,-,-
literature,-,-
(,-,-
1975,-,-
to,-,-
1999,-,-
),-,-
at,-,-
the,-,-
Obafemi,-,-
Awolowo,-,-
University,-,-
",",-,-
then,-,-
called,-,-
the,-,-
University,-,-
of,-,-
Ife,-,-
.,-,-
-,-,-
-,-,-
With,-,-
civilian,-,-
rule,-,-
restored,-,-
to,-,-
Nigeria,-,-
in,-,-
1999,-,-
",",-,-
he,ENTITY,Q560307_312
was,-,-
made,REL,Q560307_27
professor,EVENT,Q560307_28
emeritus,-,-
.,-,-
-,-,-
-,-,-
While,-,-
in,-,-
the,-,-
United,-,-
States,-,-
",",-,-
he,ENTITY,Q560307_313
first,-,-
taught,EVENT,Q560307_29
at,-,-
Cornell,-,-
University,-,-
as,-,-
Goldwin,-,-
Smith,-,-
professor,-,-
for,-,-
African,-,-
Studies,-,-
and,-,-
Theatre,-,-
Arts,-,-
from,-,-
1988,-,-
to,-,-
1991,-,-
and,-,-
then,-,-
at,-,-
Emory,-,-
University,-,-
",",-,-
where,-,-
in,-,-
1996,-,-
he,ENTITY,Q560307_314
was,-,-
appointed,EVENT,Q560307_30
Robert,-,-
W.,-,-
Woodruff,-,-
Professor,-,-
of,-,-
the,-,-
Arts,-,-
.,-,-
-,-,-
-,-,-
Soyinka,ENTITY,Q560307_315
has,-,-
been,REL,Q560307_31
a,-,-
Professor,EVENT,Q560307_32
of,-,-
Creative,-,-
Writing,-,-
at,-,-
the,-,-
University,-,-
of,-,-
Nevada,-,-
",",-,-
Las,-,-
Vegas,-,-
",",-,-
and,-,-
has,-,-
served,EVENT,Q560307_33
as,-,-
scholar,-,-
-,-,-
in,-,-
-,-,-
residence,-,-
at,-,-
NYU,-,-
's,-,-
Institute,-,-
of,-,-
African,-,-
American,-,-
Affairs,-,-
and,-,-
at,-,-
Loyola,-,-
Marymount,-,-
University,-,-
in,-,-
Los,-,-
Angeles,-,-
",",-,-
California,-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_316
has,-,-
also,-,-
taught,EVENT,Q560307_34
at,-,-
the,-,-
universities,-,-
of,-,-
Oxford,-,-
",",-,-
Harvard,-,-
and,-,-
Yale,-,-
.,-,-
-,-,-
-,-,-
Soyinka,ENTITY,Q560307_317
was,REL,Q560307_36
also,-,-
a,-,-
Distinguished,-,-
Scholar,EVENT,Q560307_35
in,-,-
Residence,-,-
at,-,-
Duke,-,-
University,-,-
in,-,-
2008,-,-
.,-,-
-,-,-
-,-,-
In,-,-
December,-,-
2017,-,-
",",-,-
he,ENTITY,Q560307_318
was,-,-
awarded,EVENT,Q560307_37
the,-,-
Europe,-,-
Theatre,-,-
Prize,-,-
in,-,-
the,-,-
"""",-,-
Special,-,-
Prize,-,-
"""",-,-
category,-,-
awarded,-,-
to,-,-
someone,-,-
who,-,-
has,-,-
"""",-,-
contributed,-,-
to,-,-
the,-,-
realization,-,-
of,-,-
cultural,-,-
events,-,-
that,-,-
promote,-,-
understanding,-,-
and,-,-
the,-,-
exchange,-,-
of,-,-
knowledge,-,-
between,-,-
peoples,-,-
"""",-,-
.,-,-
-,-,-
-,-,-
A,ENTITY,Q560307_745
descendant,-,-
of,-,-
the,-,-
rulers,-,-
of,-,-
Isara,-,-
",",-,-
Soyinka,ENTITY,Q560307_818
was,-,-
born,EVENT,Q560307_38
the,-,-
second,-,-
of,-,-
seven,-,-
children,-,-
",",-,-
in,-,-
the,-,-
city,-,-
of,-,-
Abẹokuta,-,-
",",-,-
Ogun,-,-
State,-,-
",",-,-
in,-,-
Nigeria,-,-
",",-,-
at,-,-
that,-,-
time,-,-
a,-,-
British,-,-
Dominion,-,-
.,-,-
-,-,-
-,-,-
His,ENTITY,Q560307_821
siblings,-,-
were,-,-
Atinuke,-,-
"""",-,-
Tinu,-,-
"""",-,-
Aina,-,-
Soyinka,-,-
",",-,-
Femi,-,-
Soyinka,-,-
",",-,-
Yeside,-,-
Soyinka,-,-
",",-,-
Omofolabo,-,-
"""",-,-
Folabo,-,-
"""",-,-
Ajayi,-,-
-,-,-
Soyinka,-,-
and,-,-
Kayode,-,-
Soyinka,-,-
.,-,-
-,-,-
-,-,-
His,ENTITY,Q560307_829
younger,-,-
sister,-,-
Folashade,-,-
Soyinka,-,-
died,-,-
on,-,-
her,-,-
first,-,-
birthday,-,-
.,-,-
-,-,-
-,-,-
His,-,-
father,-,-
",",-,-
Samuel,-,-
Ayodele,-,-
Soyinka,-,-
(,-,-
whom,-,-
he,ENTITY,Q560307_844
called,-,-
S.A.,-,-
or,-,-
"""",-,-
Essay,-,-
"""",-,-
),-,-
",",-,-
was,-,-
an,-,-
Anglican,-,-
minister,-,-
and,-,-
the,-,-
headmaster,-,-
of,-,-
St.,-,-
Peters,-,-
School,-,-
in,-,-
Abẹokuta,-,-
.,-,-
-,-,-
-,-,-
Having,-,-
solid,-,-
family,-,-
connections,-,-
",",-,-
the,-,-
elder,-,-
Soyinka,-,-
was,-,-
a,-,-
cousin,-,-
of,-,-
the,-,-
Odemo,-,-
",",-,-
or,-,-
King,-,-
",",-,-
of,-,-
Isara,-,-
-,-,-
Remo,-,-
Samuel,-,-
Akinsanya,-,-
",",-,-
a,-,-
founding,-,-
father,-,-
of,-,-
Nigeria,-,-
.,-,-
-,-,-
-,-,-
Soyinka,-,-
's,ENTITY,Q560307_319
mother,-,-
",",-,-
Grace,-,-
Eniola,-,-
Soyinka,-,-
(,-,-
née,-,-
Jenkins,-,-
-,-,-
Harrison,-,-
),-,-
(,-,-
whom,-,-
he,ENTITY,Q560307_320
dubbed,-,-
the,-,-
"""",-,-
Wild,-,-
Christian,-,-
"""",-,-
),-,-
",",-,-
owned,-,-
a,-,-
shop,-,-
in,-,-
the,-,-
nearby,-,-
market,-,-
.,-,-
-,-,-
-,-,-
She,-,-
was,-,-
a,-,-
political,-,-
activist,-,-
within,-,-
the,-,-
women,-,-
's,-,-
movement,-,-
in,-,-
the,-,-
local,-,-
community,-,-
.,-,-
-,-,-
-,-,-
She,-,-
was,-,-
also,-,-
Anglican,-,-
.,-,-
-,-,-
-,-,-
As,-,-
much,-,-
of,-,-
the,-,-
community,-,-
followed,-,-
indigenous,-,-
Yorùbá,-,-
religious,-,-
tradition,-,-
",",-,-
Soyinka,-,-
grew,EVENT,Q560307_39
up,-,-
in,-,-
a,-,-
religious,-,-
atmosphere,-,-
of,-,-
syncretism,-,-
",",-,-
with,-,-
influences,-,-
from,-,-
both,-,-
cultures,-,-
.,-,-
-,-,-
-,-,-
He,-,-
was,-,-
raised,EVENT,Q560307_40
in,-,-
a,-,-
religious,-,-
family,-,-
",",-,-
attending,EVENT,Q560307_41
church,-,-
services,-,-
and,-,-
singing,EVENT,Q560307_42
in,-,-
the,-,-
choir,-,-
from,-,-
an,-,-
early,-,-
age,-,-
;,-,-
however,-,-
",",-,-
Soyinka,ENTITY,Q560307_323
himself,ENTITY,Q560307_325
became,REL,Q560307_44
an,-,-
atheist,EVENT,Q560307_43
later,-,-
in,-,-
life,-,-
.,-,-
-,-,-
-,-,-
His,-,-
father,-,-
's,-,-
position,-,-
enabled,-,-
him,-,-
to,-,-
get,-,-
electricity,-,-
and,-,-
radio,-,-
at,-,-
home,-,-
.,-,-
-,-,-
-,-,-
He,-,-
writes,EVENT,Q560307_45
extensively,-,-
about,-,-
his,-,-
childhood,-,-
in,-,-
his,-,-
memoir,-,-
Aké,-,-
:,-,-
The,ENTITY,Q560307_340
Years,-,-
of,-,-
Childhood,-,-
(,-,-
1981,-,-
),-,-
.,-,-
-,-,-
-,-,-
His,ENTITY,Q560307_326
mother,-,-
was,-,-
one,-,-
of,-,-
the,-,-
most,-,-
prominent,-,-
members,-,-
of,-,-
the,-,-
influential,-,-
Ransome,-,-
-,-,-
Kuti,-,-
family,-,-
:,-,-
she,-,-
was,-,-
the,-,-
granddaughter,-,-
of,-,-
Rev.,-,-
Canon,-,-
J.,-,-
J.,-,-
Ransome,-,-
-,-,-
Kuti,-,-
as,-,-
the,-,-
only,ENTITY,Q560307_937
daughter,-,-
of,-,-
his,-,-
first,ENTITY,Q560307_928
daughter,-,-
Anne,-,-
Lape,-,-
Iyabode,-,-
Ransome,-,-
-,-,-
Kuti,-,-
",",-,-
and,-,-
was,-,-
therefore,-,-
a,-,-
niece,-,-
to,-,-
Olusegun,-,-
Azariah,-,-
Ransome,-,-
-,-,-
Kuti,-,-
",",-,-
Oludotun,-,-
Ransome,-,-
-,-,-
Kuti,-,-
and,-,-
niece,-,-
in,-,-
-,-,-
law,-,-
to,-,-
Funmilayo,-,-
Ransome,-,-
-,-,-
Kuti,-,-
.,-,-
-,-,-
-,-,-
Among,-,-
Soyinka,ENTITY,Q560307_327
's,ENTITY,Q560307_328
first,-,-
cousins,-,-
once,-,-
removed,-,-
were,-,-
the,-,-
musician,-,-
Fela,-,-
Kuti,-,-
",",-,-
the,-,-
human,-,-
rights,-,-
activist,-,-
Beko,-,-
Ransome,-,-
-,-,-
Kuti,-,-
",",-,-
politician,-,-
Olikoye,-,-
Ransome,-,-
-,-,-
Kuti,-,-
and,-,-
activist,-,-
Yemisi,-,-
Ransome,-,-
-,-,-
Kuti,-,-
.,-,-
-,-,-
-,-,-
His,-,-
second,-,-
cousins,-,-
include,-,-
musicians,-,-
Femi,-,-
Kuti,-,-
and,-,-
Seun,-,-
Kuti,-,-
",",-,-
and,-,-
dancer,-,-
Yeni,-,-
Kuti,-,-
.,-,-
-,-,-
-,-,-
In,-,-
1940,-,-
",",-,-
after,-,-
attending,EVENT,Q560307_46
St.,-,-
Peter,-,-
's,-,-
Primary,-,-
School,-,-
in,-,-
Abeokuta,-,-
",",-,-
Soyinka,ENTITY,Q560307_329
went,EVENT,Q560307_47
to,-,-
Abeokuta,-,-
Grammar,-,-
School,-,-
",",-,-
where,-,-
he,ENTITY,Q560307_330
won,EVENT,Q560307_48
several,-,-
prizes,-,-
for,-,-
literary,-,-
composition,-,-
.,-,-
-,-,-
-,-,-
In,-,-
1946,-,-
he,-,-
was,-,-
accepted,EVENT,Q560307_49
by,-,-
Government,-,-
College,-,-
in,-,-
Ibadan,-,-
",",-,-
at,-,-
that,-,-
time,-,-
one,-,-
of,-,-
Nigeria,-,-
's,-,-
elite,-,-
secondary,-,-
schools,-,-
.,-,-
-,-,-
-,-,-
After,-,-
finishing,EVENT,Q560307_50
his,-,-
course,-,-
at,-,-
Government,-,-
College,-,-
in,-,-
1952,-,-
",",-,-
he,ENTITY,Q560307_331
began,EVENT,Q560307_52
studies,EVENT,Q560307_51
at,-,-
University,-,-
College,-,-
Ibadan,-,-
(,-,-
1952–54,-,-
),-,-
",",-,-
affiliated,-,-
with,-,-
the,-,-
University,-,-
of,-,-
London,-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_914
studied,EVENT,Q560307_53
English,-,-
literature,-,-
",",-,-
Greek,-,-
",",-,-
and,-,-
Western,-,-
history,-,-
.,-,-
-,-,-
-,-,-
Among,-,-
his,ENTITY,Q560307_332
lecturers,-,-
was,-,-
Molly,-,-
Mahood,-,-
",",-,-
a,-,-
British,-,-
literary,-,-
scholar,-,-
.,-,-
-,-,-
-,-,-
In,-,-
the,-,-
year,-,-
1953–54,-,-
",",-,-
his,ENTITY,Q560307_333
second,-,-
and,-,-
last,-,-
at,-,-
University,-,-
College,-,-
",",-,-
Soyinka,-,-
began,REL,Q560307_54
work,EVENT,Q560307_55
on,-,-
"""",-,-
Keffi,-,-
's,-,-
Birthday,-,-
Treat,-,-
"""",-,-
",",-,-
a,-,-
short,-,-
radio,ENTITY,Q560307_816
play,ENTITY,Q560307_382
for,-,-
Nigerian,-,-
Broadcasting,-,-
Service,-,-
that,-,-
was,-,-
broadcast,EVENT,Q560307_56
in,-,-
July,-,-
1954,-,-
.,-,-
-,-,-
-,-,-
While,-,-
at,-,-
university,-,-
",",-,-
Soyinka,-,-
and,-,-
six,-,-
others,-,-
founded,EVENT,Q560307_57
the,-,-
Pyrates,-,-
Confraternity,-,-
",",-,-
an,-,-
anti,-,-
-,-,-
corruption,-,-
and,-,-
justice,-,-
-,-,-
seeking,-,-
student,-,-
organisation,-,-
",",-,-
the,-,-
first,ENTITY,Q560307_897
confraternity,-,-
in,-,-
Nigeria,-,-
.,-,-
-,-,-
-,-,-
Later,-,-
in,-,-
1954,-,-
",",-,-
Soyinka,ENTITY,Q560307_334
relocated,EVENT,Q560307_58
to,-,-
England,-,-
",",-,-
where,-,-
he,-,-
continued,EVENT,Q560307_60
his,ENTITY,Q560307_335
studies,EVENT,Q560307_59
in,-,-
English,-,-
literature,-,-
",",-,-
under,-,-
the,-,-
supervision,-,-
of,-,-
his,ENTITY,Q560307_336
mentor,-,-
Wilson,-,-
Knight,-,-
at,-,-
the,-,-
University,-,-
of,-,-
Leeds,-,-
(,-,-
1954–57,-,-
),-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_337
met,EVENT,Q560307_61
numerous,-,-
young,-,-
",",-,-
gifted,-,-
British,-,-
writers,-,-
.,-,-
-,-,-
-,-,-
Before,-,-
defending,EVENT,Q560307_62
his,-,-
B.A.,-,-
",",-,-
Soyinka,ENTITY,Q560307_338
began,EVENT,Q560307_64
publishing,EVENT,Q560307_63
and,-,-
working,EVENT,Q560307_65
as,-,-
editor,-,-
for,-,-
a,-,-
satirical,-,-
magazine,-,-
called,-,-
The,ENTITY,Q560307_454
Eagle,-,-
;,-,-
he,ENTITY,Q560307_339
wrote,EVENT,Q560307_66
a,-,-
column,-,-
on,-,-
academic,-,-
life,-,-
",",-,-
in,-,-
which,-,-
he,-,-
often,-,-
criticised,EVENT,Q560307_67
his,-,-
university,-,-
peers,-,-
.,-,-
-,-,-
-,-,-
After,-,-
graduating,EVENT,Q560307_68
with,-,-
an,-,-
upper,-,-
second,-,-
-,-,-
class,-,-
degree,-,-
",",-,-
Soyinka,ENTITY,Q560307_365
remained,EVENT,Q560307_69
in,-,-
Leeds,-,-
and,-,-
began,EVENT,Q560307_70
working,EVENT,Q560307_71
on,-,-
an,-,-
MA,-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_366
intended,EVENT,Q560307_73
to,-,-
write,EVENT,Q560307_72
new,-,-
works,ENTITY,Q560307_939
combining,-,-
European,-,-
theatrical,-,-
traditions,-,-
with,-,-
those,-,-
of,-,-
his,-,-
Yorùbá,-,-
cultural,-,-
heritage,-,-
.,-,-
-,-,-
-,-,-
His,-,-
first,-,-
major,ENTITY,Q560307_917
play,ENTITY,Q560307_931
",",-,-
The,ENTITY,Q560307_482
Swamp,-,-
Dwellers,-,-
(,-,-
1958,-,-
),-,-
",",-,-
was,-,-
followed,EVENT,Q560307_74
a,-,-
year,-,-
later,-,-
by,ENTITY,Q560307_740
The,-,-
Lion,ENTITY,Q560307_341
and,-,-
the,-,-
Jewel,ENTITY,Q560307_344
",",-,-
a,-,-
comedy,-,-
that,-,-
attracted,EVENT,Q560307_75
interest,-,-
from,-,-
several,-,-
members,-,-
of,-,-
London,-,-
's,-,-
Royal,-,-
Court,-,-
Theatre,-,-
.,-,-
-,-,-
-,-,-
Encouraged,-,-
",",-,-
Soyinka,-,-
moved,EVENT,Q560307_76
to,-,-
London,-,-
",",-,-
where,-,-
he,-,-
worked,EVENT,Q560307_77
as,-,-
a,-,-
play,ENTITY,Q560307_446
reader,-,-
for,-,-
the,-,-
Royal,-,-
Court,-,-
Theatre,-,-
.,-,-
-,-,-
-,-,-
During,-,-
the,-,-
same,-,-
period,-,-
",",-,-
both,-,-
of,-,-
his,ENTITY,Q560307_371
plays,ENTITY,Q560307_370
were,-,-
performed,EVENT,Q560307_78
in,-,-
Ibadan,-,-
.,-,-
-,-,-
-,-,-
They,-,-
dealt,-,-
with,-,-
the,-,-
uneasy,-,-
relationship,-,-
between,-,-
progress,-,-
and,-,-
tradition,-,-
in,-,-
Nigeria,-,-
.,-,-
-,-,-
-,-,-
In,-,-
1957,-,-
",",-,-
his,-,-
play,ENTITY,Q560307_451
The,-,-
Invention,-,-
was,REL,Q560307_934
the,-,-
first,EVENT,Q560307_935
of,-,-
his,ENTITY,Q560307_372
works,-,-
to,-,-
be,-,-
produced,EVENT,Q560307_79
at,-,-
the,-,-
Royal,-,-
Court,-,-
Theatre,-,-
.,-,-
-,-,-
-,-,-
At,-,-
that,-,-
time,-,-
his,ENTITY,Q560307_373
only,-,-
published,ENTITY,Q560307_938
works,ENTITY,Q560307_951
were,-,-
poems,ENTITY,Q560307_790
such,-,-
as,-,-
"""",-,-
The,-,-
Immigrant,-,-
"""",-,-
and,-,-
"""",-,-
My,-,-
Next,-,-
Door,-,-
Neighbour,-,-
"""",-,-
",",-,-
which,-,-
were,-,-
published,EVENT,Q560307_80
in,-,-
the,-,-
Nigerian,-,-
magazine,-,-
Black,-,-
Orpheus,-,-
.,-,-
-,-,-
-,-,-
This,-,-
was,-,-
founded,-,-
in,-,-
1957,-,-
by,-,-
the,-,-
German,-,-
scholar,-,-
Ulli,-,-
Beier,-,-
",",-,-
who,-,-
had,-,-
been,-,-
teaching,-,-
at,-,-
the,-,-
University,-,-
of,-,-
Ibadan,-,-
since,-,-
1950,-,-
.,-,-
-,-,-
-,-,-
Soyinka,ENTITY,Q560307_374
received,EVENT,Q560307_82
a,-,-
Rockefeller,-,-
Research,-,-
Fellowship,EVENT,Q560307_81
from,-,-
University,-,-
College,-,-
in,-,-
Ibadan,-,-
",",-,-
his,-,-
alma,-,-
mater,-,-
",",-,-
for,-,-
