token,label,_id
John,ENTITY,Q560307_1
Edgar,ENTITY,Q560307_2
Wideman,ENTITY,Q560307_15
(,-,-
born,-,-
June,-,-
14,-,-
",",-,-
1941,-,-
),-,-
is,REL,Q560307_10
an,-,-
American,-,-
novelist,EVENT,Q560307_11
",",-,-
short,ENTITY,Q560307_390
story,-,-
writer,EVENT,Q560307_12
",",-,-
memoirist,EVENT,Q560307_13
",",-,-
and,-,-
essayist,EVENT,Q560307_14
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_159
was,REL,Q560307_16
the,-,-
first,ENTITY,Q560307_180
person,-,-
to,-,-
win,EVENT,Q560307_17
the,ENTITY,Q560307_48
PEN,-,-
/,-,-
Faulkner,-,-
Award,-,-
for,-,-
Fiction,-,-
twice,-,-
.,-,-
-,-,-
-,-,-
His,ENTITY,Q560307_20
writing,EVENT,Q560307_415
is,-,-
known,EVENT,Q560307_18
for,-,-
experimental,-,-
techniques,-,-
and,-,-
a,-,-
focus,-,-
on,-,-
the,ENTITY,Q560307_245
African,-,-
-,-,-
American,-,-
experience,-,-
.,-,-
-,-,-
-,-,-
Raised,EVENT,Q560307_19
in,-,-
Pittsburgh,-,-
",",-,-
Pennsylvania,-,-
",",-,-
Wideman,ENTITY,Q560307_22
excelled,EVENT,Q560307_21
as,-,-
a,-,-
student,-,-
athlete,-,-
at,-,-
the,ENTITY,Q560307_50
University,-,-
of,-,-
Pennsylvania,-,-
.,-,-
-,-,-
-,-,-
In,-,-
1963,-,-
",",-,-
he,ENTITY,Q560307_26
became,REL,Q560307_23
the,-,-
second,ENTITY,Q560307_419
African,-,-
American,-,-
to,-,-
win,EVENT,Q560307_24
a,-,-
Rhodes,-,-
Scholarship,-,-
to,-,-
attend,EVENT,Q560307_25
the,ENTITY,Q560307_247
University,-,-
of,-,-
Oxford,-,-
.,-,-
-,-,-
-,-,-
In,-,-
addition,-,-
to,-,-
his,ENTITY,Q560307_28
work,EVENT,Q560307_27
as,-,-
a,-,-
writer,-,-
",",-,-
Wideman,ENTITY,Q560307_33
has,-,-
had,REL,Q560307_29
a,-,-
career,EVENT,Q560307_30
in,-,-
academia,-,-
as,-,-
a,-,-
literature,-,-
and,-,-
creative,-,-
writing,-,-
professor,-,-
at,-,-
both,-,-
public,-,-
and,-,-
Ivy,-,-
League,-,-
universities,-,-
.,-,-
-,-,-
-,-,-
In,-,-
his,ENTITY,Q560307_31
writing,EVENT,Q560307_34
",",-,-
Wideman,-,-
has,-,-
explored,EVENT,Q560307_32
the,-,-
complexities,-,-
of,-,-
race,-,-
",",-,-
family,-,-
",",-,-
trauma,-,-
",",-,-
storytelling,-,-
",",-,-
and,-,-
justice,-,-
in,-,-
the,-,-
United,-,-
States,-,-
.,-,-
-,-,-
-,-,-
His,-,-
personal,-,-
experience,-,-
",",-,-
including,-,-
the,-,-
incarceration,-,-
of,-,-
his,ENTITY,Q560307_214
brother,-,-
",",-,-
has,-,-
played,-,-
a,-,-
significant,-,-
role,-,-
in,-,-
his,ENTITY,Q560307_35
work,-,-
.,-,-
-,-,-
-,-,-
He,-,-
is,REL,Q560307_37
a,-,-
professor,EVENT,Q560307_36
emeritus,-,-
at,-,-
Brown,-,-
University,-,-
and,-,-
lives,EVENT,Q560307_38
in,-,-
New,-,-
York,-,-
City,-,-
and,-,-
France,-,-
.,-,-
-,ENTITY,Q560307_41
-,ENTITY,Q560307_257
was,-,-
born,EVENT,Q560307_43
on,-,-
June,-,-
14,-,-
",",-,-
1941,-,-
",",-,-
in,-,-
Washington,-,-
",",-,-
D.C.,-,-
",",-,-
the,-,-
oldest,-,-
of,-,-
five,-,-
children,-,-
of,-,-
Edgar,-,-
(,-,-
1918–2001,-,-
),-,-
and,-,-
Bette,-,-
(,-,-
née,-,-
French,-,-
;,-,-
1921–2008,-,-
),-,-
Wideman,-,-
.,-,-
-,-,-
-,-,-
-,ENTITY,Q560307_442
traces,EVENT,Q560307_45
traces,-,-
roots,-,-
to,-,-
the,-,-
period,-,-
of,-,-
American,-,-
slavery,-,-
.,-,-
-,-,-
-,-,-
On,-,-
On,-,-
mother,-,-
's,ENTITY,Q560307_465
side,-,-
",",-,-
",",-,-
great,-,-
-,-,-
great,-,-
-,-,-
great,-,-
-,-,-
grandmother,-,-
was,-,-
a,-,-
slave,-,-
from,-,-
Maryland,-,-
who,-,-
had,-,-
children,-,-
with,-,-
her,-,-
master,-,-
's,-,-
son,-,-
.,-,-
-,-,-
-,-,-
Together,-,-
",",-,-
they,-,-
relocated,-,-
to,-,-
Pittsburgh,-,-
either,-,-
during,-,-
or,-,-
immediately,-,-
after,-,-
the,-,-
American,-,-
Civil,-,-
War,-,-
.,-,-
-,-,-
-,-,-
According,-,-
to,-,-
Wideman,-,-
family,ENTITY,Q560307_49
lore,-,-
",",-,-
this,-,-
ancestor,-,-
first,ENTITY,Q560307_186
settled,-,-
the,-,-
area,-,-
that,-,-
eventually,-,-
became,-,-
the,-,-
Pittsburgh,-,-
neighborhood,-,-
of,-,-
Homewood,-,-
",",-,-
despite,-,-
the,-,-
fact,-,-
that,-,-
a,-,-
white,-,-
lawyer,-,-
and,-,-
politician,-,-
",",-,-
William,-,-
Wilkins,-,-
",",-,-
is,-,-
credited,-,-
with,-,-
founding,-,-
the,-,-
community,-,-
.,-,-
-,-,-
-,-,-
On,-,-
On,ENTITY,Q560307_298
Wideman,-,-
father,-,-
's,-,-
side,-,-
",",-,-
",",-,-
ancestors,-,-
have,-,-
been,-,-
traced,-,-
to,-,-
rural,-,-
South,-,-
Carolina,-,-
",",-,-
where,-,-
records,-,-
indicate,-,-
there,-,-
were,-,-
both,-,-
white,-,-
and,-,-
African,-,-
-,-,-
American,-,-
Widemans,-,-
",",-,-
including,-,-
one,-,-
who,-,-
owned,-,-
slaves,-,-
.,-,-
-,-,-
-,-,-
-,ENTITY,Q560307_46
Wideman,-,-
paternal,-,-
grandfather,-,-
moved,-,-
to,-,-
Pittsburgh,-,-
as,-,-
part,-,-
of,-,-
the,-,-
Great,-,-
Migration,-,-
of,-,-
the,-,-
early,-,-
20th,-,-
century,-,-
",",-,-
when,-,-
many,-,-
African,-,-
Americans,-,-
fled,-,-
Southern,-,-
states,-,-
.,-,-
-,-,-
-,-,-
-,ENTITY,Q560307_56
Wideman,-,-
father,-,-
",",-,-
Edgar,-,-
",",-,-
graduated,-,-
high,-,-
school,-,-
in,-,-
Pittsburgh,-,-
",",-,-
where,-,-
he,-,-
was,-,-
an,-,-
avid,-,-
basketball,-,-
player,-,-
.,-,-
-,-,-
-,-,-
After,-,-
marrying,-,-
marrying,-,-
Wideman,ENTITY,Q560307_63
mother,-,-
",",-,-
Bette,-,-
",",-,-
he,-,-
moved,-,-
with,-,-
her,-,-
to,-,-
Washington,-,-
",",-,-
D.C.,-,-
",",-,-
for,-,-
a,-,-
job,-,-
in,-,-
the,-,-
U.S.,-,-
Government,-,-
Printing,-,-
Office,-,-
.,-,-
-,-,-
-,-,-
The,ENTITY,Q560307_149
couple,-,-
moved,-,-
back,-,-
to,-,-
Pittsburgh,-,-
's,-,-
Homewood,-,-
neighborhood,-,-
after,-,-
after,ENTITY,Q560307_67
was,-,-
born,EVENT,Q560307_47
in,-,-
1941,-,-
.,-,-
-,-,-
-,-,-
During,-,-
World,-,-
War,-,-
II,-,-
",",-,-
",",-,-
Wideman,ENTITY,Q560307_72
father,-,-
enlisted,-,-
in,-,-
the,-,-
U.S.,-,-
Army,-,-
and,-,-
was,-,-
stationed,-,-
in,-,-
Charleston,-,-
",",-,-
