token,label,_id
Alice,ENTITY,Q560307_1
Malsenior,ENTITY,Q560307_2
Tallulah,ENTITY,Q560307_3
-,ENTITY,Q560307_4
Kate,ENTITY,Q560307_5
Walker,ENTITY,Q560307_42
(,-,-
born,-,-
February,-,-
9,-,-
",",-,-
1944,-,-
),-,-
is,REL,Q560307_37
an,-,-
American,-,-
novelist,EVENT,Q560307_38
",",-,-
short,-,-
story,-,-
writer,EVENT,Q560307_39
",",-,-
poet,EVENT,Q560307_40
",",-,-
and,-,-
social,-,-
activist,EVENT,Q560307_41
.,-,-
-,-,-
-,-,-
In,-,-
1982,-,-
",",-,-
she,ENTITY,Q560307_44
became,REL,Q560307_43
the,-,-
first,EVENT,Q560307_326
African,-,-
-,-,-
American,-,-
woman,-,-
to,-,-
win,EVENT,Q560307_327
the,-,-
Pulitzer,-,-
Prize,-,-
for,-,-
Fiction,-,-
",",-,-
which,-,-
she,-,-
was,-,-
awarded,EVENT,Q560307_45
for,-,-
her,-,-
novel,ENTITY,Q560307_143
The,ENTITY,Q560307_166
Color,-,-
Purple,-,-
.,-,-
-,-,-
-,-,-
Over,-,-
the,-,-
span,-,-
of,-,-
her,ENTITY,Q560307_46
career,-,-
",",-,-
Walker,-,-
has,-,-
published,EVENT,Q560307_47
seventeen,-,-
novels,-,-
and,-,-
short,-,-
story,-,-
collections,-,-
",",-,-
twelve,-,-
non,-,-
-,-,-
fiction,-,-
works,-,-
",",-,-
and,-,-
collections,-,-
of,-,-
essays,-,-
and,-,-
poetry,-,-
.,-,-
-,-,-
-,-,-
-,-,-
Alice,ENTITY,Q560307_54
Malsenior,-,-
Walker,-,-
was,-,-
born,EVENT,Q560307_56
in,-,-
Eatonton,-,-
",",-,-
Georgia,-,-
",",-,-
a,-,-
rural,-,-
farming,-,-
town,-,-
",",-,-
to,-,-
Willie,-,-
Lee,-,-
Walker,-,-
and,-,-
Minnie,-,-
Tallulah,-,-
Grant,-,-
.,-,-
-,-,-
-,-,-
Both,-,-
of,-,-
Walker,ENTITY,Q560307_321
's,-,-
parents,-,-
were,-,-
sharecroppers,-,-
",",-,-
though,-,-
her,ENTITY,Q560307_57
mother,-,-
also,-,-
worked,-,-
as,-,-
a,-,-
seamstress,-,-
to,-,-
earn,-,-
extra,-,-
money,-,-
.,-,-
-,-,-
-,-,-
Walker,-,-
",",-,-
the,-,-
youngest,-,-
of,-,-
eight,-,-
children,ENTITY,Q560307_59
",",-,-
was,-,-
first,-,-
enrolled,EVENT,Q560307_58
in,-,-
school,-,-
when,-,-
she,-,-
was,-,-
just,-,-
four,-,-
years,-,-
old,-,-
at,-,-
East,-,-
Putnam,-,-
Consolidated,-,-
.,-,-
-,-,-
-,-,-
As,-,-
an,-,-
eight,-,-
-,-,-
year,-,-
-,-,-
old,-,-
",",-,-
Walker,-,-
sustained,EVENT,Q560307_60
an,-,-
injury,-,-
to,-,-
her,-,-
right,-,-
eye,ENTITY,Q560307_71
after,-,-
one,-,-
of,-,-
her,ENTITY,Q560307_61
brothers,-,-
fired,-,-
a,-,-
BB,-,-
gun,-,-
.,-,-
-,-,-
-,-,-
Since,-,-
her,ENTITY,Q560307_67
family,-,-
did,-,-
not,-,-
have,-,-
access,-,-
to,-,-
a,-,-
car,-,-
",",-,-
Walker,-,-
could,-,-
not,EVENT-MOD,Q560307_64
receive,EVENT,Q560307_62
immediate,-,-
medical,-,-
attention,EVENT,Q560307_63
",",-,-
causing,EVENT,Q560307_68
her,ENTITY,Q560307_74
to,-,-
become,REL,Q560307_65
permanently,-,-
blind,EVENT,Q560307_66
in,-,-
that,-,-
eye,-,-
.,-,-
-,-,-
-,-,-
It,-,-
was,-,-
after,-,-
the,-,-
injury,EVENT,Q560307_69
to,-,-
her,ENTITY,Q560307_328
eye,ENTITY,Q560307_73
that,-,-
Walker,-,-
began,EVENT,Q560307_75
to,-,-
take,REL,Q560307_76
up,-,-
reading,EVENT,Q560307_77
and,-,-
writing,EVENT,Q560307_78
.,-,-
-,-,-
-,-,-
The,ENTITY,Q560307_291
scar,-,-
tissue,-,-
was,-,-
removed,EVENT,Q560307_79
when,-,-
Walker,ENTITY,Q560307_80
was,-,-
14,-,-
",",-,-
but,-,-
a,-,-
mark,-,-
still,-,-
remains,-,-
.,-,-
-,-,-
-,-,-
It,-,-
is,-,-
described,-,-
in,-,-
her,ENTITY,Q560307_82
essay,-,-
"""",-,-
Beauty,-,-
:,-,-
When,-,-
the,-,-
Other,-,-
Dancer,-,-
is,-,-
the,-,-
Self,-,-
.,-,-
"""",-,-
-,-,-
-,-,-
As,-,-
the,-,-
schools,-,-
in,-,-
Eatonton,-,-
were,-,-
segregated,-,-
",",-,-
Walker,-,-
attended,EVENT,Q560307_81
