token,label,_id
Dwight,ENTITY,Q560307_1
D.,ENTITY,Q560307_2
York,ENTITY,Q560307_16
(,-,-
born,-,-
June,-,-
26,-,-
",",-,-
1945,-,-
),-,-
",",-,-
also,-,-
known,-,-
as,-,-
Malachi,-,-
Z.,-,-
York,ENTITY,Q560307_231
",",-,-
Issa,-,-
Al,-,-
Haadi,-,-
Al,-,-
Mahdi,-,-
",",-,-
Dr.,ENTITY,Q560307_284
York,-,-
",",-,-
et,-,-
alii,-,-
",",-,-
is,REL,Q560307_10
an,-,-
American,-,-
criminal,EVENT,Q560307_11
",",-,-
musician,EVENT,Q560307_12
",",-,-
and,-,-
writer,EVENT,Q560307_13
who,-,-
is,-,-
known,EVENT,Q560307_15
as,-,-
the,-,-
founding,-,-
leader,EVENT,Q560307_14
of,-,-
various,-,-
religious,-,-
/,-,-
political,-,-
groups,-,-
",",-,-
including,-,-
most,-,-
notably,-,-
-,-,-
-,-,-
the,-,-
United,-,-
Nation,-,-
of,-,-
Nuwaubian,-,-
Moors,-,-
",",-,-
a,-,-
religious,-,-
ministry,-,-
that,-,-
has,-,-
existed,-,-
in,-,-
some,-,-
form,-,-
since,-,-
the,-,-
1960s,-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_110
is,-,-
a,-,-
convicted,-,-
child,-,-
molester,EVENT,Q560307_17
.,-,-
-,-,-
-,-,-
He,-,-
and,-,-
his,ENTITY,Q560307_22
group,-,-
were,-,-
based,EVENT,Q560307_18
in,-,-
Brooklyn,-,-
",",-,-
New,-,-
York,-,-
.,-,-
-,-,-
-,-,-
Around,-,-
1990,-,-
the,-,-
community,-,-
relocated,EVENT,Q560307_19
to,-,-
rural,-,-
Putnam,-,-
County,-,-
",",-,-
Georgia,-,-
",",-,-
where,-,-
they,ENTITY,Q560307_21
built,EVENT,Q560307_20
a,-,-
large,-,-
complex,-,-
.,-,-
-,-,-
-,-,-
York,ENTITY,Q560307_26
was,-,-
convicted,EVENT,Q560307_23
in,-,-
2004,-,-
of,-,-
child,-,-
molestation,EVENT,Q560307_24
and,-,-
violations,EVENT,Q560307_25
of,-,-
the,-,-
Racketeer,-,-
Influenced,-,-
and,-,-
Corrupt,-,-
Organizations,-,-
Act,-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_28
is,-,-
serving,EVENT,Q560307_27
a,-,-
135-year,-,-
sentence,-,-
.,-,-
-,-,-
-,-,-
York,ENTITY,Q560307_300
began,EVENT,Q560307_29
his,ENTITY,Q560307_31
ministry,EVENT,Q560307_30
in,-,-
the,-,-
late,-,-
1960s,-,-
.,-,-
-,-,-
-,-,-
In,-,-
1967,-,-
he,ENTITY,Q560307_33
was,-,-
preaching,EVENT,Q560307_32
to,-,-
the,-,-
"""",-,-
Ansaaru,-,-
Allah,-,-
"""",-,-
(,-,-
viz,-,-
.,-,-
African,-,-
Americans,-,-
),-,-
in,-,-
Brooklyn,-,-
",",-,-
New,-,-
York,-,-
",",-,-
during,-,-
the,-,-
period,-,-
of,-,-
the,-,-
Black,-,-
Power,-,-
movement,-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_35
founded,EVENT,Q560307_34
numerous,-,-
orders,-,-
under,-,-
various,-,-
names,-,-
during,-,-
the,-,-
1970s,-,-
and,-,-
1980s,-,-
.,-,-
-,-,-
-,-,-
These,-,-
were,-,-
at,-,-
first,-,-
based,-,-
on,-,-
pseudo,-,-
-,-,-
Islamic,-,-
themes,-,-
and,-,-
Judaism,-,-
