token,label,_id
Chloe,ENTITY,Q560307_1
Anthony,ENTITY,Q560307_2
Wofford,ENTITY,Q560307_3
Morrison,ENTITY,Q560307_28
(,-,-
born,-,-
Chloe,-,-
Ardelia,-,-
Wofford,ENTITY,Q560307_117
;,-,-
February,-,-
18,-,-
",",-,-
1931,-,-
 ,-,-
–,-,-
August,-,-
5,-,-
",",-,-
2019,-,-
),-,-
",",-,-
known,-,-
as,-,-
Toni,-,-
Morrison,-,-
",",-,-
was,REL,Q560307_17
an,-,-
American,-,-
novelist,EVENT,Q560307_18
",",-,-
essayist,EVENT,Q560307_19
",",-,-
book,-,-
editor,EVENT,Q560307_20
",",-,-
and,-,-
college,-,-
professor,EVENT,Q560307_21
.,-,-
-,-,-
-,-,-
Her,ENTITY,Q560307_42
first,ENTITY,Q560307_23
novel,ENTITY,Q560307_24
",",-,-
The,ENTITY,Q560307_268
Bluest,-,-
Eye,-,-
",",-,-
was,-,-
published,EVENT,Q560307_31
in,ENTITY,Q560307_153
1970,-,-
.,-,-
-,-,-
-,-,-
The,ENTITY,Q560307_618
critically,-,-
acclaimed,EVENT,Q560307_32
Song,ENTITY,Q560307_33
of,ENTITY,Q560307_34
Solomon,ENTITY,Q560307_35
(,-,-
1977,-,-
),-,-
brought,EVENT,Q560307_43
her,ENTITY,Q560307_46
national,-,-
attention,EVENT,Q560307_44
and,-,-
won,EVENT,Q560307_45
the,ENTITY,Q560307_332
National,-,-
Book,-,-
Critics,-,-
Circle,-,-
Award,-,-
.,-,-
-,-,-
-,-,-
In,-,-
1988,-,-
",",-,-
Morrison,ENTITY,Q560307_48
won,EVENT,Q560307_47
the,ENTITY,Q560307_418
Pulitzer,-,-
Prize,-,-
for,ENTITY,Q560307_700
Beloved,ENTITY,Q560307_395
(,-,-
1987,-,-
),-,-
;,-,-
she,ENTITY,Q560307_51
gained,EVENT,Q560307_49
worldwide,-,-
recognition,EVENT,Q560307_50
when,-,-
she,ENTITY,Q560307_55
was,-,-
awarded,EVENT,Q560307_52
the,ENTITY,Q560307_335
Nobel,-,-
Prize,-,-
in,-,-
Literature,-,-
in,-,-
1993,-,-
.,-,-
-,-,-
-,-,-
Born,EVENT,Q560307_53
and,-,-
raised,EVENT,Q560307_54
in,-,-
Lorain,-,-
",",-,-
Ohio,-,-
",",-,-
Morrison,ENTITY,Q560307_57
graduated,EVENT,Q560307_56
from,-,-
Howard,-,-
University,-,-
in,-,-
1953,-,-
with,-,-
a,-,-
B.A.,-,-
in,-,-
English,-,-
.,-,-
-,-,-
-,-,-
In,-,-
1955,-,-
",",-,-
she,ENTITY,Q560307_60
earned,EVENT,Q560307_58
a,-,-
master,ENTITY,Q560307_180
's,ENTITY,Q560307_181
degree,EVENT,Q560307_59
in,-,-
American,-,-
Literature,-,-
from,-,-
Cornell,-,-
University,-,-
.,-,-
-,-,-
-,-,-
In,-,-
1957,-,-
she,ENTITY,Q560307_65
returned,EVENT,Q560307_61
to,-,-
Howard,-,-
University,-,-
",",-,-
was,-,-
married,EVENT,Q560307_62
",",-,-
and,-,-
had,EVENT,Q560307_63
two,-,-
children,-,-
before,-,-
divorcing,EVENT,Q560307_64
in,-,-
1964,-,-
.,-,-
-,-,-
-,-,-
In,-,-
the,-,-
late,-,-
1960s,-,-
",",-,-
she,ENTITY,Q560307_68
became,REL,Q560307_67
the,-,-
first,ENTITY,Q560307_29
black,-,-
female,-,-
editor,EVENT,Q560307_66
in,-,-
fiction,-,-
at,-,-
Random,-,-
