token,label,_id
Angela,ENTITY,Q560307_62
Yvonne,ENTITY,Q560307_63
Davis,ENTITY,Q560307_77
(,-,-
born,-,-
January,-,-
26,-,-
",",-,-
1944,-,-
),-,-
is,REL,Q560307_76
an,-,-
American,-,-
political,-,-
activist,EVENT,Q560307_71
",",-,-
philosopher,EVENT,Q560307_72
",",-,-
academic,EVENT,Q560307_73
",",-,-
scholar,EVENT,Q560307_74
",",-,-
and,-,-
author,EVENT,Q560307_75
.,-,-
-,-,-
-,-,-
She,ENTITY,Q560307_79
is,REL,Q560307_78
a,-,-
professor,EVENT,Q560307_1
at,-,-
the,-,-
University,-,-
of,ENTITY,Q560307_97
California,-,-
",",-,-
Santa,-,-
Cruz,-,-
.,-,-
-,-,-
-,-,-
A,-,-
Marxist,-,-
",",-,-
Davis,ENTITY,Q560307_81
was,REL,Q560307_82
a,-,-
longtime,-,-
member,EVENT,Q560307_80
of,-,-
the,-,-
Communist,-,-
Party,-,-
USA,-,-
(,-,-
CPUSA,-,-
),-,-
and,-,-
is,-,-
a,-,-
founding,-,-
member,-,-
of,-,-
the,-,-
Committees,-,-
of,-,-
Correspondence,-,-
for,-,-
Democracy,-,-
and,-,-
Socialism,-,-
(,-,-
CCDS,-,-
),-,-
.,-,-
-,-,-
-,-,-
She,ENTITY,Q560307_85
is,REL,Q560307_83
the,-,-
author,EVENT,Q560307_84
of,-,-
over,-,-
ten,-,-
books,-,-
on,-,-
class,-,-
",",-,-
feminism,-,-
",",-,-
race,-,-
",",-,-
and,-,-
the,-,-
US,-,-
prison,-,-
system,-,-
.,-,-
-,-,-
-,-,-
-,-,-
Born,EVENT,Q560307_2
to,-,-
an,-,-
African,-,-
-,-,-
American,-,-
family,ENTITY,Q560307_125
in,-,-
Birmingham,-,-
",",-,-
Alabama,-,-
",",-,-
Davis,ENTITY,Q560307_86
studied,EVENT,Q560307_3
French,-,-
at,-,-
Brandeis,-,-
University,-,-
and,-,-
philosophy,-,-
at,-,-
the,-,-
University,-,-
of,-,-
Frankfurt,-,-
in,-,-
West,-,-
Germany,-,-
.,-,-
-,-,-
-,-,-
Studying,EVENT,Q560307_4
under,-,-
the,-,-
philosopher,-,-
Herbert,-,-
Marcuse,-,-
",",-,-
a,-,-
prominent,-,-
figure,-,-
in,-,-
the,-,-
Frankfurt,-,-
School,-,-
",",-,-
Davis,ENTITY,Q560307_87
became,REL,Q560307_6
increasingly,-,-
engaged,EVENT,Q560307_5
in,-,-
far,-,-
-,-,-
left,-,-
politics,-,-
.,-,-
-,-,-
-,-,-
Returning,EVENT,Q560307_7
to,-,-
the,-,-
United,-,-
States,-,-
",",-,-
she,ENTITY,Q560307_88
studied,EVENT,Q560307_8
at,-,-
the,-,-
University,-,-
of,-,-
California,-,-
",",-,-
San,-,-
Diego,-,-
",",-,-
before,-,-
moving,EVENT,Q560307_9
to,-,-
East,-,-
Germany,-,-
",",-,-
where,-,-
she,ENTITY,Q560307_89
completed,EVENT,Q560307_11
a,-,-
doctorate,EVENT,Q560307_10
at,-,-
the,-,-
Humboldt,-,-
University,-,-
of,-,-
Berlin,-,-
.,-,-
-,-,-
-,-,-
After,-,-
returning,EVENT,Q560307_12
to,-,-
the,-,-
United,-,-
States,-,-
",",-,-
she,ENTITY,Q560307_90
joined,EVENT,Q560307_13
the,-,-
Communist,-,-
Party,-,-
and,-,-
became,REL,Q560307_14
involved,EVENT,Q560307_15
in,-,-
numerous,-,-
causes,-,-
",",-,-
including,-,-
the,-,-
second,-,-
-,-,-
wave,-,-
feminist,-,-
movement,-,-
and,-,-
the,-,-
campaign,-,-
against,-,-
the,-,-
Vietnam,-,-
War,-,-
.,-,-
-,-,-
-,-,-
In,-,-
1969,-,-
",",-,-
she,ENTITY,Q560307_91
was,-,-
hired,EVENT,Q560307_16
as,-,-
an,-,-
acting,-,-
assistant,-,-
professor,-,-
of,-,-
philosophy,-,-
at,-,-
the,-,-
University,-,-
of,-,-
California,-,-
",",-,-
Los,-,-
Angeles,-,-
(,-,-
UCLA,-,-
),-,-
.,-,-
-,-,-
-,-,-
UCLA,-,-
's,-,-
governing,-,-
Board,-,-
of,-,-
Regents,-,-
soon,-,-
fired,EVENT,Q560307_17
her,-,-
due,-,-
to,-,-
her,ENTITY,Q560307_92
Communist,-,-
Party,-,-
membership,-,-
;,-,-
after,-,-
a,-,-
court,-,-
ruled,-,-
this,-,-
illegal,-,-
",",-,-
the,-,-
university,-,-
fired,EVENT,Q560307_18
her,ENTITY,Q560307_93
again,-,-
",",-,-
this,-,-
time,-,-
for,-,-
her,ENTITY,Q560307_576
use,EVENT,Q560307_19
of,-,-
inflammatory,-,-
language,-,-
.,-,-
-,-,-
-,-,-
-,-,-
In,-,-
1970,-,-
",",-,-
guns,-,-
belonging,EVENT,Q560307_577
to,-,-
Davis,ENTITY,Q560307_94
were,-,-
used,EVENT,Q560307_20
in,-,-
an,-,-
armed,-,-
takeover,-,-
of,-,-
a,-,-
courtroom,-,-
in,-,-
Marin,-,-
County,-,-
",",-,-
California,-,-
",",-,-
in,-,-
which,-,-
four,-,-
people,-,-
were,-,-
killed,-,-
.,-,-
-,-,-
-,-,-
Prosecuted,EVENT,Q560307_21
for,-,-
three,-,-
capital,-,-
felonies,-,-
",",-,-
including,-,-
conspiracy,-,-
to,-,-
murder,-,-
",",-,-
she,ENTITY,Q560307_95
was,-,-
held,EVENT,Q560307_23
in,-,-
jail,EVENT,Q560307_22
for,-,-
over,-,-
a,-,-
year,-,-
before,-,-
being,-,-
acquitted,EVENT,Q560307_24
of,-,-
all,-,-
charges,-,-
in,-,-
1972,-,-
.,-,-
-,-,-
-,-,-
She,-,-
visited,EVENT,Q560307_25
Eastern,-,-
Bloc,-,-
countries,-,-
in,-,-
the,-,-
1970s,-,-
and,-,-
",",-,-
during,-,-
the,-,-
1980s,-,-
",",-,-
was,REL,Q560307_27
twice,-,-
the,-,-
Communist,-,-
Party,-,-
's,-,-
