token,label,_id
Israeli,-,-
President,-,-
’s,-,-
Award,-,-
for,-,-
peace,-,-
culture,-,-
.,-,-
-,-,-
-,-,-
Laureate,-,-
Tèmoignage,-,-
Prize,-,-
",",-,-
Paris,-,-
",",-,-
2014,-,-
.,-,-
-,-,-
-,-,-
Ada,ENTITY,Q560307_45
Aharoni,ENTITY,Q560307_47
(,-,-
Hebrew,-,-
:,-,-
עדה,-,-
אהרוני‎,-,-
;,-,-
born,-,-
Andrée,-,-
Yadid,-,-
",",-,-
1933,-,-
),-,-
is,REL,Q560307_49
an,-,-
Egyptian,-,-
-,-,-
born,-,-
Israeli,-,-
poet,EVENT,Q560307_50
",",-,-
writer,EVENT,Q560307_51
",",-,-
lecturer,EVENT,Q560307_52
",",-,-
sociologist,EVENT,Q560307_53
-,-,-
-,-,-
and,-,-
peace,-,-
researcher,EVENT,Q560307_54
.,-,-
-,-,-
-,-,-
Since,-,-
her,ENTITY,Q560307_71
first,ENTITY,Q560307_56
poetry,ENTITY,Q560307_57
book,ENTITY,Q560307_58
",",-,-
Poems,-,-
from,-,-
Israel,-,-
",",-,-
was,-,-
launched,EVENT,Q560307_1
in,-,-
1972,-,-
she,-,-
has,-,-
published,EVENT,Q560307_2
-,-,-
-,-,-
-,-,-
-,-,-
34,-,-
books,-,-
",",-,-
including,-,-
peace,-,-
poetry,-,-
",",-,-
historical,-,-
novels,-,-
",",-,-
sociology,-,-
and,-,-
history,-,-
books,-,-
",",-,-
biographies,-,-
",",-,-
drama,-,-
",",-,-
film,-,-
-,-,-
scripts,-,-
",",-,-
literary,-,-
criticism,-,-
",",-,-
and,-,-
books,-,-
for,-,-
children,-,-
.,-,-
-,-,-
-,-,-
The,ENTITY,Q560307_82
uprooting,-,-
of,-,-
the,-,-
Jews,-,-
from,-,-
Egypt,-,-
",",-,-
including,-,-
herself,-,-
",",-,-
following,-,-
the,-,-
establishment,-,-
of,-,-
Israel,-,-
in,-,-
1948,-,-
is,-,-
one,-,-
of,-,-
the,-,-
main,-,-
topics,-,-
in,-,-
many,-,-
of,-,-
her,ENTITY,Q560307_72
novels,-,-
.,-,-
-,-,-
-,-,-
Her,ENTITY,Q560307_73
research,EVENT,Q560307_4
on,-,-
this,-,-
"""",-,-
Second,-,-
Exodus,-,-
"""",-,-
has,-,-
been,-,-
a,-,-
major,-,-
focus,-,-
in,-,-
her,ENTITY,Q560307_74
career,EVENT,Q560307_3
.,-,-
-,-,-
-,-,-
Aharoni,ENTITY,Q560307_78
is,REL,Q560307_77
the,-,-
Founder,EVENT,Q560307_75
and,-,-
World,-,-
President,EVENT,Q560307_76
of,-,-
Iflac,-,-
:,-,-
The,ENTITY,Q560307_84
International,-,-
Forum,-,-
for,-,-
the,-,-
Literature,-,-
and,-,-
Culture,-,-
of,-,-
Peace,-,-
.,-,-
-,-,-
-,-,-
Aharoni,ENTITY,Q560307_79
was,-,-
born,EVENT,Q560307_5
in,-,-
Cairo,-,-
",",-,-
in,-,-
a,-,-
Jewish,-,-
family,ENTITY,Q560307_83
of,-,-
French,-,-
nationality,-,-
.,-,-
-,-,-
-,-,-
She,ENTITY,Q560307_80
attended,EVENT,Q560307_6
the,-,-
Alvernia,-,-
English,-,-
School,-,-
for,-,-
Girls,-,-
",",-,-
a,-,-
convent,-,-
school,-,-
in,-,-
the,-,-
neighborhood,-,-
of,-,-
Zamalek,-,-
",",-,-
where,-,-
she,-,-
was,-,-
taught,EVENT,Q560307_7
English,-,-
literature,-,-
by,-,-
Irish,-,-
Franciscan,-,-
