token,label,_id
Kenule,ENTITY,Q560307_123
Beeson,ENTITY,Q560307_124
"""",ENTITY,Q560307_125
Ken,ENTITY,Q560307_126
"""",-,-
Saro,ENTITY,Q560307_128
-,ENTITY,Q560307_129
Wiwa,ENTITY,Q560307_194
(,-,-
10,-,-
October,-,-
1941,-,-
–,-,-
10,-,-
November,-,-
1995,-,-
),-,-
was,REL,Q560307_189
a,-,-
Nigerian,-,-
writer,EVENT,Q560307_187
",",-,-
television,ENTITY,Q560307_274
producer,EVENT,Q560307_188
",",-,-
environmental,-,-
activist,EVENT,Q560307_190
.,-,-
-,-,-
-,-,-
Saro,ENTITY,Q560307_197
-,ENTITY,Q560307_195
Wiwa,ENTITY,Q560307_220
was,REL,Q560307_201
a,-,-
member,EVENT,Q560307_200
of,-,-
the,ENTITY,Q560307_467
Ogoni,-,-
people,-,-
",",-,-
an,-,-
ethnic,-,-
minority,-,-
in,-,-
Nigeria,-,-
whose,-,-
homeland,-,-
",",-,-
Ogoniland,-,-
",",-,-
in,-,-
the,EVENT,Q560307_531
Niger,-,-
Delta,-,-
has,-,-
been,-,-
targeted,-,-
for,-,-
crude,-,-
oil,-,-
extraction,-,-
since,-,-
the,EVENT,Q560307_533
1950s,-,-
and,-,-
which,-,-
has,-,-
suffered,-,-
extreme,-,-
environmental,-,-
damage,-,-
from,-,-
decades,-,-
of,-,-
indiscriminate,-,-
petroleum,-,-
waste,-,-
dumping,-,-
.,-,-
-,-,-
-,-,-
Initially,-,-
as,-,-
spokesperson,-,-
",",-,-
and,-,-
then,-,-
as,-,-
president,-,-
",",-,-
of,-,-
the,-,-
Movement,-,-
for,-,-
the,-,-
Survival,-,-
of,-,-
the,-,-
Ogoni,-,-
People,-,-
(,-,-
MOSOP,-,-
),-,-
",",-,-
Saro,ENTITY,Q560307_208
-,ENTITY,Q560307_198
Wiwa,ENTITY,Q560307_211
led,EVENT,Q560307_1
a,-,-
nonviolent,-,-
campaign,-,-
against,ENTITY,Q560307_410
environmental,-,-
degradation,-,-
of,-,-
the,-,-
land,-,-
and,ENTITY,Q560307_359
waters,-,-
of,-,-
Ogoniland,-,-
by,-,-
the,-,-
operations,-,-
of,-,-
the,-,-
multinational,-,-
petroleum,-,-
industry,-,-
",",-,-
especially,-,-
the,-,-
Royal,-,-
Dutch,-,-
Shell,-,-
company,-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_214
is,-,-
also,-,-
known,EVENT,Q560307_212
as,-,-
a,-,-
critic,EVENT,Q560307_213
of,-,-
the,-,-
Nigerian,-,-
government,-,-
",",-,-
for,-,-
its,-,-
allegedly,-,-
reluctant,-,-
behavior,-,-
to,-,-
enforce,-,-
environmental,-,-
regulations,-,-
on,-,-
the,-,-
foreign,-,-
petroleum,-,-
companies,-,-
operating,-,-
in,-,-
the,-,-
area,-,-
.,-,-
-,-,-
-,-,-
At,-,-
the,-,-
peak,-,-
of,-,-
his,ENTITY,Q560307_215
non,-,-
-,ENTITY,Q560307_221
violent,-,-
campaign,EVENT,Q560307_2
",",-,-
he,ENTITY,Q560307_216
was,-,-
tried,EVENT,Q560307_3
by,-,-
a,-,-
special,-,-
military,-,-
tribunal,-,-
for,-,-
allegedly,EVENT-MOD,Q560307_5
masterminding,EVENT,Q560307_4
the,-,-
gruesome,-,-
murder,-,-
of,-,-
Ogoni,-,-
chiefs,-,-
at,-,-
a,-,-
pro,-,-
-,ENTITY,Q560307_209
government,-,-
meeting,-,-
",",-,-
and,ENTITY,Q560307_365
hanged,EVENT,Q560307_6
in,-,-
1995,-,-
by,-,-
the,-,-
military,-,-
dictatorship,-,-
of,-,-
General,-,-
Sani,-,-
Abacha,-,-
.,-,-
-,-,-
-,-,-
His,ENTITY,Q560307_317
execution,EVENT,Q560307_7
provoked,-,-
international,-,-
outrage,-,-
and,-,-
resulted,-,-
in,-,-
Nigeria,-,-
's,-,-
suspension,-,-
from,-,-
the,-,-
Commonwealth,-,-
of,-,-
Nations,-,-
for,-,-
over,-,-
three,-,-
years,-,-
.,-,-
-,-,-
-,-,-
Born,-,-
Kenule,-,-
Tsaro,-,-
-,ENTITY,Q560307_244
Wiwa,-,-
",",-,-
Saro,ENTITY,Q560307_223
-,ENTITY,Q560307_257
Wiwa,ENTITY,Q560307_228
was,REL,Q560307_226
the,-,-
son,EVENT,Q560307_227
of,-,-
Chief,-,-
Jim,-,-
Wiwa,ENTITY,Q560307_514
",",-,-
a,-,-
forest,-,-
ranger,-,-
that,-,-
held,-,-
a,-,-
title,-,-
