doc,token,sentence,t_id,doc_id,m_id,tag
160257,Ford,0,1,,,
160257,'s,0,2,,,
160257,US,0,3,,,
160257,auto,0,4,,,
160257,sales,0,5,160257,122,EVENT_MENTION
160257,spike,0,6,,,
160257,",",0,7,,,
160257,surpassing,0,8,160257,128,EVENT_MENTION
160257,GM,0,9,,,
160257,March,1,10,,,
160257,03,1,11,,,
160257,",",1,12,,,
160257,2010,1,13,,,
160257,Both,10,197,,,
160257,models,10,198,,,
160257,were,10,199,,,
160257,significantly,10,200,,,
160257,redesigned,10,201,,,
160257,last,10,202,,,
160257,year,10,203,,,
160257,",",10,204,,,
160257,and,10,205,,,
160257,analysts,10,206,,,
160257,said,10,207,,,
160257,that,10,208,,,
160257,improved,10,209,,,
160257,quality,10,210,,,
160257,from,10,211,,,
160257,such,10,212,,,
160257,cars,10,213,,,
160257,were,10,214,,,
160257,driving,10,215,,,
160257,the,10,216,,,
160257,increases,10,217,,,
160257,.,10,218,,,
160257,Other,11,219,,,
160257,companies,11,220,,,
160257,also,11,221,,,
160257,reported,11,222,,,
160257,February,11,223,,,
160257,sales,11,224,,,
160257,today,11,225,,,
160257,",",11,226,,,
160257,nearly,11,227,,,
160257,all,11,228,,,
160257,reporting,11,229,,,
160257,sales,11,230,,,
160257,gains,11,231,,,
160257,as,11,232,,,
160257,well,11,233,,,
160257,",",11,234,,,
160257,although,11,235,,,
160257,none,11,236,,,
160257,as,11,237,,,
160257,large,11,238,,,
160257,as,11,239,,,
160257,those,11,240,160257,92,EVENT_MENTION
160257,of,11,241,,,
160257,Ford,11,242,,,
160257,.,11,243,,,
160257,Toyota,12,244,,,
160257,was,12,245,,,
160257,the,12,246,,,
160257,sole,12,247,,,
160257,exception,12,248,160257,107,EVENT_MENTION
160257,to,12,249,,,
160257,the,12,250,,,
160257,sales,12,251,,,
160257,gains,12,252,,,
160257,",",12,253,,,
160257,as,12,254,,,
160257,their,12,255,,,
160257,sales,12,256,160257,131,EVENT_MENTION
160257,declined,12,257,,,
160257,8.7,12,258,,,
160257,%,12,259,,,
160257,",",12,260,,,
160257,as,12,261,,,
160257,the,12,262,,,
160257,company,12,263,,,
160257,was,12,264,,,
160257,faced,12,265,160257,108,EVENT_MENTION
160257,with,12,266,,,
160257,a,12,267,,,
160257,global,12,268,,,
160257,recall,12,269,,,
160257,during,12,270,,,
160257,the,12,271,,,
160257,month,12,272,,,
160257,that,12,273,,,
160257,led,12,274,,,
160257,to,12,275,,,
160257,a,12,276,,,
160257,temporary,12,277,,,
160257,stoppage,12,278,,,
160257,of,12,279,,,
160257,production,12,280,,,
160257,for,12,281,,,
160257,some,12,282,,,
160257,models,12,283,,,
160257,.,12,284,,,
