token,sentence,idx,pos,event_id,label,simple_label
ea980120.1830.0456,0,1,PROPN,,0,0
NEWS,0,3,NOUN,,0,0
STORY,0,4,PROPN,,0,0
The,1,0,DET,,0,0
Pentagon,1,1,PROPN,,0,0
said,1,2,NOUN,e1,REPORTING,EVENT
today,1,3,NOUN,,0,0
it,1,4,PRON,,0,0
will,1,5,VERB,,0,0
re-examine,1,6,VERB,e2,I_ACTION,EVENT
the,1,7,DET,,0,0
question,1,8,NOUN,e17,I_STATE,EVENT
are,1,9,AUX,,0,0
the,1,10,DET,,0,0
remains,1,11,NOUN,,0,0
inside,1,12,ADP,,0,0
the,1,13,DET,,0,0
Tomb,1,14,PROPN,,0,0
of,1,15,ADP,,0,0
the,1,16,DET,,0,0
Unknown,1,17,PROPN,,0,0
from,1,18,ADP,,0,0
the,1,19,DET,,0,0
Vietnam,1,20,PROPN,,0,0
War,1,21,PROPN,,0,0
",",1,22,PUNCT,,0,0
in,1,23,ADP,,0,0
fact,1,24,NOUN,,0,0
",",1,25,PUNCT,,0,0
known,1,26,NOUN,e5,OCCURRENCE,EVENT
?,1,27,PUNCT,,0,0
CBS,2,0,PROPN,,0,0
News,2,1,PROPN,,0,0
first,3,0,ADV,,0,0
reported,3,1,DET,e6,REPORTING,EVENT
last,4,0,ADJ,,0,0
night,4,1,NOUN,,0,0
that,4,2,SCONJ,,0,0
the,4,3,DET,,0,0
tomb,4,4,NOUN,,0,0
may,4,5,VERB,,0,0
contain,4,6,VERB,e7,OCCURRENCE,EVENT
the,4,7,DET,,0,0
remains,4,8,NOUN,,0,0
of,4,9,ADP,,0,0
Air,4,10,PROPN,,0,0
Force,4,11,PROPN,,0,0
pilot,4,12,NOUN,,0,0
Michael,4,13,PROPN,,0,0
Blassie,4,14,PROPN,,0,0
.,4,15,PUNCT,,0,0
There,5,0,PRON,,0,0
was,5,1,AUX,,0,0
a,5,2,DET,,0,0
suspicion,5,3,NOUN,e18,I_STATE,EVENT
the,5,4,DET,,0,0
body,5,5,NOUN,,0,0
was,5,6,NOUN,e20,STATE,EVENT
Blassie,5,7,PROPN,,0,0
because,5,8,SCONJ,,0,0
his,5,9,DET,,0,0
uniform,5,10,NOUN,,0,0
and,5,11,CCONJ,,0,0
ID,5,12,PROPN,,0,0
card,5,13,NOUN,,0,0
were,5,14,AUX,,0,0
found,5,15,NOUN,e9,OCCURRENCE,EVENT
near,5,16,SCONJ,,0,0
the,5,17,DET,,0,0
body,5,18,NOUN,,0,0
in,5,19,ADP,,0,0
Vietnam,5,20,PROPN,,0,0
.,5,21,PUNCT,,0,0
But,6,0,CCONJ,,0,0
subsequently,6,1,ADV,,0,0
",",6,2,PUNCT,,0,0
they,6,3,PRON,,0,0
were,6,4,AUX,,0,0
lost,6,5,NUM,e10,OCCURRENCE,EVENT
.,6,6,PUNCT,,0,0
Blassie,7,0,PROPN,,0,0
's,7,1,PART,,0,0
mother,7,2,NOUN,,0,0
now,7,3,ADV,,0,0
wants,7,4,VERB,e11,I_STATE,EVENT
the,7,5,DET,,0,0
remains,7,6,NOUN,,0,0
in,7,7,ADP,,0,0
the,7,8,DET,,0,0
tomb,7,9,NOUN,,0,0
tested,7,10,NOUN,e12,OCCURRENCE,EVENT
for,7,11,ADP,,0,0
DNA,7,12,PROPN,,0,0
.,7,13,PUNCT,,0,0
