token,sentence,idx,pos,event_id,label,simple_label
Cx1f,0,0,PROPN,,0,0
taf,0,1,NOUN,,0,0
-,0,2,PUNCT,,0,0
z,0,3,PROPN,,0,0
u,1,0,PROPN,,0,0
w,1,1,PROPN,,0,0
Cx13,1,2,PROPN,,0,0
Cx11,1,3,PROPN,,0,0
CURRIE,2,0,PROPN,,0,0
UR,2,1,PROPN,,0,0
(,2,2,PUNCT,,0,0
bl,2,3,PROPN,,0,0
),2,4,PUNCT,,0,0
c.1998,3,0,PROPN,,0,0
N.Y.,3,1,PROPN,,0,0
Times,3,2,PROPN,,0,0
News,3,3,PROPN,,0,0
Service,3,4,PROPN,,0,0
LR,3,5,PROPN,,0,0
QC,3,6,PROPN,,0,0
WASHINGTON,4,0,PROPN,,0,0
_,4,1,PROPN,,0,0
Following,4,2,VERB,,0,0
are,4,3,AUX,,0,0
statements,4,4,NOUN,e2,REPORTING,EVENT
made,4,5,ADJ,e3,REPORTING,EVENT
Friday,4,6,PROPN,,0,0
and,4,7,CCONJ,,0,0
Thursday,4,8,PROPN,,0,0
by,4,9,ADP,,0,0
Lawrence,4,10,PROPN,,0,0
Wechsler,4,11,PROPN,,0,0
",",4,12,PUNCT,,0,0
a,4,13,DET,,0,0
lawyer,4,14,NOUN,,0,0
for,4,15,ADP,,0,0
the,4,16,DET,,0,0
White,4,17,PROPN,,0,0
House,4,18,PROPN,,0,0
secretary,4,19,NOUN,,0,0
",",4,20,PUNCT,,0,0
Betty,4,21,PROPN,,0,0
Currie,4,22,PROPN,,0,0
;,4,23,PUNCT,,0,0
the,4,24,DET,,0,0
White,4,25,PROPN,,0,0
House,4,26,PROPN,,0,0
;,4,27,PUNCT,,0,0
White,4,28,PROPN,,0,0
House,4,29,PROPN,,0,0
spokesman,4,30,NOUN,,0,0
Mike,4,31,PROPN,,0,0
McCurry,4,32,PROPN,,0,0
",",4,33,PUNCT,,0,0
and,4,34,CCONJ,,0,0
President,4,35,PROPN,,0,0
Clinton,4,36,PROPN,,0,0
in,4,37,ADP,,0,0
response,4,38,NOUN,,0,0
to,4,39,ADP,,0,0
an,4,40,DET,,0,0
article,4,41,NOUN,e43,REPORTING,EVENT
in,4,42,ADP,,0,0
The,4,43,DET,,0,0
New,4,44,PROPN,,0,0
York,4,45,PROPN,,0,0
Times,4,46,PROPN,,0,0
on,4,47,ADP,,0,0
Friday,4,48,PROPN,,0,0
about,4,49,ADP,,0,0
her,4,50,DET,,0,0
statements,4,51,NOUN,e44,REPORTING,EVENT
regarding,4,52,VERB,,0,0
a,4,53,DET,,0,0
meeting,4,54,NOUN,e45,OCCURRENCE,EVENT
with,4,55,ADP,,0,0
the,4,56,DET,,0,0
president,4,57,NOUN,,0,0
:,4,58,PUNCT,,0,0
Wechsler,5,0,VERB,,0,0
on,5,1,ADP,,0,0
Thursday,5,2,PROPN,,0,0
`,5,3,PUNCT,,0,0
`,5,4,PUNCT,,0,0
Without,5,5,ADP,,0,0
commenting,5,6,NOUN,e5,I_ACTION,EVENT
on,5,7,ADP,,0,0
the,5,8,DET,,0,0
allegations,5,9,NOUN,e6,I_ACTION,EVENT
raised,5,10,NOUN,e8,I_ACTION,EVENT
in,5,11,ADP,,0,0
this,5,12,DET,,0,0
article,5,13,NOUN,,0,0
",",5,14,PUNCT,,0,0
to,5,15,ADP,,0,0
the,5,16,DET,,0,0
extent,5,17,NOUN,,0,0
that,5,18,SCONJ,,0,0
there,5,19,PRON,,0,0
is,5,20,AUX,,0,0
any,5,21,DET,,0,0
implication,5,22,NOUN,e48,I_STATE,EVENT
or,5,23,CCONJ,,0,0
suggestion,5,24,NOUN,e49,I_ACTION,EVENT
that,5,25,DET,,0,0
Mrs.,5,26,PROPN,,0,0
Currie,5,27,PROPN,,0,0
was,5,28,AUX,,0,0
aware,5,29,NOUN,e50,I_STATE,EVENT
of,5,30,ADP,,0,0
any,5,31,DET,,0,0
legal,5,32,ADJ,,0,0
or,5,33,CCONJ,,0,0
ethical,5,34,ADJ,,0,0
impropriety,5,35,NOUN,e51,STATE,EVENT
by,5,36,ADP,,0,0
anyone,5,37,PRON,,0,0
",",5,38,PUNCT,,0,0
that,5,39,DET,,0,0
implication,5,40,NOUN,e52,I_STATE,EVENT
or,5,41,CCONJ,,0,0
suggestion,5,42,NOUN,e53,I_ACTION,EVENT
is,5,43,AUX,,0,0
entirely,5,44,ADV,,0,0
inaccurate,5,45,NOUN,e54,STATE,EVENT
.,5,46,PUNCT,,0,0
',5,47,PUNCT,,0,0
',5,48,PUNCT,,0,0
White,6,0,PROPN,,0,0
House,6,1,PROPN,,0,0
on,6,2,ADP,,0,0
Thursday,6,3,PROPN,,0,0
`,6,4,PUNCT,,0,0
`,6,5,PUNCT,,0,0
For,6,6,ADP,,0,0
the,6,7,DET,,0,0
past,6,8,ADJ,,0,0
few,6,9,ADJ,,0,0
weeks,6,10,NOUN,,0,0
we,6,11,PRON,,0,0
',6,12,PUNCT,,0,0
ve,6,13,ADJ,,0,0
been,6,14,AUX,,0,0
subjected,6,15,NOUN,e11,OCCURRENCE,EVENT
to,6,16,ADP,,0,0
false,6,17,ADJ,,0,0
leaks,6,18,NOUN,e56,REPORTING,EVENT
designed,6,19,NOUN,e57,I_ACTION,EVENT
to,6,20,ADP,,0,0
mislead,6,21,NOUN,e13,I_ACTION,EVENT
both,6,22,DET,,0,0
reporters,6,23,NOUN,,0,0
and,6,24,CCONJ,,0,0
the,6,25,DET,,0,0
American,6,26,ADJ,,0,0
public,6,27,NOUN,,0,0
.,6,28,PUNCT,,0,0
We,7,0,PRON,,0,0
're,7,1,AUX,,0,0
not,7,2,PART,,0,0
going,7,3,VERB,,0,0
