token,sentence,idx,pos,event_id,label,simple_label
PRI19980213.2000.0313,0,1,PROPN,,0,0
NEWS,0,3,PROPN,,0,0
STORY,0,4,PROPN,,0,0
Officials,0,6,PROPN,,0,0
in,0,7,ADP,,0,0
California,0,8,PROPN,,0,0
are,0,9,AUX,,0,0
warning,0,10,ADJ,e1,I_ACTION,EVENT
residents,0,11,NOUN,,0,0
that,0,12,SCONJ,,0,0
oncoming,0,13,VERB,,0,0
rains,0,14,NOUN,e40,OCCURRENCE,EVENT
will,0,15,VERB,,0,0
cause,0,16,PUNCT,e3,OCCURRENCE,EVENT
dangerous,0,17,ADJ,,0,0
and,0,18,CCONJ,,0,0
unpredictable,0,19,ADJ,,0,0
landslides,0,20,NOUN,e41,OCCURRENCE,EVENT
.,0,21,PUNCT,,0,0
From,1,0,ADP,,0,0
member,1,1,NOUN,,0,0
station,1,2,NOUN,,0,0
KQED,1,3,PROPN,,0,0
",",1,4,PUNCT,,0,0
Auncil,1,5,PROPN,,0,0
Martinez,1,6,PROPN,,0,0
reports,1,7,NOUN,e42,REPORTING,EVENT
.,1,8,PUNCT,,0,0
Experts,2,0,NOUN,,0,0
say,2,1,VERB,e5,REPORTING,EVENT
the,3,0,DET,,0,0
ground,3,1,NOUN,,0,0
is,3,2,AUX,,0,0
so,3,3,ADV,,0,0
saturated,3,4,ADP,e6,STATE,EVENT
it,3,5,PRON,,0,0
can,3,6,VERB,,0,0
not,3,7,PART,,0,0
absorb,3,8,VERB,e8,OCCURRENCE,EVENT
any,3,9,DET,,0,0
more,3,10,ADJ,,0,0
water,3,11,NOUN,,0,0
.,3,12,PUNCT,,0,0
So,4,0,ADV,,0,0
that,4,1,DET,,0,0
means,4,2,PROPN,e9,I_STATE,EVENT
soil,4,3,NOUN,,0,0
will,4,4,VERB,,0,0
fall,4,5,VERB,e43,OCCURRENCE,EVENT
off,4,6,ADP,,0,0
in,4,7,ADP,,0,0
chunks,4,8,NOUN,,0,0
and,4,9,CCONJ,,0,0
destroy,4,10,NOUN,e11,OCCURRENCE,EVENT
anything,4,11,PRON,,0,0
in,4,12,ADP,,0,0
its,4,13,DET,,0,0
path,4,14,NOUN,,0,0
.,4,15,PUNCT,,0,0
In,5,0,ADP,,0,0
Los,5,1,PROPN,,0,0
Angeles,5,2,PROPN,,0,0
that,5,3,DET,,0,0
lesson,5,4,NOUN,,0,0
was,5,5,AUX,,0,0
brought,5,6,VERB,,0,0
home,5,7,ADV,,0,0
today,5,8,NOUN,,0,0
when,5,9,ADV,,0,0
tons,5,10,NOUN,,0,0
of,5,11,ADP,,0,0
earth,5,12,NOUN,,0,0
cascaded,5,13,NOUN,e16,OCCURRENCE,EVENT
down,5,14,ADP,,0,0
a,5,15,DET,,0,0
hillside,5,16,NOUN,,0,0
",",5,17,PUNCT,,0,0
ripping,5,18,NUM,e17,OCCURRENCE,EVENT
two,5,19,NUM,,0,0
houses,5,20,NOUN,,0,0
from,5,21,ADP,,0,0
their,5,22,DET,,0,0
foundations,5,23,NOUN,,0,0
.,5,24,PUNCT,,0,0
No,6,0,DET,,0,0
one,6,1,NOUN,,0,0
was,6,2,AUX,,0,0
hurt,6,3,NOUN,e18,OCCURRENCE,EVENT
",",6,4,PUNCT,,0,0
but,6,5,CCONJ,,0,0
firefighters,6,6,NOUN,,0,0
ordered,6,7,VERB,e19,I_ACTION,EVENT
the,6,8,DET,,0,0
evacuation,6,9,NUM,e45,OCCURRENCE,EVENT
of,6,10,ADP,,0,0
nearby,6,11,ADJ,,0,0
homes,6,12,NOUN,,0,0
and,6,13,CCONJ,,0,0
said,6,14,NOUN,e20,REPORTING,EVENT
they,6,15,PRON,,0,0
'll,6,16,VERB,,0,0
monitor,6,17,VERB,e21,OCCURRENCE,EVENT
the,6,18,DET,,0,0
shifting,6,19,NOUN,,0,0
ground,6,20,NOUN,,0,0
.,6,21,PUNCT,,0,0
In,7,0,ADP,,0,0
the,7,1,DET,,0,0
northern,7,2,ADJ,,0,0
California,7,3,PROPN,,0,0
town,7,4,NOUN,,0,0
of,7,5,ADP,,0,0
Rio,7,6,PROPN,,0,0
Nido,7,7,PROPN,,0,0
",",7,8,PUNCT,,0,0
officials,7,9,NOUN,,0,0
say,7,10,NUM,e23,REPORTING,EVENT
a,7,11,DET,,0,0
football,7,12,NOUN,,0,0
field,7,13,NOUN,,0,0
sized,7,14,ADJ,,0,0
slab,7,15,NOUN,,0,0
of,7,16,ADP,,0,0
hillside,7,17,NOUN,,0,0
could,7,18,VERB,,0,0
still,7,19,ADV,,0,0
break,7,20,VERB,e25,OCCURRENCE,EVENT
loose,7,21,ADJ,,0,0
at,7,22,ADP,,0,0
any,7,23,DET,,0,0
time,7,24,NOUN,,0,0
and,7,25,CCONJ,,0,0
destroy,7,26,NOUN,e29,OCCURRENCE,EVENT
an,7,27,DET,,0,0
entire,7,28,ADJ,,0,0
neighborhood,7,29,NOUN,,0,0
.,7,30,PUNCT,,0,0
And,8,0,CCONJ,,0,0
in,8,1,ADP,,0,0
San,8,2,PROPN,,0,0
Francisco,8,3,PROPN,,0,0
",",8,4,PUNCT,,0,0
a,8,5,DET,,0,0
mansion,8,6,NOUN,,0,0
overlooking,8,7,VERB,,0,0
the,8,8,DET,,0,0
Pacific,8,9,PROPN,,0,0
Ocean,8,10,PROPN,,0,0
and,8,11,CCONJ,,0,0
the,8,12,DET,,0,0
Golden,8,13,PROPN,,0,0
Gate,8,14,PROPN,,0,0
Bridge,8,15,PROPN,,0,0
is,8,16,AUX,,0,0
slipping,8,17,NOUN,e31,OCCURRENCE,EVENT
toward,8,18,ADP,,0,0
the,8,19,DET,,0,0
sea,8,20,NOUN,,0,0
.,8,21,PUNCT,,0,0
Forecasters,9,0,NOUN,,0,0
say,9,1,VERB,e32,REPORTING,EVENT
the,9,2,DET,,0,0
picture,9,3,NOUN,,0,0
will,9,4,VERB,,0,0
get,9,5,VERB,e33,ASPECTUAL,EVENT
worse,9,6,ADJ,,0,0
because,9,7,SCONJ,,0,0
more,9,8,ADJ,,0,0
rains,9,9,NOUN,e47,STATE,EVENT
are,9,10,AUX,,0,0
on,9,11,ADP,,0,0
the,9,12,DET,,0,0
way,9,13,NOUN,,0,0
