token,sentence,idx,pos,event_id,label,simple_label
For,0,0,ADP,,0,0
his,0,1,DET,,0,0
part,0,2,NOUN,,0,0
",",0,3,PUNCT,,0,0
Fidel,0,4,PROPN,,0,0
Castro,0,5,PROPN,,0,0
is,0,6,AUX,,0,0
the,0,7,DET,,0,0
ultimate,0,8,ADJ,,0,0
political,0,9,ADJ,,0,0
survivor,0,10,NOUN,,0,0
.,0,11,PUNCT,,0,0
People,1,0,NOUN,,0,0
have,1,1,AUX,,0,0
predicted,1,2,NOUN,e1,I_ACTION,EVENT
his,1,3,DET,,0,0
demise,1,4,NOUN,e86,OCCURRENCE,EVENT
so,1,5,ADV,,0,0
many,1,6,ADJ,,0,0
times,1,7,NOUN,,0,0
",",1,8,PUNCT,,0,0
and,1,9,CCONJ,,0,0
the,1,10,DET,,0,0
US,1,11,PROPN,,0,0
has,1,12,AUX,,0,0
tried,1,13,NOUN,e2,I_ACTION,EVENT
to,1,14,PART,,0,0
hasten,1,15,VERB,e4,OCCURRENCE,EVENT
it,1,16,PRON,,0,0
on,1,17,ADP,,0,0
several,1,18,ADJ,,0,0
occasions,1,19,NOUN,,0,0
.,1,20,PUNCT,,0,0
Time,2,0,NOUN,,0,0
and,2,1,CCONJ,,0,0
again,2,2,ADV,,0,0
",",2,3,PUNCT,,0,0
he,2,4,PRON,,0,0
endures,2,5,NOUN,e87,OCCURRENCE,EVENT
.,2,6,PUNCT,,0,0
He,3,0,PRON,,0,0
has,3,1,AUX,,0,0
outlasted,3,2,NOUN,e7,OCCURRENCE,EVENT
and,3,3,CCONJ,,0,0
sometimes,3,4,ADV,,0,0
outsmarted,3,5,VERB,e8,OCCURRENCE,EVENT
eight,3,6,NUM,,0,0
American,3,7,ADJ,,0,0
presidents,3,8,NOUN,,0,0
.,3,9,PUNCT,,0,0
Fidel,4,0,PROPN,,0,0
Castro,4,1,PROPN,,0,0
invited,4,2,PROPN,e9,OCCURRENCE,EVENT
John,4,3,PROPN,,0,0
Paul,4,4,PROPN,,0,0
to,4,5,PART,,0,0
come,4,6,VERB,e11,OCCURRENCE,EVENT
for,4,7,ADP,,0,0
a,4,8,DET,,0,0
reason,4,9,NOUN,,0,0
.,4,10,PUNCT,,0,0
This,5,0,DET,,0,0
is,5,1,AUX,,0,0
clearly,5,2,ADV,,0,0
an,5,3,DET,,0,0
opportunity,5,4,NOUN,,0,0
for,5,5,ADP,,0,0
Cuba,5,6,PROPN,,0,0
to,5,7,PART,,0,0
look,5,8,VERB,,0,0
good,5,9,ADJ,,0,0
internationally,5,10,ADV,,0,0
.,5,11,PUNCT,,0,0
The,6,0,DET,,0,0
entire,6,1,ADJ,,0,0
world,6,2,NOUN,,0,0
will,6,3,VERB,,0,0
see,6,4,VERB,e15,PERCEPTION,EVENT
images,6,5,NOUN,,0,0
of,6,6,ADP,,0,0
the,6,7,DET,,0,0
Pope,6,8,PROPN,,0,0
with,6,9,ADP,,0,0
Fidel,6,10,PROPN,,0,0
Castro,6,11,PROPN,,0,0
.,6,12,PUNCT,,0,0
It,7,0,PRON,,0,0
will,7,1,VERB,,0,0
give,7,2,VERB,e18,OCCURRENCE,EVENT
the,7,3,DET,,0,0
rest,7,4,NOUN,,0,0
of,7,5,ADP,,0,0
the,7,6,DET,,0,0
