token,sentence,idx,pos,event_id,label,simple_label
International,0,0,PROPN,,0,0
Women,0,1,PROPN,,0,0
's,0,2,PART,,0,0
Day,0,3,NOUN,e354,OCCURRENCE,EVENT
is,0,4,AUX,,0,0
this,0,5,DET,,0,0
coming,0,6,VERB,,0,0
Sunday,0,7,PROPN,,0,0
",",0,8,PUNCT,,0,0
March,0,9,PROPN,,0,0
eighth,0,10,ADJ,,0,0
.,0,11,PUNCT,,0,0
A,1,0,DET,,0,0
major,1,1,ADJ,,0,0
focus,1,2,NOUN,,0,0
of,1,3,ADP,,0,0
International,1,4,PROPN,,0,0
Women,1,5,PROPN,,0,0
's,1,6,PART,,0,0
Day,1,7,PROPN,,0,0
is,1,8,AUX,,0,0
the,1,9,DET,,0,0
plight,1,10,NOUN,e2,OCCURRENCE,EVENT
of,1,11,ADP,,0,0
Afghan,1,12,ADJ,,0,0
women,1,13,NOUN,,0,0
.,1,14,PUNCT,,0,0
Special,2,0,ADJ,,0,0
events,2,1,NOUN,e67,OCCURRENCE,EVENT
are,2,2,AUX,,0,0
being,2,3,AUX,,0,0
organized,2,4,ADJ,e3,I_ACTION,EVENT
by,2,5,ADP,,0,0
the,2,6,DET,,0,0
European,2,7,PROPN,,0,0
Commission,2,8,PROPN,,0,0
and,2,9,CCONJ,,0,0
individual,2,10,ADJ,,0,0
nations,2,11,NOUN,,0,0
in,2,12,ADP,,0,0
Europe,2,13,PROPN,,0,0
",",2,14,PUNCT,,0,0
North,2,15,PROPN,,0,0
America,2,16,PROPN,,0,0
",",2,17,PUNCT,,0,0
and,2,18,CCONJ,,0,0
other,2,19,ADJ,,0,0
parts,2,20,NOUN,,0,0
of,2,21,ADP,,0,0
the,2,22,DET,,0,0
world,2,23,NOUN,,0,0
.,2,24,PUNCT,,0,0
Lisa,3,0,PROPN,,0,0
Schlein,3,1,PROPN,,0,0
reports,3,2,VERB,,0,0
from,3,3,ADP,,0,0
Geneva,3,4,PROPN,,0,0
.,3,5,PUNCT,,0,0
Afghanistan,4,0,PROPN,,0,0
has,4,1,AUX,,0,0
been,4,2,AUX,,0,0
at,4,3,ADJ,e355,STATE,EVENT
war,4,4,NOUN,,0,0
for,4,5,ADP,,0,0
twenty,4,6,NUM,,0,0
years,4,7,NOUN,,0,0
",",4,8,PUNCT,,0,0
leaving,4,9,VERB,e6,I_ACTION,EVENT
a,4,10,DET,,0,0
large,4,11,ADJ,,0,0
part,4,12,NOUN,,0,0
of,4,13,ADP,,0,0
the,4,14,DET,,0,0
country,4,15,NOUN,,0,0
's,4,16,PART,,0,0
male,4,17,ADJ,,0,0
population,4,18,NOUN,,0,0
dead,4,19,NUM,e72,STATE,EVENT
or,4,20,CCONJ,,0,0
in,4,21,NOUN,e356,STATE,EVENT
exile,4,22,NOUN,,0,0
.,4,23,PUNCT,,0,0
The,5,0,DET,,0,0
United,5,1,PROPN,,0,0
Nations,5,2,PROPN,,0,0
says,5,3,PROPN,e7,REPORTING,EVENT
women,5,4,NOUN,,0,0
and,5,5,CCONJ,,0,0
children,5,6,NOUN,,0,0
make,5,7,VERB,e8,STATE,EVENT
up,5,8,ADP,,0,0
about,5,9,ADV,,0,0
seventy,5,10,NUM,,0,0
-,5,11,PUNCT,,0,0
five,5,12,NUM,,0,0
percent,5,13,NOUN,,0,0
of,5,14,ADP,,0,0
the,5,15,DET,,0,0
Afghan,5,16,ADJ,,0,0
population,5,17,NOUN,,0,0
.,5,18,PUNCT,,0,0
An,6,0,DET,,0,0
Afghan,6,1,ADJ,,0,0
refugee,6,2,NOUN,,0,0
in,6,3,ADP,,0,0
Switzerland,6,4,PROPN,,0,0
",",6,5,PUNCT,,0,0
Homira,6,6,PROPN,,0,0
Atimadi,6,7,PROPN,,0,0
",",6,8,PUNCT,,0,0
is,6,9,AUX,,0,0
a,6,10,DET,,0,0
senior,6,11,ADJ,,0,0
official,6,12,NOUN,,0,0
of,6,13,ADP,,0,0
a,6,14,DET,,0,0
group,6,15,NOUN,,0,0
called,6,16,VERB,,0,0
the,6,17,DET,,0,0
International,6,18,PROPN,,0,0
Working,6,19,PROPN,,0,0
Group,6,20,PROPN,,0,0
on,6,21,ADP,,0,0
Afghan,6,22,PROPN,,0,0
Women,6,23,PROPN,,0,0
.,6,24,PUNCT,,0,0
The,7,0,DET,,0,0
group,7,1,NOUN,,0,0
has,7,2,AUX,,0,0
branches,7,3,NOUN,,0,0
in,7,4,ADP,,0,0
Pakistan,7,5,PROPN,,0,0
",",7,6,PUNCT,,0,0
Iran,7,7,PROPN,,0,0
",",7,8,PUNCT,,0,0
Europe,7,9,PROPN,,0,0
",",7,10,PUNCT,,0,0
Australia,7,11,PROPN,,0,0
",",7,12,PUNCT,,0,0
and,7,13,CCONJ,,0,0
North,7,14,PROPN,,0,0
America,7,15,PROPN,,0,0
.,7,16,PUNCT,,0,0
Ms.,8,0,PROPN,,0,0
Atimadi,8,1,PROPN,,0,0
says,8,2,NOUN,e10,REPORTING,EVENT
Afghan,9,0,ADJ,,0,0
women,9,1,NOUN,,0,0
have,9,2,AUX,,0,0
been,9,3,AUX,,0,0
victims,9,4,NOUN,e74,STATE,EVENT
of,9,5,ADP,,0,0
severe,9,6,ADJ,,0,0
violations,9,7,NOUN,e75,OCCURRENCE,EVENT
of,9,8,ADP,,0,0
human,9,9,ADJ,,0,0
rights,9,10,NOUN,,0,0
for,9,11,ADP,,0,0
the,9,12,DET,,0,0
past,9,13,ADJ,,0,0
twenty,9,14,NUM,,0,0
years,9,15,NOUN,,0,0
and,9,16,CCONJ,,0,0
she,9,17,PRON,,0,0
says,9,18,VERB,e7,REPORTING,EVENT
security,9,19,NOUN,,0,0
under,9,20,ADP,,0,0
the,9,21,DET,,0,0
fundamentalist,9,22,ADJ,,0,0
Taleban,9,23,PROPN,,0,0
government,9,24,NOUN,,0,0
is,9,25,AUX,,0,0
better,9,26,NOUN,e80,STATE,EVENT
",",9,27,PUNCT,,0,0
but,9,28,CCONJ,,0,0
everything,9,29,PRON,,0,0
else,9,30,ADV,,0,0
is,9,31,AUX,,0,0
worse,9,32,NOUN,e81,STATE,EVENT
.,9,33,PUNCT,,0,0
Women,10,0,NOUN,,0,0
do,10,1,AUX,,0,0
not,10,2,PART,,0,0
become,10,3,VERB,e18,I_STATE,EVENT
victims,10,4,NOUN,e82,STATE,EVENT
of,10,5,ADP,,0,0
armed,10,6,ADJ,,0,0
attack,10,7,NOUN,e20,OCCURRENCE,EVENT
",",10,8,PUNCT,,0,0
but,10,9,CCONJ,,0,0
they,10,10,PRON,,0,0
do,10,11,AUX,,0,0
not,10,12,PART,,0,0
have,10,13,AUX,,0,0
the,10,14,DET,,0,0
right,10,15,NOUN,e85,I_STATE,EVENT
to,10,16,ADP,,0,0
work,10,17,NOUN,e21,OCCURRENCE,EVENT
.,10,18,PUNCT,,0,0
And,11,0,CCONJ,,0,0
today,11,1,NOUN,,0,0
",",11,2,PUNCT,,0,0
the,11,3,DET,,0,0
right,11,4,NOUN,,0,0
to,11,5,PART,,0,0
work,11,6,VERB,,0,0
is,11,7,AUX,,0,0
equal,11,8,X,e90,STATE,EVENT
to,11,9,PART,,0,0
r-,11,10,X,,0,0
the,12,0,DET,,0,0
right,12,1,NOUN,,0,0
to,12,2,ADP,,0,0
survival,12,3,NOUN,,0,0
.,12,4,PUNCT,,0,0
Ms.,13,0,PROPN,,0,0
Atimadi,13,1,PROPN,,0,0
says,13,2,NOUN,e23,REPORTING,EVENT
the,13,3,DET,,0,0
war,13,4,NOUN,e24,OCCURRENCE,EVENT
has,13,5,AUX,,0,0
created,13,6,NOUN,e25,I_ACTION,EVENT
a,13,7,DET,,0,0
nation,13,8,NOUN,,0,0
of,13,9,ADP,,0,0
widows,13,10,NOUN,,0,0
.,13,11,PUNCT,,0,0
Women,14,0,NOUN,,0,0
have,14,1,AUX,,0,0
become,14,2,NUM,e26,I_STATE,EVENT
the,14,3,DET,,0,0
sole,14,4,ADJ,,0,0
support,14,5,NOUN,e27,STATE,EVENT
of,14,6,ADP,,0,0
their,14,7,DET,,0,0
families,14,8,NOUN,,0,0
.,14,9,PUNCT,,0,0
Yet,15,0,CCONJ,,0,0
",",15,1,PUNCT,,0,0
the,15,2,DET,,0,0
Taliban,15,3,PROPN,,0,0
have,15,4,AUX,,0,0
forbidden,15,5,VERB,e28,I_ACTION,EVENT
them,15,6,PRON,,0,0
to,15,7,ADP,,0,0
work,15,8,NOUN,e29,OCCURRENCE,EVENT
.,15,9,PUNCT,,0,0
She,16,0,PRON,,0,0
says,16,1,NOUN,e30,REPORTING,EVENT
this,17,0,DET,,0,0
puts,17,1,NOUN,e31,OCCURRENCE,EVENT
the,17,2,DET,,0,0
very,17,3,ADJ,,0,0
existence,17,4,NOUN,,0,0
of,17,5,ADP,,0,0
women,17,6,NOUN,,0,0
's,17,7,PART,,0,0
families,17,8,NOUN,,0,0
at,17,9,ADJ,e358,STATE,EVENT
risk,17,10,NOUN,,0,0
.,17,11,PUNCT,,0,0
She,18,0,PRON,,0,0
says,18,1,VERB,e34,REPORTING,EVENT
the,18,2,DET,,0,0
plight,18,3,NOUN,e35,OCCURRENCE,EVENT
of,18,4,ADP,,0,0
women,18,5,NOUN,,0,0
in,18,6,ADP,,0,0
urban,18,7,ADJ,,0,0
areas,18,8,NOUN,,0,0
is,18,9,AUX,,0,0
greater,18,10,NOUN,e94,STATE,EVENT
than,18,11,SCONJ,,0,0
that,18,12,DET,,0,0
which,18,13,DET,,0,0
exists,18,14,VERB,,0,0
in,18,15,ADP,,0,0
rural,18,16,ADJ,,0,0
parts,18,17,NOUN,,0,0
of,18,18,ADP,,0,0
the,18,19,DET,,0,0
country,18,20,NOUN,,0,0
.,18,21,PUNCT,,0,0
In,19,0,ADP,,0,0
cities,19,1,NOUN,,0,0
",",19,2,PUNCT,,0,0
such,19,3,ADJ,,0,0
as,19,4,SCONJ,,0,0
the,19,5,DET,,0,0
capital,19,6,NOUN,,0,0
Kabul,19,7,PROPN,,0,0
",",19,8,PUNCT,,0,0
