token,sentence,idx,pos,event_id,label,simple_label
A6974,0,0,PROPN,,0,0
Cx1f,0,1,PROPN,,0,0
tta,0,2,PROPN,,0,0
-,0,3,PUNCT,,0,0
z,0,4,PROPN,,0,0
u,1,0,PROPN,,0,0
f,1,1,PROPN,,0,0
Cx13,1,2,PROPN,,0,0
Cx11,1,3,PROPN,,0,0
(,2,0,PUNCT,,0,0
REPEATING,2,1,VERB,,0,0
to,2,2,PART,,0,0
correct,2,3,VERB,,0,0
coding,2,4,NOUN,,0,0
),2,5,PUNCT,,0,0
Graphic,3,0,PROPN,,0,0
is,3,1,AUX,,0,0
being,3,2,AUX,,0,0
sent,3,3,VERB,,0,0
to,3,4,ADP,,0,0
NYT,3,5,PROPN,,0,0
graphic,3,6,ADJ,,0,0
clients,3,7,NOUN,,0,0
.,3,8,PUNCT,,0,0
Non,4,0,NOUN,,0,0
-,4,1,NOUN,,0,0
subscribers,4,2,NOUN,,0,0
can,4,3,VERB,,0,0
make,4,4,VERB,,0,0
individual,4,5,ADJ,,0,0
purchase,4,6,NOUN,,0,0
by,4,7,ADP,,0,0
calling,4,8,VERB,,0,0
212,4,9,NUM,,0,0
-,4,10,PUNCT,,0,0
556,4,11,NUM,,0,0
-,4,12,PUNCT,,0,0
4204,4,13,NUM,,0,0
.,4,14,PUNCT,,0,0
),4,15,PUNCT,,0,0
By,5,0,ADP,,0,0
RICHARD,5,1,PROPN,,0,0
W.,5,2,PROPN,,0,0
STEVENSON,5,3,PROPN,,0,0
LR,5,4,PROPN,,0,0
QC,5,5,PROPN,,0,0
c.1998,6,0,PROPN,,0,0
N.Y.,6,1,PROPN,,0,0
Times,6,2,PROPN,,0,0
News,6,3,PROPN,,0,0
Service,6,4,PROPN,,0,0
LR,6,5,PROPN,,0,0
QC,6,6,PROPN,,0,0
The,7,0,DET,,0,0
economy,7,1,NOUN,,0,0
created,7,2,ADJ,e1,OCCURRENCE,EVENT
jobs,7,3,NOUN,,0,0
at,7,4,ADP,,0,0
a,7,5,DET,,0,0
surprisingly,7,6,ADV,,0,0
robust,7,7,ADJ,,0,0
pace,7,8,NOUN,,0,0
in,7,9,ADP,,0,0
January,7,10,PROPN,,0,0
",",7,11,PUNCT,,0,0
the,7,12,DET,,0,0
government,7,13,NOUN,,0,0
reported,7,14,NOUN,e4,REPORTING,EVENT
on,7,15,ADP,,0,0
Friday,7,16,PROPN,,0,0
",",7,17,PUNCT,,0,0
evidence,7,18,NOUN,,0,0
that,7,19,SCONJ,,0,0
America,7,20,PROPN,,0,0
's,7,21,PART,,0,0
economic,7,22,ADJ,,0,0
stamina,7,23,NOUN,,0,0
has,7,24,AUX,,0,0
withstood,7,25,PROPN,e6,OCCURRENCE,EVENT
any,7,26,DET,,0,0
disruptions,7,27,PROPN,e7,OCCURRENCE,EVENT
caused,7,28,PROPN,e224,OCCURRENCE,EVENT
so,7,29,ADV,,0,0
far,7,30,ADV,,0,0
by,7,31,ADP,,0,0
the,7,32,DET,,0,0
financial,7,33,PROPN,,0,0
tumult,7,34,NOUN,e228,OCCURRENCE,EVENT
in,7,35,ADP,,0,0
Asia,7,36,PROPN,,0,0
.,7,37,PUNCT,,0,0
The,8,0,DET,,0,0
Bureau,8,1,PROPN,,0,0
of,8,2,ADP,,0,0
Labor,8,3,PROPN,,0,0
Statistics,8,4,PROPN,,0,0
