token,sentence,idx,pos,event_id,label,simple_label
VOA19980303.1600.0917,0,1,PROPN,,0,0
NEWS,0,3,PROPN,,0,0
STORY,0,4,PROPN,,0,0
Nigerian,0,6,ADJ,,0,0
security,0,7,NOUN,,0,0
forces,0,8,NOUN,,0,0
clashed,0,9,NOUN,e1,OCCURRENCE,EVENT
in,0,10,ADP,,0,0
Lagos,0,11,PROPN,,0,0
with,0,12,ADP,,0,0
anti,0,13,ADJ,,0,0
-,0,14,ADJ,,0,0
government,0,15,ADJ,,0,0
demonstrators,0,16,NOUN,,0,0
who,0,17,PRON,,0,0
were,0,18,AUX,,0,0
protesting,0,19,NOUN,e2,OCCURRENCE,EVENT
calls,0,20,NOUN,,0,0
for,0,21,ADP,,0,0
military,0,22,ADJ,,0,0
leader,0,23,NOUN,,0,0
Sani,0,24,PROPN,,0,0
Abacha,0,25,PROPN,,0,0
to,0,26,PART,,0,0
run,0,27,PROPN,e3,I_ACTION,EVENT
for,0,28,ADP,,0,0
president,0,29,NOUN,,0,0
.,0,30,PUNCT,,0,0
Meanwhile,1,0,ADV,,0,0
",",1,1,PUNCT,,0,0
as,1,2,SCONJ,,0,0
VOA,1,3,PROPN,,0,0
West,1,4,PROPN,,0,0
Africa,1,5,PROPN,,0,0
Correspondent,1,6,PROPN,,0,0
Purnell,1,7,PROPN,,0,0
Murdock,1,8,PROPN,,0,0
reports,1,9,PROPN,e2104,REPORTING,EVENT
",",1,10,PUNCT,,0,0
General,1,11,PROPN,,0,0
Abacha,1,12,PROPN,,0,0
's,1,13,PART,,0,0
supporters,1,14,NOUN,,0,0
began,1,15,PROPN,e4,ASPECTUAL,EVENT
a,1,16,DET,,0,0
two,1,17,NUM,,0,0
day,1,18,NOUN,,0,0
rally,1,19,NOUN,e2008,OCCURRENCE,EVENT
in,1,20,ADP,,0,0
the,1,21,DET,,0,0
capital,1,22,NOUN,,0,0
",",1,23,PUNCT,,0,0
Abuja,1,24,PROPN,,0,0
",",1,25,PUNCT,,0,0
to,1,26,PART,,0,0
urge,1,27,VERB,e6,OCCURRENCE,EVENT
him,1,28,PRON,,0,0
to,1,29,PART,,0,0
compete,1,30,VERB,e7,OCCURRENCE,EVENT
in,1,31,ADP,,0,0
