token,sentence,idx,pos,event_id,label,simple_label
A0786,0,0,PROPN,,0,0
ampCx1f,0,1,PROPN,,0,0
taf,1,0,NOUN,,0,0
-,1,1,PUNCT,,0,0
z,1,2,PROPN,,0,0
u,1,3,PROPN,,0,0
a,2,0,PROPN,,0,0
ampCx13,3,0,NOUN,,0,0
ampCx11,3,1,PROPN,,0,0
BC,3,2,PROPN,,0,0
-,3,3,PUNCT,,0,0
NJ,3,4,PROPN,,0,0
-,3,5,PUNCT,,0,0
WOMEN,3,6,PROPN,,0,0
-,3,7,PUNCT,,0,0
MURDER,3,8,PROPN,,0,0
-,3,9,PUNCT,,0,0
PROBE,3,10,PROPN,,0,0
TASK,4,0,ADV,,0,0
FORCE,4,1,VERB,,0,0
TO,4,2,PART,,0,0
STUDY,4,3,PROPN,,0,0
CASES,4,4,NOUN,,0,0
OF,4,5,ADP,,0,0
14,4,6,NUM,,0,0
SLAIN,4,7,VERB,,0,0
WOMEN,4,8,PROPN,,0,0
(,4,9,PUNCT,,0,0
lb,4,10,X,,0,0
),4,11,PUNCT,,0,0
ampQL,4,12,PUNCT,,0,0
ampUR,5,0,PUNCT,,0,0
By,6,0,ADP,,0,0
DAVID,6,1,PROPN,,0,0
M.,6,2,PROPN,,0,0
HERSZENHORN,6,3,PROPN,,0,0
ampLR,7,0,PUNCT,,0,0
ampQC,8,0,INTJ,,0,0
ampQL,8,1,PUNCT,,0,0
ampUR,9,0,X,,0,0
c.1998,10,0,PROPN,,0,0
N.Y.,10,1,PROPN,,0,0
Times,10,2,PROPN,,0,0
News,10,3,PROPN,,0,0
Service,10,4,PROPN,,0,0
ampLR,11,0,PUNCT,,0,0
ampQC,12,0,INTJ,,0,0
ampQL,13,0,X,,0,0
A,14,0,DET,,0,0
new,14,1,ADJ,,0,0
Essex,14,2,PROPN,,0,0
County,14,3,PROPN,,0,0
task,14,4,NOUN,,0,0
force,14,5,NOUN,,0,0
began,14,6,NOUN,e1,ASPECTUAL,EVENT
delving,14,7,NOUN,e45,OCCURRENCE,EVENT
Thursday,14,8,PROPN,,0,0
into,14,9,ADP,,0,0
the,14,10,DET,,0,0
slayings,14,11,NOUN,e2,OCCURRENCE,EVENT
of,14,12,ADP,,0,0
14,14,13,NUM,,0,0
black,14,14,ADJ,,0,0
women,14,15,NOUN,,0,0
over,14,16,ADP,,0,0
the,14,17,DET,,0,0
last,14,18,ADJ,,0,0
five,14,19,NUM,,0,0
years,14,20,NOUN,,0,0
in,14,21,ADP,,0,0
the,14,22,DET,,0,0
Newark,14,23,PROPN,,0,0
area,14,24,NOUN,,0,0
",",14,25,PUNCT,,0,0
as,14,26,SCONJ,,0,0
law,14,27,NOUN,,0,0
-,14,28,PUNCT,,0,0
enforcement,14,29,NOUN,,0,0
officials,14,30,NOUN,,0,0
acknowledged,14,31,VERB,e4,REPORTING,EVENT
that,14,32,SCONJ,,0,0
they,14,33,PRON,,0,0
needed,14,34,VERB,e5,I_STATE,EVENT
to,14,35,PART,,0,0
work,14,36,VERB,e6,I_ACTION,EVENT
harder,14,37,ADJ,,0,0
to,14,38,PART,,0,0
solve,14,39,VERB,e7,OCCURRENCE,EVENT
the,14,40,DET,,0,0
cases,14,41,NOUN,,0,0
of,14,42,ADP,,0,0
murdered,14,43,NOUN,e67,OCCURRENCE,EVENT
women,14,44,NOUN,,0,0
.,14,45,PUNCT,,0,0
The,15,0,DET,,0,0
police,15,1,NOUN,,0,0
and,15,2,CCONJ,,0,0
prosecutors,15,3,NOUN,,0,0
said,15,4,VERB,e8,REPORTING,EVENT
they,15,5,PRON,,0,0
had,15,6,AUX,,0,0
identified,15,7,PROPN,e9,OCCURRENCE,EVENT
different,15,8,ADJ,,0,0
suspects,15,9,NOUN,,0,0
in,15,10,ADP,,0,0
six,15,11,NUM,,0,0
of,15,12,ADP,,0,0
the,15,13,DET,,0,0
cases,15,14,NOUN,,0,0
and,15,15,CCONJ,,0,0
had,15,16,AUX,,0,0
yet,15,17,ADV,,0,0
to,15,18,ADP,,0,0
find,15,19,NUM,e10,OCCURRENCE,EVENT
any,15,20,DET,,0,0
pattern,15,21,NOUN,,0,0
linking,15,22,VERB,,0,0
the,15,23,DET,,0,0
killings,15,24,NOUN,e50,OCCURRENCE,EVENT
or,15,25,CCONJ,,0,0
the,15,26,DET,,0,0
victims,15,27,NOUN,,0,0
",",15,28,PUNCT,,0,0
several,15,29,ADJ,,0,0
of,15,30,ADP,,0,0
whom,15,31,PRON,,0,0
were,15,32,AUX,,0,0
believed,15,33,PRON,e12,I_STATE,EVENT
to,15,34,PART,,0,0
be,15,35,AUX,,0,0
prostitutes,15,36,NOUN,e51,STATE,EVENT
.,15,37,PUNCT,,0,0
State,16,0,NOUN,,0,0
",",16,1,PUNCT,,0,0
county,16,2,NOUN,,0,0
and,16,3,CCONJ,,0,0
local,16,4,ADJ,,0,0
law,16,5,NOUN,,0,0
-,16,6,PUNCT,,0,0
enforcement,16,7,NOUN,,0,0
officials,16,8,NOUN,,0,0
have,16,9,AUX,,0,0
expressed,16,10,NOUN,e13,REPORTING,EVENT
concerns,16,11,NOUN,,0,0
in,16,12,ADP,,0,0
recent,16,13,ADJ,,0,0
months,16,14,NOUN,,0,0
about,16,15,ADP,,0,0
a,16,16,DET,,0,0
possible,16,17,ADJ,,0,0
pattern,16,18,NOUN,,0,0
of,16,19,ADP,,0,0
murdered,16,20,NOUN,e53,OCCURRENCE,EVENT
women,16,21,NOUN,,0,0
and,16,22,CCONJ,,0,0
a,16,23,DET,,0,0
disproportionate,16,24,ADJ,,0,0
number,16,25,NOUN,,0,0
of,16,26,ADP,,0,0
unsolved,16,27,NOUN,e54,STATE,EVENT
cases,16,28,NOUN,,0,0
.,16,29,PUNCT,,0,0
